,mean_energy,shock_rate,coef_std
D1,7.324193783666346e-06,0.19149696826934814,0.0027063234309052035
D2,5.2448282642844124e-05,0.1855325698852539,0.00724211865647492
D3,0.005739120426239864,0.15793797373771667,0.07089888248579669
D4,0.2516826809370104,0.17639078199863434,0.48575918205118734
D5,0.36293596672172773,0.20958945155143738,0.592933595846904
D6,0.3730068884671369,0.19892722368240356,0.6060463779052078
D7,0.3670621074511136,0.18097668886184692,0.6035869892293665
D8,0.3192222609793996,0.0,0.5638693652603719
A8,3154508.6448516357,0.0,16.098552526648398
