fold,train_n,auc,lift_p90,cont_top_decile,pair
0,784,0.5817,1.238,0.7595,EUR_USD
1,1568,0.5415,1.025,0.5949,EUR_USD
2,2352,0.5728,1.134,0.6582,EUR_USD
3,3136,0.5647,1.175,0.6835,EUR_USD
