pair,src_band,lag_bars,lag_sec,n_shocks,mean_abs_pips,p50_abs_pips,p90_abs_pips,barrier_pips,clears_barrier
GBP_JPY,D3,11,55,369,15.205149051490608,7.749999999998636,37.9099999999994,21.60000000000082,True
GBP_JPY,D3,22,110,369,16.334959349593394,8.150000000000546,42.30000000000245,21.60000000000082,True
GBP_JPY,D3,44,220,369,17.38848238482394,7.699999999999818,43.67000000000075,21.60000000000082,True
GBP_JPY,D3,88,440,369,19.504471544715482,7.949999999999591,46.48000000000024,21.60000000000082,True
GBP_JPY,D3,176,880,369,23.03983739837406,9.699999999997999,51.930000000000966,21.60000000000082,True
GBP_JPY,D4,11,55,480,14.676979166666719,7.474999999999454,38.88000000000205,21.60000000000082,True
GBP_JPY,D4,22,110,480,17.048333333333446,7.949999999999591,52.36500000000095,21.60000000000082,True
GBP_JPY,D4,44,220,480,16.407187500000006,7.399999999999807,43.02999999999799,21.60000000000082,True
GBP_JPY,D4,88,440,480,17.18656249999996,7.0750000000003865,43.160000000000025,21.60000000000082,True
GBP_JPY,D4,176,880,480,16.747083333333332,9.350000000000591,43.439999999999664,21.60000000000082,True
