pair,src_band,lag_bars,lag_sec,n_shocks,mean_abs_pips,p50_abs_pips,p90_abs_pips,barrier_pips,clears_barrier
EUR_USD,D3,11,55,4712,8.255684264446964,3.6001205444335938,20.74468135833743,9.598732,True
EUR_USD,D3,22,110,4708,8.847527110991887,3.9505958557128906,21.800994873046875,9.598732,True
EUR_USD,D3,44,220,4708,9.307081454268125,4.199743270874023,23.649930953979492,9.598732,True
EUR_USD,D3,88,440,4708,9.696399294529916,4.800558090209961,24.76489543914796,9.598732,True
EUR_USD,D3,176,880,4708,10.537654794467741,5.649328231811523,26.814460754394542,9.598732,True
EUR_USD,D4,11,55,5962,6.97214085157587,2.950429916381836,17.90034770965576,9.598732,True
EUR_USD,D4,22,110,5951,8.306608062254403,3.249645233154297,21.70085906982422,9.598732,True
EUR_USD,D4,44,220,5942,8.804247821472742,3.8504600524902344,21.799802780151367,9.598732,True
EUR_USD,D4,88,440,5942,9.48249932613007,4.799365997314453,23.19931983947754,9.598732,True
EUR_USD,D4,176,880,5942,10.232891911250178,5.3501129150390625,25.99954605102539,9.598732,True
