pair,src_band,lag_bars,lag_sec,n_shocks,mean_abs_pips,p50_abs_pips,p90_abs_pips,barrier_pips,clears_barrier
EUR_JPY,D3,11,55,1347,11.517223459539672,4.8499999999989996,26.64000000000102,16.799999999994952,True
EUR_JPY,D3,22,110,1344,12.469419642857144,5.500000000000682,27.919999999999167,16.799999999994952,True
EUR_JPY,D3,44,220,1344,12.12723214285713,5.500000000000682,29.650000000000887,16.799999999994952,True
EUR_JPY,D3,88,440,1344,13.383184523809492,6.049999999999045,32.20000000000226,16.799999999994952,True
EUR_JPY,D3,176,880,1344,14.181212797618993,7.0499999999981355,31.334999999999983,16.799999999994952,True
EUR_JPY,D4,11,55,1896,11.296466244725691,4.450000000001353,26.724999999999,16.799999999994952,True
EUR_JPY,D4,22,110,1885,13.613819628647192,5.0499999999999545,33.23999999999964,16.799999999994952,True
EUR_JPY,D4,44,220,1885,13.040371352785169,5.0499999999999545,30.880000000000834,16.799999999994952,True
EUR_JPY,D4,88,440,1885,13.964748010610021,5.750000000000455,36.129999999999434,16.799999999994952,True
EUR_JPY,D4,176,880,1885,14.783315649867255,6.799999999998363,35.3999999999985,16.799999999994952,True
