signal,pair,tp,wf3,wf_pass,oos_pd,oos_wr,tpd,n_oos
pmom_m15m5,EUR_GBP,8,3,1,0.28,100.0,0.04,17
pmom_m15m5,EUR_GBP,10,3,1,0.273,100.0,0.03,13
pmom_m15m5,EUR_GBP,12,3,1,0.395,100.0,0.037,16
pmom_m15m5,EUR_GBP,15,3,1,0.878,100.0,0.061,26
pmom_m15m5,EUR_GBP,20,3,1,0.305,100.0,0.016,7
pmom_m15m5,EUR_GBP,25,3,1,0.33,100.0,0.014,6
pmom_m15m5,EUR_GBP,30,3,1,0.273,100.0,0.009,4
pmom_m15m5,EUR_GBP,40,3,1,0.272,100.0,0.007,3
pmom_m15m5,EUR_GBP,50,3,1,0.338,100.0,0.007,3
pmom_m15m5,AUD_USD,3,3,1,0.358,100.0,0.096,41
pmom_m15m5,AUD_USD,5,3,1,0.556,97.9,0.112,48
pmom_m15m5,AUD_USD,7,3,1,1.831,100.0,0.224,96
pmom_m15m5,AUD_USD,8,3,1,1.943,100.0,0.224,96
pmom_m15m5,AUD_USD,10,3,1,1.731,100.0,0.149,64
pmom_m15m5,AUD_USD,12,3,1,1.669,100.0,0.131,56
pmom_m15m5,AUD_USD,15,3,1,1.133,100.0,0.075,32
pmom_m15m5,AUD_USD,20,3,1,0.404,100.0,0.021,9
pmom_m15m5,AUD_USD,25,3,1,1.068,100.0,0.042,18
pmom_m15m5,AUD_USD,30,3,1,0.865,100.0,0.028,12
pmom_m15m5,AUD_USD,40,3,1,0.63,100.0,0.016,7
pmom_m15m5,AUD_USD,50,3,1,2.342,100.0,0.044,19
pmom_m15m5,NZD_JPY,3,2,0,0.383,63.1,0.303,130
pmom_m15m5,NZD_JPY,5,3,1,0.763,98.9,0.203,87
pmom_m15m5,NZD_JPY,7,3,1,1.779,96.9,0.296,127
pmom_m15m5,NZD_JPY,8,3,1,1.658,96.9,0.228,98
pmom_m15m5,NZD_JPY,10,3,1,2.503,99.1,0.266,114
pmom_m15m5,NZD_JPY,12,3,1,2.03,98.8,0.198,85
pmom_m15m5,NZD_JPY,15,3,1,2.503,98.8,0.193,83
pmom_m15m5,NZD_JPY,20,2,0,2.927,100.0,0.145,62
pmom_m15m5,NZD_JPY,25,2,0,2.896,100.0,0.117,50
pmom_m15m5,NZD_JPY,30,2,0,1.24,100.0,0.044,19
pmom_m15m5,NZD_JPY,40,2,0,1.175,100.0,0.03,13
pmom_m15m5,NZD_JPY,50,2,0,1.548,100.0,0.033,14
pmom_m15m5,CHF_JPY,3,2,0,0.272,68.2,0.103,44
pmom_m15m5,CHF_JPY,5,2,0,0.471,94.9,0.091,39
pmom_m15m5,CHF_JPY,7,3,1,0.458,100.0,0.058,25
pmom_m15m5,CHF_JPY,8,3,1,0.509,100.0,0.056,24
pmom_m15m5,CHF_JPY,10,3,1,0.616,100.0,0.058,25
pmom_m15m5,CHF_JPY,12,3,1,0.742,100.0,0.051,22
pmom_m15m5,CHF_JPY,15,3,1,0.826,100.0,0.049,21
pmom_m15m5,CHF_JPY,20,2,0,0.772,100.0,0.035,15
pmom_m15m5,CHF_JPY,25,2,0,0.768,100.0,0.03,13
pmom_m15m5,CHF_JPY,30,2,0,0.899,100.0,0.028,12
pmom_m15m5,CHF_JPY,40,2,0,0.91,100.0,0.021,9
pmom_m15m5,CHF_JPY,50,2,0,1.041,100.0,0.021,9
pmom_m15m5,NZD_USD,3,3,1,0.033,100.0,0.007,3
pmom_m15m5,NZD_USD,5,3,1,0.033,100.0,0.007,3
pmom_m15m5,NZD_USD,7,3,1,2.032,99.2,0.306,131
pmom_m15m5,NZD_USD,8,3,1,1.888,100.0,0.243,104
pmom_m15m5,NZD_USD,10,3,1,2.631,100.0,0.254,109
pmom_m15m5,NZD_USD,12,3,1,2.857,100.0,0.231,99
pmom_m15m5,NZD_USD,15,3,1,1.986,100.0,0.119,51
pmom_m15m5,NZD_USD,20,3,1,3.306,100.0,0.163,70
pmom_m15m5,NZD_USD,25,3,1,1.674,100.0,0.068,29
pmom_m15m5,NZD_USD,30,3,1,1.726,100.0,0.056,24
pmom_m15m5,NZD_USD,40,3,1,1.56,100.0,0.037,16
pmom_m15m5,NZD_USD,50,3,1,0.234,100.0,0.005,2
pmom_m15m5,CAD_JPY,3,3,1,1.454,76.8,0.482,207
pmom_m15m5,CAD_JPY,5,3,1,1.811,98.6,0.326,140
pmom_m15m5,CAD_JPY,7,3,1,1.822,100.0,0.268,115
pmom_m15m5,CAD_JPY,8,3,1,1.931,100.0,0.207,89
pmom_m15m5,CAD_JPY,10,3,1,2.485,100.0,0.224,96
pmom_m15m5,CAD_JPY,12,3,1,3.433,99.2,0.275,118
pmom_m15m5,CAD_JPY,15,3,1,2.438,100.0,0.172,74
pmom_m15m5,CAD_JPY,20,3,1,1.77,100.0,0.091,39
pmom_m15m5,CAD_JPY,25,2,0,2.973,98.1,0.123,53
pmom_m15m5,CAD_JPY,30,2,0,1.536,100.0,0.051,22
pmom_m15m5,CAD_JPY,40,2,0,2.423,100.0,0.061,26
pmom_m15m5,CAD_JPY,50,2,0,1.754,100.0,0.035,15
sma16_h1m30,GBP_JPY,3,3,1,0.958,62.8,0.608,261
sma16_h1m30,GBP_JPY,5,3,1,1.772,91.3,0.538,231
sma16_h1m30,GBP_JPY,7,3,1,2.457,98.9,0.438,188
sma16_h1m30,GBP_JPY,8,3,1,3.225,98.4,0.44,189
sma16_h1m30,GBP_JPY,10,3,1,3.762,98.2,0.394,169
sma16_h1m30,GBP_JPY,12,3,1,4.095,98.6,0.342,147
sma16_h1m30,GBP_JPY,15,3,1,3.572,97.4,0.268,115
sma16_h1m30,GBP_JPY,20,3,1,4.23,97.9,0.226,97
sma16_h1m30,GBP_JPY,25,3,1,4.31,97.6,0.191,82
sma16_h1m30,GBP_JPY,30,3,1,4.232,97.0,0.154,66
sma16_h1m30,GBP_JPY,40,3,1,4.75,98.1,0.123,53
sma16_h1m30,GBP_JPY,50,3,1,5.093,100.0,0.105,45
sma16_h1m30,USD_JPY,3,3,1,4.664,98.4,0.884,379
sma16_h1m30,USD_JPY,5,3,1,5.508,99.3,0.716,307
sma16_h1m30,USD_JPY,7,3,1,5.738,99.2,0.606,260
sma16_h1m30,USD_JPY,8,3,1,5.743,99.1,0.548,235
sma16_h1m30,USD_JPY,10,3,1,6.143,99.5,0.501,215
sma16_h1m30,USD_JPY,12,3,1,6.051,99.4,0.406,174
sma16_h1m30,USD_JPY,15,3,1,6.501,100.0,0.364,156
sma16_h1m30,USD_JPY,20,3,1,6.805,100.0,0.303,130
sma16_h1m30,USD_JPY,25,3,1,6.132,100.0,0.221,95
sma16_h1m30,USD_JPY,30,3,1,6.679,100.0,0.196,84
sma16_h1m30,USD_JPY,40,3,1,6.561,100.0,0.152,65
sma16_h1m30,USD_JPY,50,3,1,6.185,100.0,0.114,49
sma16_h1m30,EUR_JPY,3,3,1,0.605,86.2,0.203,87
sma16_h1m30,EUR_JPY,5,3,1,0.778,97.3,0.17,73
sma16_h1m30,EUR_JPY,7,3,1,1.05,98.5,0.152,65
sma16_h1m30,EUR_JPY,8,3,1,1.121,98.4,0.142,61
sma16_h1m30,EUR_JPY,10,3,1,1.232,98.2,0.131,56
sma16_h1m30,EUR_JPY,12,3,1,3.406,99.3,0.333,143
sma16_h1m30,EUR_JPY,15,3,1,3.905,99.2,0.282,121
sma16_h1m30,EUR_JPY,20,3,1,4.521,100.0,0.233,100
sma16_h1m30,EUR_JPY,25,3,1,8.188,100.0,0.336,144
sma16_h1m30,EUR_JPY,30,3,1,4.581,100.0,0.159,68
sma16_h1m30,EUR_JPY,40,3,1,5.133,100.0,0.133,57
sma16_h1m30,EUR_JPY,50,3,1,5.246,100.0,0.107,46
sma16_h1m30,GBP_USD,3,3,1,1.302,98.6,0.324,139
sma16_h1m30,GBP_USD,5,3,1,1.585,100.0,0.259,111
sma16_h1m30,GBP_USD,7,3,1,1.868,100.0,0.217,93
sma16_h1m30,GBP_USD,8,3,1,2.015,100.0,0.198,85
sma16_h1m30,GBP_USD,10,3,1,2.134,100.0,0.177,76
sma16_h1m30,GBP_USD,12,3,1,2.229,100.0,0.152,65
sma16_h1m30,GBP_USD,15,3,1,2.208,100.0,0.128,55
sma16_h1m30,GBP_USD,20,3,1,2.332,100.0,0.107,46
sma16_h1m30,GBP_USD,25,3,1,2.669,100.0,0.096,41
sma16_h1m30,GBP_USD,30,3,1,2.682,100.0,0.082,35
sma16_h1m30,GBP_USD,40,3,1,2.694,100.0,0.065,28
sma16_h1m30,GBP_USD,50,3,1,5.856,100.0,0.112,48
sma16_h1m30,AUD_JPY,3,3,1,0.505,86.4,0.24,103
sma16_h1m30,AUD_JPY,5,3,1,0.741,100.0,0.196,84
sma16_h1m30,AUD_JPY,7,3,1,0.963,100.0,0.144,62
sma16_h1m30,AUD_JPY,8,3,1,0.921,98.3,0.14,60
sma16_h1m30,AUD_JPY,10,3,1,1.512,100.0,0.165,71
sma16_h1m30,AUD_JPY,12,3,1,1.38,100.0,0.121,52
sma16_h1m30,AUD_JPY,15,3,1,1.365,100.0,0.093,40
sma16_h1m30,AUD_JPY,20,3,1,3.187,98.6,0.165,71
sma16_h1m30,AUD_JPY,25,3,1,3.294,98.3,0.137,59
sma16_h1m30,AUD_JPY,30,2,0,2.5,100.0,0.084,36
sma16_h1m30,AUD_JPY,40,2,0,1.958,100.0,0.049,21
sma16_h1m30,AUD_JPY,50,2,0,3.421,100.0,0.072,31
sma16_h1m30,EUR_USD,3,3,1,1.472,100.0,0.352,151
sma16_h1m30,EUR_USD,5,3,1,1.782,100.0,0.28,120
sma16_h1m30,EUR_USD,7,3,1,2.494,100.0,0.27,116
sma16_h1m30,EUR_USD,8,3,1,2.665,100.0,0.249,107
sma16_h1m30,EUR_USD,10,3,1,2.85,100.0,0.219,94
sma16_h1m30,EUR_USD,12,3,1,2.69,100.0,0.189,81
sma16_h1m30,EUR_USD,15,3,1,3.652,100.0,0.214,92
sma16_h1m30,EUR_USD,20,3,1,3.027,100.0,0.131,56
sma16_h1m30,EUR_USD,25,3,1,3.32,100.0,0.117,50
sma16_h1m30,EUR_USD,30,2,0,3.188,100.0,0.093,40
sma16_h1m30,EUR_USD,40,2,0,2.288,100.0,0.054,23
sma16_h1m30,EUR_USD,50,2,0,3.419,100.0,0.063,27
sma16_h1m30,EUR_GBP,3,3,1,0.152,100.0,0.072,31
sma16_h1m30,EUR_GBP,5,3,1,0.227,100.0,0.051,22
sma16_h1m30,EUR_GBP,7,3,1,0.229,100.0,0.037,16
sma16_h1m30,EUR_GBP,8,3,1,0.245,100.0,0.035,15
sma16_h1m30,EUR_GBP,10,3,1,0.26,100.0,0.03,13
sma16_h1m30,EUR_GBP,12,3,1,0.309,100.0,0.028,12
sma16_h1m30,EUR_GBP,15,3,1,0.301,100.0,0.021,9
sma16_h1m30,EUR_GBP,20,3,1,0.305,100.0,0.016,7
sma16_h1m30,EUR_GBP,25,3,1,0.341,100.0,0.014,6
sma16_h1m30,EUR_GBP,30,3,1,0.335,100.0,0.012,5
sma16_h1m30,EUR_GBP,40,3,1,0.273,100.0,0.007,3
sma16_h1m30,EUR_GBP,50,3,1,0.337,100.0,0.007,3
sma16_h1m30,AUD_USD,3,3,1,0.534,100.0,0.163,70
sma16_h1m30,AUD_USD,5,3,1,0.684,100.0,0.126,54
sma16_h1m30,AUD_USD,7,3,1,0.735,100.0,0.098,42
sma16_h1m30,AUD_USD,8,3,1,0.744,100.0,0.089,38
sma16_h1m30,AUD_USD,10,3,1,0.792,100.0,0.072,31
sma16_h1m30,AUD_USD,12,3,1,0.854,100.0,0.068,29
sma16_h1m30,AUD_USD,15,3,1,0.837,100.0,0.051,22
sma16_h1m30,AUD_USD,20,3,1,0.866,100.0,0.042,18
sma16_h1m30,AUD_USD,25,3,1,0.886,100.0,0.035,15
sma16_h1m30,AUD_USD,30,3,1,0.907,100.0,0.028,12
sma16_h1m30,AUD_USD,40,3,1,0.879,100.0,0.021,9
sma16_h1m30,AUD_USD,50,3,1,0.927,100.0,0.019,8
sma16_h1m30,NZD_JPY,3,2,0,0.156,65.7,0.163,70
sma16_h1m30,NZD_JPY,5,3,1,0.367,96.6,0.135,58
sma16_h1m30,NZD_JPY,7,3,1,0.508,95.8,0.112,48
sma16_h1m30,NZD_JPY,8,3,1,0.551,95.1,0.096,41
sma16_h1m30,NZD_JPY,10,3,1,0.662,97.2,0.084,36
sma16_h1m30,NZD_JPY,12,3,1,0.648,96.6,0.068,29
sma16_h1m30,NZD_JPY,15,3,1,0.772,96.3,0.063,27
sma16_h1m30,NZD_JPY,20,2,0,0.952,100.0,0.054,23
sma16_h1m30,NZD_JPY,25,2,0,0.86,100.0,0.04,17
sma16_h1m30,NZD_JPY,30,2,0,0.881,100.0,0.033,14
sma16_h1m30,NZD_JPY,40,2,0,1.079,100.0,0.028,12
sma16_h1m30,NZD_JPY,50,2,0,1.016,100.0,0.021,9
sma16_h1m30,CHF_JPY,3,2,0,0.861,57.1,0.463,198
sma16_h1m30,CHF_JPY,5,3,1,0.354,86.8,0.178,76
sma16_h1m30,CHF_JPY,7,3,1,0.725,95.4,0.152,65
sma16_h1m30,CHF_JPY,8,3,1,0.73,98.4,0.143,61
sma16_h1m30,CHF_JPY,10,3,1,0.996,98.2,0.131,56
sma16_h1m30,CHF_JPY,12,3,1,1.055,97.9,0.112,48
sma16_h1m30,CHF_JPY,15,3,1,1.237,100.0,0.096,41
sma16_h1m30,CHF_JPY,20,2,0,1.486,100.0,0.082,35
sma16_h1m30,CHF_JPY,25,2,0,1.454,100.0,0.063,27
sma16_h1m30,CHF_JPY,30,2,0,1.558,100.0,0.056,24
sma16_h1m30,CHF_JPY,40,2,0,1.743,100.0,0.047,20
sma16_h1m30,CHF_JPY,50,2,0,1.769,100.0,0.037,16
sma16_h1m30,NZD_USD,3,3,1,0.117,100.0,0.063,27
sma16_h1m30,NZD_USD,5,3,1,0.198,100.0,0.051,22
sma16_h1m30,NZD_USD,7,3,1,0.168,100.0,0.03,13
sma16_h1m30,NZD_USD,8,3,1,0.199,100.0,0.028,12
sma16_h1m30,NZD_USD,10,3,1,0.203,100.0,0.023,10
sma16_h1m30,NZD_USD,12,3,1,0.221,100.0,0.021,9
sma16_h1m30,NZD_USD,15,3,1,0.23,100.0,0.016,7
sma16_h1m30,NZD_USD,20,3,1,0.214,100.0,0.012,5
sma16_h1m30,NZD_USD,25,3,1,0.228,100.0,0.009,4
sma16_h1m30,NZD_USD,30,3,1,0.2,100.0,0.007,3
sma16_h1m30,NZD_USD,40,3,1,0.181,100.0,0.005,2
sma16_h1m30,NZD_USD,50,3,1,0.234,100.0,0.005,2
sma16_h1m30,CAD_JPY,3,3,1,0.729,80.1,0.41,176
sma16_h1m30,CAD_JPY,5,3,1,0.986,99.2,0.28,120
sma16_h1m30,CAD_JPY,7,3,1,1.152,98.9,0.214,92
sma16_h1m30,CAD_JPY,8,3,1,1.407,98.9,0.214,92
sma16_h1m30,CAD_JPY,10,3,1,1.564,100.0,0.177,76
sma16_h1m30,CAD_JPY,12,3,1,1.676,100.0,0.149,64
sma16_h1m30,CAD_JPY,15,3,1,2.085,98.3,0.14,60
sma16_h1m30,CAD_JPY,20,3,1,1.824,100.0,0.096,41
sma16_h1m30,CAD_JPY,25,3,1,2.409,100.0,0.098,42
sma16_h1m30,CAD_JPY,30,3,1,2.612,100.0,0.089,38
sma16_h1m30,CAD_JPY,40,3,1,2.244,100.0,0.058,25
sma16_h1m30,CAD_JPY,50,3,1,2.243,100.0,0.047,20
