combo,bits,pips,trades,wr,ppt,sharpe,maxdd
BASELINE,000,119.40121650695801,16543,0.4904189082995829,0.007217627788608959,0.4938091777705042,301.38134956359863
BB_squeeze,100,120.25237083435059,16537,0.4904759025216182,0.007271716202113478,0.49733615194053066,301.38134956359863
ER_ranging,010,178.9611577987671,5856,0.491120218579235,0.03056030700115558,1.325808687598905,90.06083011627197
BB_squeeze+ER_ranging,110,178.9611577987671,5856,0.491120218579235,0.03056030700115558,1.325808687598905,90.06083011627197
RangePos,001,154.2067527770996,8140,0.4954545454545455,0.01894431852298521,0.8243629036698642,178.76088619232178
BB_squeeze+RangePos,101,154.2067527770996,8140,0.4954545454545455,0.01894431852298521,0.8243629036698642,178.76088619232178
ER_ranging+RangePos,011,58.61997604370117,1238,0.5016155088852988,0.047350546077303046,1.0003792775033835,53.25794219970703
BB_squeeze+ER_ranging+RangePos,111,58.61997604370117,1238,0.5016155088852988,0.047350546077303046,1.0003792775033835,53.25794219970703
