combo,bits,pips,trades,wr,ppt,sharpe,maxdd
BASELINE,000,852.0491693494421,69726,0.4679575611916898,0.012953880918194563,-0.156186840542188,738.2170256138072
BB_squeeze,100,945.9000478741941,69686,0.46792497863854027,0.014333762794459064,-0.14866599852951237,738.2170256138071
ER_ranging,010,945.9000478741941,69686,0.46792497863854027,0.014333762794459064,-0.14866599852951237,738.2170256138071
BB_squeeze+ER_ranging,110,945.9000478741941,69686,0.46792497863854027,0.014333762794459064,-0.14866599852951237,738.2170256138071
RangePos,001,991.2495370862459,43335,0.46630261045505716,0.024071451906125297,-0.1010475804294689,624.4306397676759
BB_squeeze+RangePos,101,991.2495370862459,43335,0.46630261045505716,0.024071451906125297,-0.1010475804294689,624.4306397676759
ER_ranging+RangePos,011,991.2495370862459,43335,0.46630261045505716,0.024071451906125297,-0.1010475804294689,624.4306397676759
BB_squeeze+ER_ranging+RangePos,111,991.2495370862459,43335,0.46630261045505716,0.024071451906125297,-0.1010475804294689,624.4306397676759
