pair,mode,T_h,param,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
EUR_GBP,asym_atr,12,0.8,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,sym_fixed,24,5.0,16,7,9,9.3,-90.9,0.08,-1.51,-86.7,11.1,False
EUR_GBP,sym_fixed,24,10.0,49,48,1,-12.7,-67.8,-0.11,-1.13,0.0,0.0,False
EUR_GBP,sym_fixed,24,15.0,72,46,26,-164.8,-1.3,-1.37,-0.02,-70.5,46.2,False
EUR_GBP,sym_fixed,24,20.0,82,54,28,-233.4,-49.4,-1.94,-0.82,-108.1,42.9,False
EUR_GBP,sym_fixed,24,30.0,143,87,56,-164.1,-124.0,-1.37,-2.07,-202.6,37.5,False
EUR_GBP,sym_fixed,24,50.0,171,109,62,-300.8,-196.4,-2.51,-3.27,-266.9,38.7,False
EUR_GBP,sym_atr,24,0.3,5,5,0,-78.9,0.0,-0.66,0.0,0.0,0.0,False
EUR_GBP,sym_atr,24,0.5,5,5,0,-76.8,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,sym_atr,24,0.7,5,5,0,-77.5,0.0,-0.65,0.0,0.0,0.0,False
EUR_GBP,sym_atr,24,1.0,18,7,11,6.2,-110.9,0.05,-1.85,-104.5,0.0,False
EUR_GBP,sym_atr,24,1.5,74,39,35,-42.0,-66.9,-0.35,-1.11,-108.9,28.6,False
EUR_GBP,sym_atr,24,2.0,72,46,26,-102.2,-44.8,-0.85,-0.75,-108.1,42.3,False
EUR_GBP,asym_fixed,24,0.5,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,24,1.0,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,24,2.0,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,24,3.0,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,24,5.0,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,24,0.1,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,asym_atr,24,0.2,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,24,0.3,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,24,0.5,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,24,0.8,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,sym_fixed,48,5.0,4,4,0,-76.6,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,sym_fixed,48,10.0,12,6,6,3.1,-101.6,0.03,-1.69,-94.3,0.0,False
EUR_GBP,sym_fixed,48,15.0,33,11,22,-50.5,-2.3,-0.42,-0.04,-126.3,50.0,False
EUR_GBP,sym_fixed,48,20.0,67,54,13,105.1,-19.1,0.88,-0.32,-73.6,53.8,False
EUR_GBP,sym_fixed,48,30.0,87,69,18,-30.6,-62.6,-0.25,-1.04,-96.6,50.0,False
EUR_GBP,sym_fixed,48,50.0,102,75,27,-82.5,-162.1,-0.69,-2.7,-211.1,44.4,False
EUR_GBP,sym_atr,48,0.3,4,4,0,-75.0,0.0,-0.63,0.0,0.0,0.0,False
EUR_GBP,sym_atr,48,0.5,4,4,0,-76.6,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,sym_atr,48,0.7,4,4,0,-76.6,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,sym_atr,48,1.0,13,6,7,11.8,-93.3,0.1,-1.55,-86.9,14.3,False
EUR_GBP,sym_atr,48,1.5,13,6,7,3.4,-112.2,0.03,-1.87,-103.8,0.0,False
EUR_GBP,sym_atr,48,2.0,27,7,20,9.8,-5.7,0.08,-0.1,-117.1,50.0,False
EUR_GBP,asym_fixed,48,0.5,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,48,1.0,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,48,2.0,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,48,3.0,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_fixed,48,5.0,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,48,0.1,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,asym_atr,48,0.2,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,48,0.3,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,48,0.5,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
EUR_GBP,asym_atr,48,0.8,4,4,0,-76.4,0.0,-0.64,0.0,0.0,0.0,False
NZD_USD,sym_fixed,6,5.0,193,118,75,190.6,435.4,1.59,7.26,-27.3,60.0,True
NZD_USD,sym_fixed,6,10.0,170,155,15,92.9,-116.2,0.77,-1.94,-136.8,46.7,False
NZD_USD,sym_fixed,6,15.0,333,214,119,-28.7,69.3,-0.24,1.16,-152.9,51.3,False
NZD_USD,sym_fixed,6,20.0,420,283,137,-457.4,-37.1,-3.81,-0.62,-170.6,51.8,False
NZD_USD,sym_fixed,6,30.0,497,341,156,-606.8,-117.7,-5.06,-1.96,-225.4,51.3,False
NZD_USD,sym_fixed,6,50.0,545,350,195,-700.7,-214.5,-5.84,-3.57,-379.3,50.8,False
NZD_USD,sym_atr,6,0.3,155,78,77,241.0,530.2,2.01,8.84,-21.0,64.9,True
NZD_USD,sym_atr,6,0.5,135,72,63,179.5,383.6,1.5,6.39,-21.0,58.7,True
NZD_USD,sym_atr,6,0.7,155,139,16,273.1,-113.0,2.28,-1.88,-131.7,56.2,True
NZD_USD,sym_atr,6,1.0,163,148,15,137.3,-123.2,1.14,-2.05,-142.0,46.7,True
NZD_USD,sym_atr,6,1.5,306,178,128,-10.7,11.9,-0.09,0.2,-150.3,53.1,False
NZD_USD,sym_atr,6,2.0,361,220,141,-122.4,-61.7,-1.02,-1.03,-169.4,51.8,False
NZD_USD,asym_fixed,6,0.5,45,45,0,-11.4,0.0,-0.09,0.0,0.0,0.0,False
NZD_USD,asym_fixed,6,1.0,84,62,22,291.7,3.7,2.43,0.06,-256.6,63.6,True
NZD_USD,asym_fixed,6,2.0,71,64,7,322.6,-112.1,2.69,-1.87,-148.0,42.9,True
NZD_USD,asym_fixed,6,3.0,75,66,9,320.9,-102.9,2.67,-1.72,-123.5,55.6,True
NZD_USD,asym_fixed,6,5.0,80,72,8,296.1,-98.6,2.47,-1.64,-122.9,50.0,True
NZD_USD,asym_atr,6,0.1,83,61,22,325.2,2.2,2.71,0.04,-256.6,63.6,True
NZD_USD,asym_atr,6,0.2,72,65,7,282.6,-112.1,2.35,-1.87,-148.0,42.9,True
NZD_USD,asym_atr,6,0.3,75,66,9,314.9,-102.9,2.62,-1.72,-123.5,55.6,True
NZD_USD,asym_atr,6,0.5,80,71,9,288.1,-100.6,2.4,-1.68,-122.9,55.6,True
NZD_USD,asym_atr,6,0.8,107,89,18,399.0,-67.7,3.33,-1.13,-256.6,72.2,True
NZD_USD,sym_fixed,8,5.0,56,56,0,-84.1,0.0,-0.7,0.0,0.0,0.0,False
NZD_USD,sym_fixed,8,10.0,57,57,0,-216.5,0.0,-1.8,0.0,0.0,0.0,False
NZD_USD,sym_fixed,8,15.0,106,106,0,-283.6,0.0,-2.36,0.0,0.0,0.0,False
NZD_USD,sym_fixed,8,20.0,355,259,96,-366.2,34.2,-3.05,0.57,-152.1,56.2,False
NZD_USD,sym_fixed,8,30.0,417,290,127,-533.9,-60.3,-4.45,-1.0,-215.9,55.1,False
NZD_USD,sym_fixed,8,50.0,450,295,155,-621.2,-147.5,-5.18,-2.46,-271.3,54.8,False
NZD_USD,sym_atr,8,0.3,138,69,69,242.3,567.7,2.02,9.46,-14.7,56.5,True
NZD_USD,sym_atr,8,0.5,130,70,60,184.0,410.7,1.53,6.84,-18.0,61.7,True
NZD_USD,sym_atr,8,0.7,57,57,0,-99.4,0.0,-0.83,0.0,0.0,0.0,False
NZD_USD,sym_atr,8,1.0,58,58,0,-147.8,0.0,-1.23,0.0,0.0,0.0,False
NZD_USD,sym_atr,8,1.5,222,124,98,-53.2,98.9,-0.44,1.65,-134.2,57.1,False
NZD_USD,sym_atr,8,2.0,259,147,112,-154.8,-39.5,-1.29,-0.66,-191.1,55.4,False
NZD_USD,asym_fixed,8,0.5,102,55,47,323.7,639.3,2.7,10.66,-8.6,74.5,True
NZD_USD,asym_fixed,8,1.0,78,57,21,308.1,4.2,2.57,0.07,-256.6,66.7,True
NZD_USD,asym_fixed,8,2.0,67,60,7,320.7,-112.1,2.67,-1.87,-148.0,42.9,True
NZD_USD,asym_fixed,8,3.0,58,49,9,257.1,-101.3,2.14,-1.69,-122.9,55.6,True
NZD_USD,asym_fixed,8,5.0,56,48,8,252.1,-97.0,2.1,-1.62,-122.9,50.0,True
NZD_USD,asym_atr,8,0.1,76,56,20,325.6,2.8,2.71,0.05,-256.6,70.0,True
NZD_USD,asym_atr,8,0.2,68,61,7,337.8,-112.1,2.81,-1.87,-148.0,42.9,True
NZD_USD,asym_atr,8,0.3,58,49,9,254.8,-103.9,2.12,-1.73,-124.5,44.4,True
NZD_USD,asym_atr,8,0.5,56,47,9,247.5,-100.7,2.06,-1.68,-122.9,55.6,True
NZD_USD,asym_atr,8,0.8,61,49,12,260.7,76.8,2.17,1.28,-11.0,83.3,True
NZD_USD,sym_fixed,12,5.0,35,35,0,-53.8,0.0,-0.45,0.0,0.0,0.0,False
NZD_USD,sym_fixed,12,10.0,57,57,0,-158.9,0.0,-1.32,0.0,0.0,0.0,False
NZD_USD,sym_fixed,12,15.0,88,88,0,-200.5,0.0,-1.67,0.0,0.0,0.0,False
NZD_USD,sym_fixed,12,20.0,114,114,0,-354.8,0.0,-2.96,0.0,0.0,0.0,False
NZD_USD,sym_fixed,12,30.0,112,112,0,-521.5,0.0,-4.35,0.0,0.0,0.0,False
NZD_USD,sym_fixed,12,50.0,153,153,0,-632.8,0.0,-5.27,0.0,0.0,0.0,False
NZD_USD,sym_atr,12,0.3,67,50,17,314.5,-89.5,2.62,-1.49,-256.6,58.8,True
NZD_USD,sym_atr,12,0.5,111,61,50,261.5,372.8,2.18,6.21,-33.0,58.0,True
NZD_USD,sym_atr,12,0.7,34,34,0,-55.8,0.0,-0.46,0.0,0.0,0.0,False
NZD_USD,sym_atr,12,1.0,36,36,0,-81.3,0.0,-0.68,0.0,0.0,0.0,False
NZD_USD,sym_atr,12,1.5,82,82,0,-149.4,0.0,-1.24,0.0,0.0,0.0,False
NZD_USD,sym_atr,12,2.0,98,64,34,-166.3,-77.8,-1.39,-1.3,-200.0,50.0,False
NZD_USD,asym_fixed,12,0.5,61,49,12,348.9,-64.6,2.91,-1.08,-251.4,83.3,True
NZD_USD,asym_fixed,12,1.0,67,52,15,373.5,-50.9,3.11,-0.85,-256.6,73.3,True
NZD_USD,asym_fixed,12,2.0,64,47,17,368.9,-69.9,3.07,-1.17,-256.6,70.6,True
NZD_USD,asym_fixed,12,3.0,65,48,17,397.7,-69.1,3.31,-1.15,-256.6,70.6,True
NZD_USD,asym_fixed,12,5.0,67,50,17,341.1,-69.1,2.84,-1.15,-256.6,70.6,True
NZD_USD,asym_atr,12,0.1,65,50,15,372.3,-51.9,3.1,-0.87,-256.6,73.3,True
NZD_USD,asym_atr,12,0.2,68,52,16,383.2,-70.5,3.19,-1.17,-256.6,68.8,True
NZD_USD,asym_atr,12,0.3,65,48,17,397.3,-69.1,3.31,-1.15,-256.6,70.6,True
NZD_USD,asym_atr,12,0.5,67,50,17,340.1,-69.1,2.83,-1.15,-256.6,70.6,True
NZD_USD,asym_atr,12,0.8,68,51,17,362.2,-69.1,3.02,-1.15,-256.6,70.6,True
NZD_USD,sym_fixed,24,5.0,94,47,47,386.5,579.3,3.22,9.66,-15.8,74.5,True
NZD_USD,sym_fixed,24,10.0,75,66,9,401.4,90.9,3.35,1.51,-8.2,66.7,True
NZD_USD,sym_fixed,24,15.0,138,79,59,294.5,474.5,2.45,7.91,-138.4,74.6,True
NZD_USD,sym_fixed,24,20.0,181,118,63,472.1,668.4,3.93,11.14,-48.1,77.8,True
NZD_USD,sym_fixed,24,30.0,192,122,70,235.7,641.3,1.96,10.69,-41.4,78.6,True
NZD_USD,sym_fixed,24,50.0,223,145,78,184.1,112.1,1.53,1.87,-200.7,69.2,False
NZD_USD,sym_atr,24,0.3,59,50,9,400.6,102.1,3.34,1.7,-4.0,66.7,True
NZD_USD,sym_atr,24,0.5,59,50,9,384.2,97.0,3.2,1.62,-7.2,66.7,True
NZD_USD,sym_atr,24,0.7,101,48,53,391.6,614.9,3.26,10.25,-21.1,75.5,True
NZD_USD,sym_atr,24,1.0,71,62,9,440.0,90.5,3.67,1.51,-8.6,66.7,True
NZD_USD,sym_atr,24,1.5,136,72,64,239.9,672.7,2.0,11.21,-41.4,76.6,True
NZD_USD,sym_atr,24,2.0,95,58,37,25.3,112.3,0.21,1.87,-226.7,73.0,False
NZD_USD,asym_fixed,24,0.5,40,32,8,344.7,103.1,2.87,1.72,-8.6,75.0,True
NZD_USD,asym_fixed,24,1.0,49,33,16,346.3,11.3,2.89,0.19,-251.4,87.5,True
NZD_USD,asym_fixed,24,2.0,51,34,17,332.7,12.1,2.77,0.2,-251.4,88.2,True
NZD_USD,asym_fixed,24,3.0,52,35,17,356.6,12.7,2.97,0.21,-251.4,88.2,True
NZD_USD,asym_fixed,24,5.0,52,35,17,357.1,15.1,2.98,0.25,-251.4,88.2,True
NZD_USD,asym_atr,24,0.1,49,33,16,346.3,11.3,2.89,0.19,-251.4,87.5,True
NZD_USD,asym_atr,24,0.2,50,34,16,348.9,11.3,2.91,0.19,-251.4,87.5,True
NZD_USD,asym_atr,24,0.3,52,35,17,354.4,12.4,2.95,0.21,-251.4,88.2,True
NZD_USD,asym_atr,24,0.5,52,35,17,357.1,13.5,2.98,0.23,-251.4,88.2,True
NZD_USD,asym_atr,24,0.8,52,35,17,357.1,16.3,2.98,0.27,-251.4,88.2,True
NZD_USD,sym_fixed,48,5.0,49,46,3,525.1,-129.2,4.38,-2.15,-143.0,33.3,True
NZD_USD,sym_fixed,48,10.0,29,29,0,-13.3,0.0,-0.11,0.0,0.0,0.0,False
NZD_USD,sym_fixed,48,15.0,64,53,11,389.5,119.2,3.25,1.99,-8.6,72.7,True
NZD_USD,sym_fixed,48,20.0,95,71,24,440.7,94.5,3.67,1.58,-187.5,75.0,True
NZD_USD,sym_fixed,48,30.0,76,27,49,37.3,136.3,0.31,2.27,-149.9,69.4,False
NZD_USD,sym_fixed,48,50.0,148,86,62,282.7,309.2,2.36,5.15,-99.8,77.4,True
NZD_USD,sym_atr,48,0.3,47,44,3,507.6,-125.9,4.23,-2.1,-143.0,33.3,True
NZD_USD,sym_atr,48,0.5,49,46,3,524.3,-129.2,4.37,-2.15,-143.0,33.3,True
NZD_USD,sym_atr,48,0.7,27,27,0,7.5,0.0,0.06,0.0,0.0,0.0,False
NZD_USD,sym_atr,48,1.0,58,49,9,411.9,116.5,3.43,1.94,-8.6,77.8,True
NZD_USD,sym_atr,48,1.5,57,51,6,420.1,-113.7,3.5,-1.9,-143.0,50.0,True
NZD_USD,sym_atr,48,2.0,27,16,11,16.5,-164.7,0.14,-2.74,-258.7,63.6,False
NZD_USD,asym_fixed,48,0.5,44,32,12,423.7,-44.6,3.53,-0.74,-251.4,91.7,True
NZD_USD,asym_fixed,48,1.0,45,33,12,443.3,-44.6,3.69,-0.74,-251.4,91.7,True
NZD_USD,asym_fixed,48,2.0,46,34,12,414.0,-44.6,3.45,-0.74,-251.4,91.7,True
NZD_USD,asym_fixed,48,3.0,46,34,12,414.9,-44.6,3.46,-0.74,-251.4,91.7,True
NZD_USD,asym_fixed,48,5.0,48,36,12,436.4,-44.6,3.64,-0.74,-251.4,91.7,True
NZD_USD,asym_atr,48,0.1,44,32,12,424.1,-44.6,3.53,-0.74,-251.4,91.7,True
NZD_USD,asym_atr,48,0.2,46,34,12,430.9,-44.6,3.59,-0.74,-251.4,91.7,True
NZD_USD,asym_atr,48,0.3,46,34,12,414.3,-44.6,3.45,-0.74,-251.4,91.7,True
NZD_USD,asym_atr,48,0.5,48,36,12,436.4,-44.6,3.64,-0.74,-251.4,91.7,True
NZD_USD,asym_atr,48,0.8,48,36,12,441.7,-44.6,3.68,-0.74,-251.4,91.7,True
