pair,K,tp_keep,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
EUR_USD,24,True,313,180,133,-160.4,292.2,-1.34,4.87,-286.0,74.4,False
EUR_USD,24,False,100,65,35,-141.7,389.1,-1.18,6.48,-324.2,37.1,False
GBP_USD,0,True,430,259,171,-402.4,31.2,-3.35,0.52,-608.3,77.2,False
GBP_USD,0,False,117,79,38,-127.6,393.3,-1.06,6.55,-305.7,42.1,False
GBP_USD,1,True,427,255,172,-511.3,66.1,-4.26,1.1,-632.1,77.3,False
GBP_USD,1,False,117,79,38,-190.3,399.6,-1.59,6.66,-343.2,39.5,False
GBP_USD,3,True,426,254,172,-417.5,-58.9,-3.48,-0.98,-719.4,77.3,False
GBP_USD,3,False,117,79,38,-122.2,250.6,-1.02,4.18,-445.6,39.5,False
GBP_USD,6,True,416,250,166,-362.2,-3.9,-3.02,-0.07,-608.9,77.1,False
GBP_USD,6,False,113,75,38,-0.0,291.2,-0.0,4.85,-352.9,36.8,False
GBP_USD,12,True,400,237,163,-477.1,-162.1,-3.98,-2.7,-806.2,76.7,False
GBP_USD,12,False,109,71,38,-124.0,99.2,-1.03,1.65,-554.1,34.2,False
GBP_USD,24,True,386,229,157,-425.2,-29.1,-3.54,-0.48,-661.0,77.7,False
GBP_USD,24,False,103,67,36,-148.4,134.1,-1.24,2.23,-469.9,41.7,False
CAD_JPY,0,True,394,251,143,170.2,-200.1,1.42,-3.33,-380.0,70.6,False
CAD_JPY,0,False,111,68,43,694.8,-26.5,5.79,-0.44,-254.1,32.6,False
CAD_JPY,1,True,391,249,142,180.7,-220.0,1.51,-3.67,-346.0,70.4,False
CAD_JPY,1,False,111,68,43,694.9,-29.8,5.79,-0.5,-238.8,32.6,False
CAD_JPY,3,True,388,248,140,151.9,-283.9,1.27,-4.73,-386.5,70.0,False
CAD_JPY,3,False,111,68,43,712.9,-164.1,5.94,-2.73,-258.3,30.2,False
CAD_JPY,6,True,371,239,132,41.6,-382.0,0.35,-6.37,-476.6,69.7,False
CAD_JPY,6,False,109,68,41,547.4,-188.2,4.56,-3.14,-249.1,31.7,False
CAD_JPY,12,True,364,234,130,161.2,-253.8,1.34,-4.23,-408.6,72.3,False
CAD_JPY,12,False,99,60,39,704.2,-172.9,5.87,-2.88,-316.7,30.8,False
CAD_JPY,24,True,341,221,120,14.9,-301.1,0.12,-5.02,-501.7,72.5,False
CAD_JPY,24,False,97,60,37,584.1,-216.1,4.87,-3.6,-379.5,37.8,False
AUD_USD,0,True,292,165,127,-200.3,-82.4,-1.67,-1.37,-567.3,69.3,False
AUD_USD,0,False,117,77,40,-114.2,31.4,-0.95,0.52,-557.1,32.5,False
AUD_USD,1,True,293,166,127,-207.5,-83.0,-1.73,-1.38,-577.4,69.3,False
AUD_USD,1,False,117,77,40,-126.4,25.3,-1.05,0.42,-556.0,27.5,False
AUD_USD,3,True,288,165,123,-235.6,-185.0,-1.96,-3.08,-650.2,68.3,False
AUD_USD,3,False,117,77,40,-136.4,-28.3,-1.14,-0.47,-606.0,27.5,False
AUD_USD,6,True,288,167,121,-232.5,-281.7,-1.94,-4.69,-742.9,67.8,False
AUD_USD,6,False,117,77,40,-117.7,-136.4,-0.98,-2.27,-694.1,30.0,False
AUD_USD,12,True,277,159,118,-318.0,-457.1,-2.65,-7.62,-771.8,67.8,False
AUD_USD,12,False,117,77,40,-203.2,-418.7,-1.69,-6.98,-754.0,25.0,False
AUD_USD,24,True,274,154,120,-71.6,-119.2,-0.6,-1.99,-512.7,70.8,False
AUD_USD,24,False,111,73,38,-44.0,-51.3,-0.37,-0.85,-442.8,28.9,False
EUR_GBP,0,True,222,151,71,-681.1,-257.8,-5.68,-4.3,-324.7,39.4,False
EUR_GBP,0,False,144,99,45,-640.9,-197.6,-5.34,-3.29,-245.4,26.7,False
EUR_GBP,1,True,223,152,71,-683.1,-273.8,-5.69,-4.56,-329.8,39.4,False
EUR_GBP,1,False,144,99,45,-633.7,-200.7,-5.28,-3.35,-242.1,26.7,False
EUR_GBP,3,True,222,151,71,-745.0,-305.8,-6.21,-5.1,-346.2,36.6,False
EUR_GBP,3,False,144,99,45,-681.6,-242.0,-5.68,-4.03,-253.5,22.2,False
EUR_GBP,6,True,218,147,71,-819.4,-289.3,-6.83,-4.82,-343.8,39.4,False
EUR_GBP,6,False,142,97,45,-771.2,-241.7,-6.43,-4.03,-275.5,26.7,False
EUR_GBP,12,True,210,139,71,-771.2,-322.6,-6.43,-5.38,-383.5,36.6,False
EUR_GBP,12,False,134,89,45,-733.2,-258.4,-6.11,-4.31,-296.2,22.2,False
EUR_GBP,24,True,195,124,71,-713.8,-319.6,-5.95,-5.33,-380.4,40.8,False
EUR_GBP,24,False,124,79,45,-662.1,-236.9,-5.52,-3.95,-276.5,28.9,False
NZD_USD,0,True,271,163,108,-260.5,75.4,-2.17,1.26,-249.7,67.6,False
NZD_USD,0,False,122,85,37,-29.8,128.3,-0.25,2.14,-191.8,37.8,False
NZD_USD,1,True,270,165,105,-284.7,36.9,-2.37,0.61,-293.1,67.6,False
NZD_USD,1,False,122,85,37,-56.0,112.2,-0.47,1.87,-209.0,35.1,False
NZD_USD,3,True,273,168,105,-303.8,54.4,-2.53,0.91,-278.8,66.7,False
NZD_USD,3,False,122,85,37,-91.6,129.8,-0.76,2.16,-190.1,35.1,False
NZD_USD,6,True,269,164,105,-304.4,32.7,-2.54,0.55,-284.2,68.6,False
NZD_USD,6,False,116,81,35,-57.6,71.9,-0.48,1.2,-217.2,34.3,False
NZD_USD,12,True,254,159,95,-312.2,-211.2,-2.6,-3.52,-470.7,66.3,False
NZD_USD,12,False,114,81,33,-115.6,-159.0,-0.96,-2.65,-418.0,33.3,False
NZD_USD,24,True,248,155,93,-241.9,-171.7,-2.02,-2.86,-518.9,66.7,False
NZD_USD,24,False,108,77,31,-79.3,-116.2,-0.66,-1.94,-442.5,32.3,False
