tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,EUR_USD,5/10/22,1,15.0,12047,8056,3991,-9521.4,-5158.8,-29.87,-32.37,-5155.7,26.1,478.2
S5/S30/M1,EUR_USD,5/10/22,1,20.0,11964,7991,3973,-9475.4,-5088.7,-29.72,-31.93,-5103.2,26.1,478.2
S5/S30/M1,EUR_USD,5/10/22,1,30.0,11926,7960,3966,-9546.3,-5125.4,-29.95,-32.16,-5133.8,26.0,478.2
S5/S30/M1,EUR_USD,5/15/35,0,15.0,90,90,0,-239.1,0.0,-0.75,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,5/15/35,0,20.0,26,26,0,-513.9,0.0,-1.61,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,5/15/35,0,30.0,59,59,0,1338.9,0.0,4.2,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,5/15/35,1,15.0,9355,6230,3125,-8095.2,-4211.6,-25.39,-26.42,-4261.2,26.7,478.2
S5/S30/M1,EUR_USD,5/15/35,1,20.0,9259,6163,3096,-7957.8,-4167.4,-24.96,-26.15,-4234.2,26.6,478.2
S5/S30/M1,EUR_USD,5/15/35,1,30.0,9200,6116,3084,-7998.8,-4203.2,-25.09,-26.37,-4250.6,26.5,478.2
S5/S30/M1,EUR_USD,5/22/50,0,15.0,207,150,57,2097.0,735.3,6.58,4.61,-47.6,98.2,478.2
S5/S30/M1,EUR_USD,5/22/50,0,20.0,25,25,0,-1092.1,0.0,-3.43,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,5/22/50,0,30.0,28,28,0,257.2,0.0,0.81,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,5/22/50,1,15.0,7621,5123,2498,-6891.7,-3663.4,-21.62,-22.98,-3706.6,26.5,478.2
S5/S30/M1,EUR_USD,5/22/50,1,20.0,7513,5046,2467,-6813.9,-3675.0,-21.37,-23.06,-3733.1,26.6,478.2
S5/S30/M1,EUR_USD,5/22/50,1,30.0,7443,4989,2454,-6770.8,-3717.3,-21.24,-23.32,-3777.0,26.5,478.2
S5/S30/M1,EUR_USD,7/15/35,0,15.0,45,45,0,-194.1,0.0,-0.61,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,7/15/35,0,20.0,52,52,0,600.9,0.0,1.88,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,7/15/35,0,30.0,34,34,0,147.2,0.0,0.46,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,7/15/35,1,15.0,8935,5989,2946,-7493.2,-4181.4,-23.51,-26.23,-4179.2,27.7,478.2
S5/S30/M1,EUR_USD,7/15/35,1,20.0,8835,5916,2919,-7520.5,-4246.4,-23.59,-26.64,-4244.2,27.7,478.2
S5/S30/M1,EUR_USD,7/15/35,1,30.0,8778,5868,2910,-7416.8,-4229.7,-23.27,-26.54,-4227.5,27.7,478.2
S5/S30/M1,EUR_USD,7/22/50,0,15.0,61,61,0,-121.0,0.0,-0.38,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,7/22/50,0,20.0,37,37,0,-866.0,0.0,-2.72,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,7/22/50,0,30.0,31,31,0,-679.9,0.0,-2.13,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,7/22/50,1,15.0,7304,4885,2419,-6503.8,-3777.5,-20.4,-23.7,-3810.9,26.3,478.2
S5/S30/M1,EUR_USD,7/22/50,1,20.0,7198,4805,2393,-6614.8,-3864.7,-20.75,-24.25,-3880.5,26.3,478.2
S5/S30/M1,EUR_USD,7/22/50,1,30.0,7118,4742,2376,-6474.3,-3805.5,-20.31,-23.88,-3831.3,26.3,478.2
S5/S30/M1,EUR_USD,10/22/50,0,15.0,91,91,0,660.5,0.0,2.07,0.0,0.0,0.0,478.2
S5/S30/M1,EUR_USD,10/22/50,0,20.0,48,48,0,546.0,0.0,1.71,0.0,0.0,0.0,478.2
