tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,EUR_JPY,5/10/22,1,30.0,134,93,41,-178.7,-64.0,-46.32,-33.17,-64.5,22.0,5.8
S5/S30/M1,EUR_JPY,5/15/35,0,15.0,8,8,0,35.6,0.0,9.21,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,5/15/35,0,20.0,8,3,5,55.5,83.8,14.39,43.47,0.0,100.0,5.8
S5/S30/M1,EUR_JPY,5/15/35,0,30.0,3,3,0,-1.9,0.0,-0.51,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,5/15/35,1,15.0,97,64,33,-153.9,-56.5,-39.89,-29.26,-61.3,27.3,5.8
S5/S30/M1,EUR_JPY,5/15/35,1,20.0,97,64,33,-148.9,-56.5,-38.6,-29.26,-61.3,27.3,5.8
S5/S30/M1,EUR_JPY,5/15/35,1,30.0,97,64,33,-138.9,-56.5,-36.0,-29.26,-61.3,27.3,5.8
S5/S30/M1,EUR_JPY,5/22/50,0,15.0,2,2,0,-102.9,0.0,-26.68,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,5/22/50,0,20.0,2,2,0,-97.9,0.0,-25.39,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,5/22/50,0,30.0,2,2,0,-87.9,0.0,-22.8,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,5/22/50,1,15.0,82,58,24,-165.0,-68.0,-42.77,-35.27,-63.1,12.5,5.8
S5/S30/M1,EUR_JPY,5/22/50,1,20.0,82,58,24,-165.0,-63.0,-42.77,-32.68,-58.1,12.5,5.8
S5/S30/M1,EUR_JPY,5/22/50,1,30.0,82,58,24,-165.0,-65.0,-42.77,-33.72,-60.1,12.5,5.8
S5/S30/M1,EUR_JPY,7/15/35,0,15.0,4,4,0,-18.8,0.0,-4.89,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,7/15/35,0,20.0,6,4,2,74.0,28.1,19.18,14.54,0.0,100.0,5.8
S5/S30/M1,EUR_JPY,7/15/35,0,30.0,3,3,0,-2.3,0.0,-0.61,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,7/15/35,1,15.0,105,68,37,-188.1,-71.2,-48.76,-36.93,-74.3,18.9,5.8
S5/S30/M1,EUR_JPY,7/15/35,1,20.0,105,68,37,-198.5,-71.2,-51.45,-36.93,-74.3,18.9,5.8
S5/S30/M1,EUR_JPY,7/15/35,1,30.0,105,68,37,-198.5,-71.2,-51.45,-36.93,-74.3,18.9,5.8
S5/S30/M1,EUR_JPY,7/22/50,0,15.0,3,3,0,-89.4,0.0,-23.19,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,7/22/50,0,20.0,3,3,0,-79.4,0.0,-20.59,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,7/22/50,0,30.0,3,3,0,-59.3,0.0,-15.38,0.0,0.0,0.0,5.8
S5/S30/M1,EUR_JPY,7/22/50,1,15.0,90,62,28,-150.1,-45.8,-38.9,-23.77,-40.2,25.0,5.8
S5/S30/M1,EUR_JPY,7/22/50,1,20.0,89,62,27,-145.1,-35.8,-37.6,-18.58,-37.7,22.2,5.8
