pair,af_start,af_max,activate,with_TP,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
EUR_GBP,0.02,0.15,20.0,False,3,3,0,-75.0,0.0,-0.63,0.0,0.0,0.0,False
EUR_GBP,0.02,0.2,0.0,True,2945,1974,971,-2776.5,-1270.3,-23.14,-21.17,-1271.5,21.6,False
EUR_GBP,0.02,0.2,0.0,False,2893,1939,954,-2756.6,-1258.4,-22.97,-20.97,-1259.6,21.2,False
EUR_GBP,0.02,0.2,10.0,True,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,0.02,0.2,10.0,False,4,4,0,-76.1,0.0,-0.63,0.0,0.0,0.0,False
EUR_GBP,0.02,0.2,20.0,True,3,3,0,-74.0,0.0,-0.62,0.0,0.0,0.0,False
EUR_GBP,0.02,0.2,20.0,False,3,3,0,-75.0,0.0,-0.63,0.0,0.0,0.0,False
NZD_USD,0.005,0.1,0.0,True,701,498,203,-729.5,-214.1,-6.08,-3.57,-438.6,51.7,False
NZD_USD,0.005,0.1,0.0,False,567,429,138,-549.7,-98.2,-4.58,-1.64,-330.5,42.0,False
NZD_USD,0.005,0.1,10.0,True,27,27,0,-118.5,0.0,-0.99,0.0,0.0,0.0,False
NZD_USD,0.005,0.1,10.0,False,29,28,1,455.2,-132.5,3.79,-2.21,0.0,0.0,True
NZD_USD,0.005,0.1,20.0,True,16,16,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.005,0.1,20.0,False,36,16,20,321.0,108.9,2.67,1.81,-132.5,70.0,True
NZD_USD,0.005,0.15,0.0,True,710,501,209,-733.0,-221.4,-6.11,-3.69,-445.9,50.7,False
NZD_USD,0.005,0.15,0.0,False,576,432,144,-553.2,-105.5,-4.61,-1.76,-337.8,41.0,False
NZD_USD,0.005,0.15,10.0,True,27,27,0,-119.7,0.0,-1.0,0.0,0.0,0.0,False
NZD_USD,0.005,0.15,10.0,False,29,28,1,454.0,-132.5,3.78,-2.21,0.0,0.0,True
NZD_USD,0.005,0.15,20.0,True,16,16,0,45.8,0.0,0.38,0.0,0.0,0.0,False
NZD_USD,0.005,0.15,20.0,False,36,16,20,321.0,100.5,2.67,1.67,-132.5,70.0,True
NZD_USD,0.005,0.2,0.0,True,710,501,209,-733.0,-221.4,-6.11,-3.69,-445.9,50.7,False
NZD_USD,0.005,0.2,0.0,False,576,432,144,-553.2,-105.5,-4.61,-1.76,-337.8,41.0,False
NZD_USD,0.005,0.2,10.0,True,27,27,0,-119.7,0.0,-1.0,0.0,0.0,0.0,False
