variant,n,mean_net_pips,cum_net_pips,max_dd_pips,mean_carry_free_gross_pips,cum_carry_free_gross_pips
momentum,196,-8.24499375522554,-1616.0187760242059,-3047.086078556383,1.2715026033880732,233.95647902340545
momentum_spread1.5x,196,-9.621043627444312,-1885.724550979085,-3247.4930222302146,-0.19428965180148586,-35.7492959314734
