signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,carry_free_gross_pips,variant
2007-06-30 21:00:00+00:00,2007-07-01 21:00:00+00:00,2007-08-01 21:00:00+00:00,3,3,False,24.66283748495687,27.72354091242272,momentum
2007-07-31 21:00:00+00:00,2007-08-01 21:00:00+00:00,2007-09-01 21:00:00+00:00,3,3,False,-138.63108281167774,-140.78953958340787,momentum
2007-08-30 21:00:00+00:00,2007-09-01 21:00:00+00:00,2007-10-01 21:00:00+00:00,3,3,False,204.8692351879135,216.99330204730202,momentum
2007-09-30 21:00:00+00:00,2007-10-01 21:00:00+00:00,2007-11-01 21:00:00+00:00,3,3,False,50.32364908081786,55.34825572678075,momentum
2007-10-31 21:00:00+00:00,2007-11-01 21:00:00+00:00,2007-12-01 22:00:00+00:00,3,3,False,-130.32088709077468,-126.89925977956231,momentum
2007-11-29 22:00:00+00:00,2007-12-01 22:00:00+00:00,2008-01-01 22:00:00+00:00,3,3,False,178.594145823501,182.9159268240914,momentum
2007-12-31 22:00:00+00:00,2008-01-01 22:00:00+00:00,2008-02-02 22:00:00+00:00,3,3,False,-6.435659621603339,5.03871324606625,momentum
2008-01-31 22:00:00+00:00,2008-02-02 22:00:00+00:00,2008-03-01 22:00:00+00:00,3,3,False,-125.55373401444345,-119.06693063607713,momentum
2008-02-28 22:00:00+00:00,2008-03-01 22:00:00+00:00,2008-04-01 21:00:00+00:00,3,3,False,-136.59268602822212,-128.81583628576755,momentum
2008-03-31 21:00:00+00:00,2008-04-01 21:00:00+00:00,2008-05-01 21:00:00+00:00,3,3,False,76.12743731037816,84.27794813370461,momentum
2008-04-30 21:00:00+00:00,2008-05-01 21:00:00+00:00,2008-06-01 21:00:00+00:00,3,3,False,-15.961319059361635,4.2718132935182,momentum
2008-05-31 21:00:00+00:00,2008-06-01 21:00:00+00:00,2008-07-01 21:00:00+00:00,3,3,False,84.02222784961027,106.36857466542901,momentum
2008-06-30 21:00:00+00:00,2008-07-01 21:00:00+00:00,2008-08-02 21:00:00+00:00,3,3,False,-53.871507086294,-30.36560198990128,momentum
2008-07-31 21:00:00+00:00,2008-08-02 21:00:00+00:00,2008-09-01 21:00:00+00:00,3,3,False,181.28926044779473,202.5660804461196,momentum
2008-08-31 21:00:00+00:00,2008-09-01 21:00:00+00:00,2008-10-01 21:00:00+00:00,3,3,False,-172.33161630868426,-157.70729058642706,momentum
2008-09-30 21:00:00+00:00,2008-10-01 21:00:00+00:00,2008-11-01 21:00:00+00:00,3,3,False,371.13398196343053,391.8283847082033,momentum
2008-10-30 21:00:00+00:00,2008-11-01 21:00:00+00:00,2008-12-01 22:00:00+00:00,3,3,False,261.2757800315761,277.5797546741686,momentum
2008-11-30 22:00:00+00:00,2008-12-01 22:00:00+00:00,2009-01-01 22:00:00+00:00,3,3,False,405.15042094485483,422.86700560328336,momentum
2008-12-31 22:00:00+00:00,2009-01-01 22:00:00+00:00,2009-02-01 22:00:00+00:00,3,3,False,-187.83451187844025,-171.5536897273558,momentum
2009-01-31 22:00:00+00:00,2009-02-01 22:00:00+00:00,2009-03-01 22:00:00+00:00,3,3,False,-61.78492677908068,-46.218077462890804,momentum
2009-02-28 22:00:00+00:00,2009-03-01 22:00:00+00:00,2009-04-01 21:00:00+00:00,3,3,False,-67.3187716153235,-49.79494520842238,momentum
2009-03-31 21:00:00+00:00,2009-04-01 21:00:00+00:00,2009-05-02 21:00:00+00:00,3,3,False,-132.77013579699693,-116.6721122571557,momentum
2009-04-30 21:00:00+00:00,2009-05-02 21:00:00+00:00,2009-06-01 21:00:00+00:00,3,3,False,-265.8843038974184,-250.55848324274587,momentum
2009-05-31 21:00:00+00:00,2009-06-01 21:00:00+00:00,2009-07-01 21:00:00+00:00,3,3,False,-22.44575312274366,-5.656974540058864,momentum
2009-06-30 21:00:00+00:00,2009-07-01 21:00:00+00:00,2009-08-01 21:00:00+00:00,3,3,False,-64.15973853191335,-47.526904751996746,momentum
2009-07-30 21:00:00+00:00,2009-08-01 21:00:00+00:00,2009-09-01 21:00:00+00:00,3,3,False,84.12044229384742,100.24431247674768,momentum
2009-08-31 21:00:00+00:00,2009-09-01 21:00:00+00:00,2009-10-01 21:00:00+00:00,3,3,False,-82.46107883073884,-67.20733345825104,momentum
2009-09-30 21:00:00+00:00,2009-10-01 21:00:00+00:00,2009-11-01 22:00:00+00:00,3,3,False,-31.633760019782567,-19.947602705138102,momentum
2009-10-31 21:00:00+00:00,2009-11-01 22:00:00+00:00,2009-12-01 22:00:00+00:00,3,3,False,53.673982454542816,60.91139420613154,momentum
2009-11-30 22:00:00+00:00,2009-12-01 22:00:00+00:00,2010-01-02 22:00:00+00:00,3,3,False,168.69077676457792,178.56869560505288,momentum
2009-12-30 22:00:00+00:00,2010-01-02 22:00:00+00:00,2010-02-01 22:00:00+00:00,3,3,False,48.11208960209852,53.97358857770647,momentum
2010-01-31 22:00:00+00:00,2010-02-01 22:00:00+00:00,2010-03-01 22:00:00+00:00,3,3,False,272.2223325453336,277.97543448268203,momentum
2010-02-28 22:00:00+00:00,2010-03-01 22:00:00+00:00,2010-04-01 21:00:00+00:00,3,3,False,107.66122687666845,113.61468394252198,momentum
2010-03-31 21:00:00+00:00,2010-04-01 21:00:00+00:00,2010-05-01 21:00:00+00:00,3,3,False,104.25009021032537,108.66934722077424,momentum
2010-04-29 21:00:00+00:00,2010-05-01 21:00:00+00:00,2010-06-01 21:00:00+00:00,3,3,False,-91.23188907692612,-87.74308063095607,momentum
2010-05-31 21:00:00+00:00,2010-06-01 21:00:00+00:00,2010-07-01 21:00:00+00:00,3,3,False,-246.8916134180576,-241.92657418847327,momentum
2010-06-30 21:00:00+00:00,2010-07-01 21:00:00+00:00,2010-08-01 21:00:00+00:00,3,3,False,-144.16617786328956,-134.66387572935122,momentum
2010-07-31 21:00:00+00:00,2010-08-01 21:00:00+00:00,2010-09-01 21:00:00+00:00,3,3,False,62.77951591072685,74.1433948705038,momentum
2010-08-31 21:00:00+00:00,2010-09-01 21:00:00+00:00,2010-10-02 21:00:00+00:00,3,3,False,-143.68805651141483,-136.79800186981436,momentum
2010-09-30 21:00:00+00:00,2010-10-02 21:00:00+00:00,2010-11-01 21:00:00+00:00,3,3,False,-117.45182344170661,-107.43826094677223,momentum
2010-10-31 21:00:00+00:00,2010-11-01 21:00:00+00:00,2010-12-01 22:00:00+00:00,3,3,False,175.22100013083724,183.2409303783331,momentum
2010-11-30 22:00:00+00:00,2010-12-01 22:00:00+00:00,2011-01-01 22:00:00+00:00,3,3,False,92.22061453625136,98.87794842248871,momentum
2010-12-30 22:00:00+00:00,2011-01-01 22:00:00+00:00,2011-02-01 22:00:00+00:00,3,3,False,-191.2901498618195,-185.5441054592648,momentum
2011-01-31 22:00:00+00:00,2011-02-01 22:00:00+00:00,2011-03-01 22:00:00+00:00,3,3,False,-36.924846012348354,-26.83032971679872,momentum
2011-02-28 22:00:00+00:00,2011-03-01 22:00:00+00:00,2011-04-01 21:00:00+00:00,3,3,False,27.046944911884374,36.09156743893449,momentum
2011-03-31 21:00:00+00:00,2011-04-01 21:00:00+00:00,2011-05-01 21:00:00+00:00,3,3,False,30.022921875076587,39.86120593094323,momentum
2011-04-30 21:00:00+00:00,2011-05-01 21:00:00+00:00,2011-06-01 21:00:00+00:00,3,3,False,88.43751559633509,100.53328010234367,momentum
2011-05-31 21:00:00+00:00,2011-06-01 21:00:00+00:00,2011-07-01 21:00:00+00:00,3,3,False,65.33926999544799,75.47370835773566,momentum
2011-06-30 21:00:00+00:00,2011-07-01 21:00:00+00:00,2011-08-01 21:00:00+00:00,3,3,False,49.03498323861153,57.738188581091684,momentum
2011-07-31 21:00:00+00:00,2011-08-01 21:00:00+00:00,2011-09-01 21:00:00+00:00,3,3,False,-78.54134937489584,-68.96007920996728,momentum
2011-08-31 21:00:00+00:00,2011-09-01 21:00:00+00:00,2011-10-01 21:00:00+00:00,3,3,False,-128.0816071183583,-119.24518513726909,momentum
2011-09-30 21:00:00+00:00,2011-10-01 21:00:00+00:00,2011-11-01 21:00:00+00:00,3,3,False,-72.30784146995138,-63.37030064881362,momentum
2011-10-31 21:00:00+00:00,2011-11-01 21:00:00+00:00,2011-12-01 22:00:00+00:00,3,3,False,55.363042093816915,69.3058854513757,momentum
2011-11-30 22:00:00+00:00,2011-12-01 22:00:00+00:00,2012-01-01 22:00:00+00:00,3,3,False,93.81617506847518,103.08506689474557,momentum
2011-12-31 22:00:00+00:00,2012-01-01 22:00:00+00:00,2012-02-01 22:00:00+00:00,3,3,False,-84.89910037680892,-65.79100930117288,momentum
2012-01-31 22:00:00+00:00,2012-02-01 22:00:00+00:00,2012-03-01 22:00:00+00:00,3,3,False,-177.462042575655,-166.08916318717468,momentum
2012-02-29 22:00:00+00:00,2012-03-01 22:00:00+00:00,2012-04-01 21:00:00+00:00,3,3,False,-165.08967327975733,-160.13033612436925,momentum
2012-03-31 21:00:00+00:00,2012-04-01 21:00:00+00:00,2012-05-01 21:00:00+00:00,3,3,False,15.570948241184967,21.214261935754706,momentum
2012-04-30 21:00:00+00:00,2012-05-01 21:00:00+00:00,2012-06-01 21:00:00+00:00,3,3,False,174.37678681138783,190.38270927447832,momentum
2012-05-31 21:00:00+00:00,2012-06-01 21:00:00+00:00,2012-07-01 21:00:00+00:00,3,3,False,-77.21692369593208,-67.30004973622398,momentum
2012-06-30 21:00:00+00:00,2012-07-01 21:00:00+00:00,2012-08-01 21:00:00+00:00,3,3,False,72.92600692561976,85.58061386823132,momentum
2012-07-31 21:00:00+00:00,2012-08-01 21:00:00+00:00,2012-09-01 21:00:00+00:00,3,3,False,-0.492158733737341,9.54855173791395,momentum
2012-08-30 21:00:00+00:00,2012-09-01 21:00:00+00:00,2012-10-01 21:00:00+00:00,3,3,False,-95.94693706161326,-89.123128393608,momentum
2012-09-30 21:00:00+00:00,2012-10-01 21:00:00+00:00,2012-11-01 21:00:00+00:00,3,3,False,12.830316890633298,17.103560191151693,momentum
2012-10-31 21:00:00+00:00,2012-11-01 21:00:00+00:00,2012-12-01 22:00:00+00:00,3,3,False,-61.102453608386185,-52.82176833343651,momentum
2012-11-30 22:00:00+00:00,2012-12-01 22:00:00+00:00,2013-01-01 22:00:00+00:00,3,3,False,71.67705291042404,78.85633893747128,momentum
