seed,mean_net_pips,n_rebalances
0,-9.080411780823932,44
1,22.369844534766706,44
2,-27.057767889629737,44
3,20.507515041129775,44
4,-5.134722830119272,44
5,-15.10828265075382,44
6,-18.120884519716682,44
7,-10.389792512204025,44
8,-13.08600216633875,44
9,-5.983744036451778,44
10,8.16859218928005,44
11,-18.645387718964518,44
12,-21.18648265203305,44
13,-3.4575179057167107,44
14,-19.296683409481428,44
15,-20.738434145130157,44
16,-50.4101498630221,44
17,-13.031621168624167,44
18,-23.699150136674078,44
19,-19.73799381279608,44
20,-1.5799158690600392,44
21,31.647678705279603,44
22,-0.8186800171412446,44
23,-29.873428973594095,44
24,-23.33999912975104,44
25,-17.86214914710736,44
26,-47.268803448319,44
27,-22.16331351731147,44
28,-7.3527448685725565,44
29,-34.52470589795889,44
30,-30.398875999234757,44
31,-11.295681326327527,44
32,-19.493949829357543,44
33,-20.21723623412474,44
34,3.2028833388664797,44
35,25.0091326472878,44
36,-12.20507244437894,44
37,0.12615318452340707,44
38,-18.652371778836542,44
39,9.384149057357694,44
40,-11.765381788765978,44
41,-31.576419097443498,44
42,-21.091791497007073,44
43,4.512684410661634,44
44,-25.581311025135925,44
45,-5.2215898110440175,44
46,-3.0661154859388478,44
47,-47.85217275644236,44
48,-2.0724187670374694,44
49,-12.914020679858867,44
50,-12.021618683111729,44
51,-10.8500584612585,44
52,-21.44309291222009,44
53,14.306539938425017,44
54,-18.126160159594733,44
55,-3.1600702054383487,44
56,-16.66011637032017,44
57,-19.207225868955756,44
58,-37.338658441269835,44
59,-25.015593169240404,44
60,2.7873260056128433,44
61,-22.484932074016335,44
62,-19.848515602473753,44
63,-29.73635367411955,44
64,-38.051110183401015,44
65,-21.324544956079812,44
66,6.632424575934166,44
67,-32.437464396827835,44
68,-38.95844575775062,44
69,-56.164213951209064,44
70,-59.70954974661069,44
71,-26.630217959163204,44
72,18.973338915037402,44
73,0.34286888057120746,44
74,4.149324217586618,44
75,-20.552736980257887,44
76,-29.8927515128475,44
77,-0.33976573748896366,44
78,-6.448731417270083,44
79,-14.027239236781368,44
80,2.8184304737239287,44
81,-25.818134659775104,44
82,-35.50045669601495,44
83,-25.023938979330374,44
84,-37.175890001912606,44
85,-49.86963913417696,44
86,-8.806648941297512,44
87,-9.509871871952775,44
88,-26.915129323297162,44
89,-28.187004714028717,44
90,-33.800288453255526,44
91,-25.95965494415846,44
92,-13.931524807047209,44
93,15.430096295229925,44
94,-7.46656787422476,44
95,-29.174566473829035,44
96,-25.73621124162526,44
97,-36.39023345001696,44
98,-16.734294050587383,44
99,-19.472044003037634,44
100,-34.11998763555319,44
101,-12.350440846123796,44
102,-19.3749053329999,44
103,-15.779975082692339,44
104,9.30595991670922,44
105,-4.560983373134138,44
106,-32.505913983270624,44
107,-6.516597302480943,44
108,-56.58122437026512,44
109,-1.0594745596126052,44
110,-24.826559810668368,44
111,8.12669912378176,44
112,-25.385878388020547,44
113,-32.03480783924392,44
114,0.9097204967113535,44
115,-18.798680581946453,44
116,-3.1824529560576593,44
117,-53.21053370266146,44
118,-44.63938768754589,44
119,-2.064579356623244,44
120,0.30186837285184515,44
121,-62.69393097166061,44
122,-3.3426512995565933,44
123,-9.220134525048572,44
124,-5.8432123923856265,44
125,-11.171133946594658,44
126,-13.13167993088203,44
127,-15.456142561729258,44
128,-48.33282835981785,44
129,-26.63959655863574,44
130,-9.765391627939557,44
131,-15.403021741078858,44
132,-2.2151709431792583,44
133,-26.302507629404094,44
134,-14.605722802936663,44
135,-19.786863943869392,44
136,1.462244535505388,44
137,4.7207827005636265,44
138,-44.99882825719286,44
139,-7.538579094223838,44
140,16.23721271031243,44
141,-13.34625064012662,44
142,-30.3734688267852,44
143,-14.322713346693085,44
144,-30.019489515872127,44
145,-14.254640219651964,44
146,-21.935413030718397,44
147,12.313505692829494,44
148,16.470482769404587,44
149,-30.382342511723753,44
150,5.736558038577102,44
151,-10.982903723935207,44
152,-25.303235027642085,44
153,-15.305155982190582,44
154,-7.782992247958814,44
155,-29.41830394814783,44
156,-11.802816123947734,44
157,-20.68102423734336,44
158,-17.374393532518173,44
159,-18.370896122273464,44
160,-9.152430860357464,44
161,-15.33574030116955,44
162,-5.835647276624211,44
163,-18.3990555017571,44
164,-30.52651088517624,44
165,23.833575932038446,44
166,19.375456059031606,44
167,5.997683155886201,44
168,-17.41725188744631,44
169,-0.0896935960805449,44
170,-27.938837561939476,44
171,-2.598260688977291,44
172,-38.440355390687635,44
173,-15.404724915630508,44
174,-20.03292293537427,44
175,-57.384606861360595,44
176,-28.557919185284184,44
177,-25.992128835714926,44
178,-30.545560529393402,44
179,-28.20198463699892,44
180,-28.576782332060215,44
181,-54.75387048040671,44
182,-4.390307306863877,44
183,-13.526726115658848,44
184,-19.875888951622276,44
185,11.365744230009149,44
186,5.093104537106218,44
187,-34.37029623916503,44
188,-14.711441946083935,44
189,28.154855288994153,44
190,-51.30945639489017,44
191,-19.451390707894788,44
192,-22.70861488325962,44
193,-46.0745937326441,44
194,-19.10724092504791,44
195,-14.740775428262582,44
196,5.8681940413862375,44
197,-16.564959065911598,44
198,-13.955433483002786,44
199,5.157265218619281,44
