variant,n_rebalances,mean_net_pips,cum_net_pips,max_dd_pips,vs_null_mean_pips,vs_null_p95_pctile_proxy
carry_gated,44,-34.1363692384255,-1502.000246490722,-1640.2975052259176,-18.143760344879382,-57.66686318086991
carry_ungated,44,-53.41848480625179,-2350.413331475079,-2488.710590210274,-37.42587591270567,-118.95179525402624
composite,44,-54.22635639523723,-2385.959681390438,-2534.991896981317,-38.23374750169111,-121.5194780002814
momentum,44,27.448115902750395,1207.7170997210173,-874.0740533518581,43.440724796296514,138.06897168440898
value,44,-59.957600041928146,-2638.1344018448385,-2987.8481178761112,-43.964991148382026,-139.73526331422437
