signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,variant
2020-11-30 22:00:00+00:00,2020-12-01 22:00:00+00:00,2021-01-03 22:00:00+00:00,3,3,False,47.09432262318445,carry_gated
2020-12-30 22:00:00+00:00,2021-01-03 22:00:00+00:00,2021-02-01 22:00:00+00:00,3,3,False,-49.087279098030436,carry_gated
2021-01-31 22:00:00+00:00,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,3,3,False,-37.347511530570635,carry_gated
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,3,3,False,-167.3400320649588,carry_gated
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,3,3,False,-80.10491353305363,carry_gated
2021-04-29 21:00:00+00:00,2021-05-02 21:00:00+00:00,2021-06-01 21:00:00+00:00,3,3,False,-61.33983457963464,carry_gated
2021-05-31 21:00:00+00:00,2021-06-01 21:00:00+00:00,2021-07-01 21:00:00+00:00,3,3,False,-44.24599688045238,carry_gated
2021-06-30 21:00:00+00:00,2021-07-01 21:00:00+00:00,2021-08-01 21:00:00+00:00,3,3,False,40.80043945873409,carry_gated
2021-07-29 21:00:00+00:00,2021-08-01 21:00:00+00:00,2021-09-01 21:00:00+00:00,3,3,False,28.970553083671334,carry_gated
2021-08-31 21:00:00+00:00,2021-09-01 21:00:00+00:00,2021-10-03 21:00:00+00:00,3,3,False,12.097161277935049,carry_gated
2021-09-30 21:00:00+00:00,2021-10-03 21:00:00+00:00,2021-11-01 21:00:00+00:00,3,3,False,-205.4300702749985,carry_gated
2021-10-31 21:00:00+00:00,2021-11-01 21:00:00+00:00,2021-12-01 22:00:00+00:00,3,3,False,88.87252028728115,carry_gated
2021-11-30 22:00:00+00:00,2021-12-01 22:00:00+00:00,2022-01-02 22:00:00+00:00,3,3,False,-147.72348506776757,carry_gated
2021-12-30 22:00:00+00:00,2022-01-02 22:00:00+00:00,2022-02-01 22:00:00+00:00,3,3,False,30.673515955625014,carry_gated
2022-01-31 22:00:00+00:00,2022-02-01 22:00:00+00:00,2022-03-01 22:00:00+00:00,3,3,False,-21.81299649613235,carry_gated
2022-02-28 22:00:00+00:00,2022-03-01 22:00:00+00:00,2022-04-03 21:00:00+00:00,3,3,True,0.0,carry_gated
2022-03-31 21:00:00+00:00,2022-04-03 21:00:00+00:00,2022-05-01 21:00:00+00:00,3,3,False,-300.3082137726903,carry_gated
2022-04-28 21:00:00+00:00,2022-05-01 21:00:00+00:00,2022-06-01 21:00:00+00:00,3,3,True,0.0,carry_gated
2022-05-31 21:00:00+00:00,2022-06-01 21:00:00+00:00,2022-07-03 21:00:00+00:00,3,3,True,0.0,carry_gated
2022-06-30 21:00:00+00:00,2022-07-03 21:00:00+00:00,2022-08-01 21:00:00+00:00,3,3,True,0.0,carry_gated
