signal_date,execution_date,next_execution_date,currency,pair,currency_direction,trade_direction,weight,vol_63d,entry_ts,exit_ts,entry_px,exit_px,gross_pips,spread_rt_pips,carry_pips,net_pips,gated_flat,variant
2021-01-31 22:00:00+00:00,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,AUD,AUD_USD,1,1,0.11553734079548593,0.005452606633253783,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,0.76232,0.77721,148.89999999999958,2.8000000000000247,-6.011388863013697,140.08861113698586,False,carry_gated
2021-01-31 22:00:00+00:00,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,CAD,CAD_JPY,-1,-1,0.15458159278880945,0.004075386075693064,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,81.658,84.39,-273.19999999999993,6.59999999999954,-9.21396082338108,-289.01396082338056,False,carry_gated
2021-01-31 22:00:00+00:00,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,CHF,CHF_JPY,-1,-1,0.20231737519723042,0.0031138189203761156,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,116.978,116.631,34.69999999999942,6.649999999999778,-2.143996713353426,25.906003286646214,False,carry_gated
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,EUR,EUR_USD,-1,-1,0.17345655884051686,0.0038997187544932786,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,1.20494,1.1777,272.3999999999993,6.1000000000011045,-3.7347475890410933,262.5652524109571,False,carry_gated
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,GBP,GBP_USD,1,1,0.1363771744068984,0.004960007409905792,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,1.39248,1.38326,-92.20000000000006,10.499999999999954,-13.690720076712333,-116.39072007671236,False,carry_gated
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,JPY,USD_JPY,1,-1,0.2324952462685658,0.0029094435540366,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,106.719,110.609,-389.00000000000006,8.29999999999984,-15.278366352054801,-412.5783663520547,False,carry_gated
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,AUD,AUD_USD,1,1,0.10737035409431092,0.006299986633238381,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,0.77721,0.76168,-155.29999999999933,9.399999999999963,-7.040932150684932,-171.74093215068424,False,carry_gated
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,CAD,CAD_JPY,-1,-1,0.15992098144706535,0.004229787670632405,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,84.39,88.188,-379.8000000000002,13.84999999999934,-10.557149650576019,-404.20714965057556,False,carry_gated
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,CHF,CHF_JPY,-1,-1,0.19037968494264268,0.0035530671027427375,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,116.631,117.424,-79.30000000000064,12.700000000000244,-2.584997479029452,-94.58499747903033,False,carry_gated
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,EUR,EUR_USD,-1,-1,0.17571181885547288,0.0038423409915557274,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,1.1777,1.20336,-256.60000000000014,6.450000000001177,-3.2831912054794503,-266.3331912054808,False,carry_gated
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,GBP,GBP_USD,1,1,0.1697123816050175,0.003978170112894329,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,1.38326,1.38185,-14.099999999999113,10.499999999999954,-12.029903901369865,-36.629903901368934,False,carry_gated
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,JPY,USD_JPY,1,-1,0.2193487533223469,0.0030779510440026524,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,110.609,109.292,131.6999999999993,9.999999999999432,-13.362411179452058,108.33758882054782,False,carry_gated
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,AUD,AUD_USD,1,1,0.1028136313010553,0.006566684939979045,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,0.76168,0.77234,106.60000000000002,10.449999999999626,-6.1867925342465755,89.96320746575383,False,carry_gated
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,CAD,CAD_JPY,-1,-1,0.15358750261246557,0.004395831124311813,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,88.188,88.906,-71.80000000000035,14.599999999999369,-9.056844955733855,-95.45684495573357,False,carry_gated
