label,pf,body,wick,mom,ppd,p5,nc,skip_pct,one_leg_pct,five_plus_pct,is_wf,oos_wf,perm_p,cum_l5,growth_r,risk_adj_p5,gates_ok
baseline,1.05,0.0,0.0,0,399.7789965657487,167.31632072056334,1898,0.0,75.28977871443625,3.477344573234984,3,3,0.005,100.0,2.7603092783504275,1.6731632072056335,True
baseline,1.1,0.0,0.0,0,599.2167558575454,254.28337327336087,1898,0.0,75.28977871443625,3.1612223393045316,3,3,0.0,107.0,2.891752577319495,2.3764801240501017,True
baseline,1.25,0.0,0.0,0,1608.1235845228389,933.229853804563,1862,0.0,74.65091299677766,3.061224489795918,3,3,0.0,203.0,3.286082474226699,4.5971913980520345,True
baseline,1.5,0.0,0.0,0,5315.015292376379,2556.6706467834374,1856,0.0,74.46120689655173,2.693965517241379,3,3,0.0,391.0,3.943298969072039,6.538799608141784,True
body+mom3,1.05,0.5,0.0,3,-179.6523129054222,-1092.5009647256297,1765,2.1131717079210017,74.8441926345609,3.7393767705382435,3,2,0.455,100.0,2.7603092783504275,0.0,False
body+mom3,1.1,0.5,0.0,3,-387.8525577348488,-1759.3795760970659,1765,2.1140196901472943,74.8441926345609,3.5127478753541075,3,2,0.48,107.0,2.891752577319495,0.0,False
body+mom3,1.25,0.5,0.0,3,2120.732764100053,626.3192387697349,1765,2.0962120633951513,74.78753541076487,3.1161473087818696,3,3,0.0,203.0,3.286082474226699,3.085316447141551,True
body+mom3,1.5,0.5,0.0,3,10390.093578570792,1826.2583664809647,1767,2.1029959212054914,74.87266553480475,2.77306168647425,3,3,0.0,391.0,3.943298969072039,4.670737510181495,True
