hz,tgt,ez,gates,verdict,n,avg_legs,esc_pct,max_legs_pct,pnl_$,sharpe,sqn,wr,max_dd
35,60,0.85,5,PASS,566,9.84452296819788,3.0035335689045937,96.99646643109541,3767.1049814564344,0.4076814001484265,9.69904810789551,68.55123674911661,-109.1688503015344
35,63,0.9,5,PASS,567,9.848324514991182,2.9982363315696645,97.00176366843033,3753.644485380591,0.4031771933135931,9.600359290207027,69.48853615520282,-109.1688503015344
35,49,0.7,5,PASS,570,9.72982456140351,5.087719298245614,94.91228070175438,3191.9684055907383,0.3729336954036148,8.903669943647722,70.87719298245614,-119.95698375919252
35,32,0.45,5,PASS,569,9.37609841827768,12.478031634446397,87.5219683655536,2721.8237412951053,0.37186431823860194,8.870347653890757,70.82601054481546,-103.94345909886258
35,52,0.75,5,PASS,573,9.778359511343805,4.18848167539267,95.81151832460732,3214.206195030496,0.3718187929633938,8.900382018814287,68.58638743455498,-104.71861504780973
35,56,0.8,5,PASS,568,9.816901408450704,3.873239436619718,96.12676056338029,3198.2592681439965,0.36389879533650465,8.672709224025677,66.90140845070422,-103.94345909886258
35,46,0.65,5,PASS,573,9.732984293193716,5.4101221640488655,94.58987783595113,2921.2487228396985,0.360504830525929,8.629554966105669,68.760907504363,-103.94345909886258
35,38,0.55,5,PASS,567,9.582010582010582,8.465608465608465,91.53439153439153,2792.335085551782,0.356774809047209,8.495436769123248,71.0758377425044,-103.94345909886258
35,35,0.5,5,PASS,562,9.462633451957295,10.320284697508896,89.6797153024911,2652.533851496509,0.35625885857972756,8.44566458994732,72.24199288256227,-103.94345909886258
35,42,0.6,5,PASS,572,9.678321678321678,6.293706293706294,93.7062937062937,2874.6424454891417,0.35236049315824247,8.427237305508118,67.65734265734265,-103.94345909886258
35,28,0.4,5,PASS,570,9.185964912280701,17.719298245614034,82.10526315789474,2205.021614962554,0.2905877175447271,6.937686668124819,70.0,-126.04012138523017
35,24,0.35,5,PASS,580,8.941379310344828,21.89655172413793,78.10344827586206,1954.267948912833,0.2611367353258171,6.289005392845756,68.79310344827586,-130.0259006285458
30,39,0.65,5,PASS,716,9.594972067039107,8.240223463687151,91.62011173184358,2799.2597221767896,0.25275074622696003,6.763149032683825,64.10614525139665,-172.41403086352307
30,54,0.9,5,PASS,707,9.81895332390382,3.9603960396039604,95.8981612446959,2940.414306021094,0.24568621329792126,6.532666591148125,62.800565770862804,-170.72542291846477
30,45,0.75,5,PASS,706,9.688385269121813,5.807365439093484,94.05099150141642,2757.139603841224,0.24367826618448782,6.4746924847392355,63.31444759206799,-182.34478780871984
30,36,0.6,5,PASS,725,9.511724137931035,9.517241379310343,90.3448275862069,2542.1000027620057,0.23732284101763954,6.390113056886847,62.758620689655174,-185.2141908878609
40,52,0.65,5,PASS,469,9.718550106609808,4.690831556503198,95.0959488272921,2020.5194352479305,0.2355638780118205,5.101467411700374,66.31130063965884,-265.5351571666065
30,42,0.7,5,PASS,713,9.670406732117812,6.5918653576437585,93.26788218793828,2653.4870702442504,0.23175199835609034,6.18825572945038,62.97335203366059,-171.12214909089758
40,72,0.9,5,PASS,463,9.842332613390928,2.159827213822894,97.62419006479482,2047.4684007805085,0.22682007614511232,4.880586197821499,65.65874730021598,-213.18200290720824
40,60,0.75,5,PASS,467,9.781584582441113,3.2119914346895073,96.57387580299786,2024.893076797367,0.22450782748268167,4.85165518855823,67.23768736616702,-257.6566722632875
40,68,0.85,5,PASS,466,9.82832618025751,2.3605150214592276,97.42489270386267,1974.1613683832268,0.2212461606729097,4.77604820363304,66.30901287553648,-213.18200290720824
30,51,0.85,5,PASS,708,9.809322033898304,4.23728813559322,95.62146892655367,2636.452460372193,0.21818351764451036,5.805485814226619,62.28813559322034,-181.18437427411146
30,33,0.55,5,PASS,736,9.441576086956522,11.005434782608695,88.8586956521739,2292.0425111194522,0.21731702491007776,5.895663095564805,63.858695652173914,-171.38543596332704
40,56,0.7,5,PASS,467,9.762312633832977,3.4261241970021414,96.35974304068522,1943.3959179314174,0.21409963679083158,4.626732285246481,68.09421841541756,-257.6566722632875
30,48,0.8,5,PASS,701,9.761768901569187,4.9928673323823105,94.8644793152639,2586.21894894974,0.21402947159667404,5.666730884123402,62.196861626248214,-179.93172563411522
40,64,0.8,5,PASS,469,9.805970149253731,2.55863539445629,97.22814498933901,1846.558745736429,0.20397202515050175,4.41730136210272,66.31130063965884,-257.57845094585747
35,21,0.3,5,PASS,582,8.604810996563574,26.804123711340207,73.19587628865979,1380.9487116698049,0.19971941061392587,4.8181661046519375,69.7594501718213,-116.93429305214872
40,48,0.6,5,PASS,470,9.7,5.106382978723404,94.68085106382979,1670.3282372134606,0.18564337884391804,4.024652547864927,65.74468085106383,-213.91171886851095
40,44,0.55,5,PASS,474,9.679324894514767,5.9071729957805905,93.88185654008439,1597.8765046744672,0.18343894497249394,3.993748521935584,65.82278481012658,-158.3210053627158
30,30,0.5,5,PASS,738,9.262872628726287,13.143631436314362,86.72086720867209,1877.8393409926482,0.18101200367084797,4.917400223596416,63.41463414634146,-203.0115620311704
40,40,0.5,5,PASS,470,9.629787234042553,7.234042553191489,92.5531914893617,1394.6766625570162,0.15656144330234487,3.3941712093807634,65.31914893617021,-213.91171886851095
30,27,0.45,5,PASS,731,9.177838577291382,15.321477428180575,84.54172366621067,1320.480085946219,0.12628885335441675,3.414473201832186,60.32831737346102,-348.7096037280061
40,36,0.45,5,PASS,469,9.550106609808102,7.889125799573561,91.89765458422174,1100.34705876095,0.12596299065562758,2.7279058968360066,64.60554371002132,-243.00322328478032
40,28,0.35,5,PASS,482,9.248962655601659,14.107883817427386,85.68464730290457,969.835573418747,0.11650128662789919,2.557727310881822,65.76763485477179,-228.6795544449758
30,21,0.35,5,PASS,743,8.775235531628534,23.283983849259755,76.58142664872139,1086.0066921273897,0.11307456395199106,3.082189442686669,64.19919246298788,-280.8705190669271
30,24,0.4,5,PASS,731,8.961696306429548,20.51983584131327,79.34336525307798,1132.639676144181,0.1112812728771001,3.0087130733406444,62.38030095759234,-287.14174740249035
