pair,zw,tgt_frac,tgt,pf,body_thresh,ta,td,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,cum_l5,growth_r,risk_adj_p5,is_wf,oos_wf,perm_p,gate_pass
GBP_USD,30.0,0.8,24.0,1.25,0.5,6.0,1.0,3628.9,1304.2,1.0,3130,40.9,82.5,3.2,168,3.054,7.7633,2,3,0.0,False
GBP_USD,30.0,0.8,24.0,1.1,0.0,6.0,1.0,898.5,529.1,1.0,3546,0.0,83.8,3.2,94,2.688,5.6292,1,3,0.0,False
GBP_USD,30.0,0.8,24.0,1.1,0.5,6.0,1.0,944.2,-64.3,0.932,3130,40.9,82.5,3.5,94,2.688,-0.6836,3,2,0.055,False
GBP_USD,30.0,0.8,24.0,1.05,0.0,6.0,1.0,717.3,388.6,1.0,3546,0.0,83.8,3.4,81,2.566,4.7972,1,3,0.0,False
GBP_USD,30.0,0.8,24.0,1.05,0.5,6.0,1.0,596.3,-206.8,0.852,3142,41.1,82.5,3.6,81,2.566,-2.5535,2,2,0.135,False
GBP_USD,30.0,0.9,27.0,1.25,0.0,6.0,1.0,1031.2,416.7,0.996,3162,0.0,84.0,3.2,101,2.839,4.1261,1,3,0.005,False
GBP_USD,30.0,0.9,27.0,1.25,0.5,6.0,1.0,-1218.4,-4648.2,0.328,3034,40.8,82.9,3.3,101,2.839,-46.0215,1,2,0.6,False
GBP_USD,30.0,0.9,27.0,1.1,0.0,6.0,1.0,484.3,182.0,0.992,3190,0.0,84.0,3.3,75,2.498,2.4269,1,3,0.0,False
GBP_USD,30.0,0.9,27.0,1.1,0.5,6.0,1.0,-303.4,-2113.6,0.434,3044,40.9,82.9,3.4,75,2.498,-28.1818,1,2,0.495,False
GBP_USD,30.0,0.9,27.0,1.05,0.0,6.0,1.0,463.2,261.3,1.0,3194,0.0,84.1,3.5,69,2.384,3.7869,2,3,0.0,False
GBP_USD,30.0,0.9,27.0,1.05,0.5,6.0,1.0,196.7,-383.9,0.696,3062,41.1,83.0,3.5,69,2.384,-5.5645,1,2,0.315,False
