JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    20  fixed   50.0p   1.0    8  0.00 |    207.1     32.4    261  99.7% 86.6%  3.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    8  0.15 |    247.8    166.0    762  99.1% 79.7%  4.1%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0    8  0.15 |    187.5     13.0    211  99.8% 85.8%  1.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    8  0.25 |    218.5    137.7    665  99.2% 79.4%  3.8%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0    8  0.25 |    185.3     11.3    174  99.8% 84.5%  2.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.00 |    222.4    149.8    802  98.9% 76.4%  4.2%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   50.0p   1.0   10  0.00 |    222.0     44.8    240  99.7% 83.3%  4.2%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.15 |    259.9    172.3    677  99.1% 75.6%  4.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0   10  0.15 |    229.9     47.9    189  99.8% 81.0%  3.7%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.25 |    222.7    139.1    613  99.2% 75.7%  4.6%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0   10  0.25 |    215.6     39.6    161  99.8% 79.5%  4.3%    3/3    3/3   0.000 | 🟢 PASS
    20    atr 2.0×ATR   0.5    6  0.00 | 2239229621934350848.0 -769746484649396224.0  10592  58.7% 66.8%  3.8%    3/3    1/3   0.315 | 3/1 p=0.32
    20    atr 3.0×ATR   0.5    6  0.00 | 897098830967293696.0 79035368689744768.0   2525  83.4% 72.6%  2.4%    2/3    2/3   0.000 | 2/2 p=0.00
    20    atr 4.0×ATR   0.5    6  0.00 | 42399822425515288.0 -440440914835545024.0   3099  94.1% 72.2%  2.8%    3/3    1/3   0.365 | 3/1 p=0.36
    20    atr 5.0×ATR   0.5    6  0.00 | 507916395233113920.0 -111212403718519808.0   1734  97.7% 74.2%  2.4%    2/3    3/3   0.155 | 2/3 p=0.15
    20    atr 2.0×ATR   0.5    6  0.15 | 1996593631875053312.0 -904903271759138176.0   9476  71.4% 67.1%  4.0%    3/3    1/3   0.410 | 3/1 p=0.41
    20    atr 3.0×ATR   0.5    6  0.15 | 640647916772554496.0 -434788191926738176.0   2278  87.4% 72.7%  2.5%    3/3    2/3   0.190 | 3/2 p=0.19
    20    atr 4.0×ATR   0.5    6  0.15 | 307778025622390592.0 14821020558691866.0   2696  95.2% 72.0%  2.7%    3/3    3/3   0.100 | 3/3 p=0.10
    20    atr 5.0×ATR   0.5    6  0.15 | 404488830727022080.0 -172761914494293088.0   1527  98.2% 74.8%  2.2%    2/3    3/3   0.280 | 2/3 p=0.28
    20    atr 2.0×ATR   0.5    6  0.25 | 2257507078593568256.0 -500288354251131200.0   8644  77.9% 67.1%  3.8%    2/3    2/3   0.330 | 2/2 p=0.33
    20    atr 3.0×ATR   0.5    6  0.25 | 709144201981656320.0 -459110555247457280.0   2081  89.7% 72.5%  2.7%    3/3    2/3   0.205 | 3/2 p=0.20
    20    atr 4.0×ATR   0.5    6  0.25 | 356148632930051712.0 77919509805685984.0   2487  95.9% 71.1%  2.7%    3/3    3/3   0.035 | 🟢 PASS
    20    atr 5.0×ATR   0.5    6  0.25 | 399742448131168256.0 -184508836787941728.0   1321  98.5% 74.0%  2.0%    2/3    3/3   0.235 | 2/3 p=0.23
    20    atr 2.0×ATR   0.5    8  0.00 | 2159110263535565056.0 -856469785926888960.0  10012  59.2% 65.6%  4.0%    2/3    2/3   0.440 | 2/2 p=0.44
    20    atr 3.0×ATR   0.5    8  0.00 | 723800464644330496.0 -47863111091593408.0   2211  83.1% 69.4%  2.9%    2/3    2/3   0.125 | 2/2 p=0.12
    20    atr 4.0×ATR   0.5    8  0.00 | 7534317315544965.0 -396964628414937472.0   2843  94.1% 68.8%  2.8%    3/3    1/3   0.465 | 3/1 p=0.47
    20    atr 5.0×ATR   0.5    8  0.00 | 509570322352635520.0 -101270241573423408.0   1581  97.7% 70.0%  2.9%    2/3    3/3   0.205 | 2/3 p=0.20
    20    atr 2.0×ATR   0.5    8  0.15 | 2209339855064941824.0 -647611334980127616.0   9088  71.5% 66.1%  4.1%    3/3    2/3   0.380 | 3/2 p=0.38
    20    atr 3.0×ATR   0.5    8  0.15 | 411621565044705344.0 -531596333050283264.0   2091  87.0% 70.4%  2.7%    3/3    2/3   0.370 | 3/2 p=0.37
    20    atr 4.0×ATR   0.5    8  0.15 | 249652627780177792.0 -26399643804827420.0   2463  95.1% 68.3%  2.7%    3/3    2/3   0.110 | 3/2 p=0.11
    20    atr 5.0×ATR   0.5    8  0.15 | 404428230518121984.0 -177515735387751776.0   1420  98.1% 71.3%  2.5%    2/3    3/3   0.250 | 2/3 p=0.25
