zone_width,tgt,ez,variant,gates,verdict,n,avg_legs,esc_pct,pnl_$,sharpe,sqn,wr,max_dd
20,10,0.5,center,0,FAIL,3799,7.277441431955777,52.77704659120821,-352.79852309994897,-0.015851267339569694,-0.9770091643130393,59.25243485127665,-771.7196439242737
20,10,0.5,boundary,1,FAIL,6299,7.677885378631529,45.88029846007303,-85.7780536649039,-0.0020293837079058026,-0.1610645537522802,62.96237498015558,-778.116365266446
20,14,0.7,center,5,PASS,3492,8.440721649484535,32.932416953035506,1961.7282727818808,0.07591793974649631,4.486229959011402,57.90378006872853,-188.79398368668714
20,14,0.7,boundary,5,PASS,5676,8.744538407329104,28.55884425651867,4046.0083951503652,0.08501686886198259,6.405105675744804,60.940803382663844,-475.602289856763
20,17,0.85,center,5,PASS,3378,8.943753700414446,23.860272350503255,3385.7990003837263,0.12183160012785955,7.080921354714804,58.081705150976916,-159.81514772477823
20,17,0.85,boundary,5,PASS,5685,9.207387862796834,18.59278803869833,7430.650536058543,0.14840482220364448,11.18956613434962,59.47229551451188,-422.3439093562699
20,20,1.0,center,5,PASS,3319,9.188912322988852,18.379029828261526,5580.477386322776,0.19392953768339732,11.172428611553237,58.72250677915035,-142.9600150201308
20,20,1.0,boundary,5,PASS,5563,9.462520222901313,13.302175085385585,10660.688391716923,0.2027744266050138,15.124036331509233,60.075498831565696,-184.4888531898032
20,25,1.25,center,5,PASS,3239,9.521765977153443,11.207162704538439,6776.4763719326,0.21867522664434552,12.445291098589422,59.18493362148811,-175.36799306348024
20,25,1.25,boundary,5,PASS,5346,9.682940516273849,8.136924803591471,12350.090870147355,0.22373439464598724,16.358641330877806,58.903853348297794,-136.51429857615614
20,30,1.5,center,5,PASS,3199,9.690215692403877,7.377305407939981,8212.963027641159,0.253830360791627,14.356569811019781,60.14379493591747,-134.35261169641453
20,30,1.5,boundary,5,PASS,5283,9.804467158811281,5.281090289608177,13083.525716820337,0.22600837170047322,16.427248682836947,58.62199507855386,-164.5476241779886
20,40,2.0,center,5,PASS,3172,9.85813366960908,3.720050441361917,9683.005933906345,0.2736492725790122,15.412066965301815,60.21437578814628,-109.4279306623526
20,40,2.0,boundary,5,PASS,5318,9.929672809326815,2.0684467845054533,14578.367989545643,0.23472557445119852,17.11727299580997,58.894321173373456,-188.33948038547854
20,50,2.5,center,5,PASS,3141,9.926456542502388,1.942056669850366,10708.758157572218,0.2867510474650697,16.070854945561866,60.07640878701051,-136.86274992584106
20,50,2.5,boundary,5,PASS,5225,9.963062200956937,1.090909090909091,15901.360188933444,0.24529815057105128,17.731171125152613,58.56459330143541,-226.85959647624318
25,12,0.5,center,5,PASS,2753,7.847802397384672,44.3516164184526,1142.4879883347248,0.057728177975320594,3.028941992108853,61.314929168180164,-377.5987286380252
25,12,0.5,boundary,5,PASS,5127,8.32884727911059,35.55685586112736,1909.659616377138,0.04520071515364612,3.2365100869001178,62.336649112541444,-360.93855674255104
25,18,0.7,center,5,PASS,2589,8.927385090768636,23.831595210505988,3806.2662332281598,0.16716056450329533,8.505500105671699,60.06179992275009,-113.56889940503198
25,18,0.7,boundary,5,PASS,4851,9.235827664399093,17.398474541331684,7251.240332941311,0.15290447559545361,10.649662260639648,61.08018965161822,-198.14631225993043
25,21,0.85,center,5,PASS,2516,9.230922098569158,18.282988871224166,4083.3595710631985,0.16785547080436716,8.419587581506157,60.37360890302067,-139.1770361099203
25,21,0.85,boundary,5,PASS,4693,9.483272959727254,12.593223950564672,8235.410068168074,0.16861725401603256,11.551204950372094,61.0270615810782,-183.69083533783268
25,25,1.0,center,5,PASS,2498,9.498799039231384,11.969575660528422,5103.771395426334,0.1934255773712562,9.667409583003439,59.76781425140112,-121.66526807241608
25,25,1.0,boundary,5,PASS,4688,9.649317406143345,8.745733788395905,10970.000078033874,0.210041541068818,14.381328199883203,61.00682593856656,-203.88807765377425
25,31,1.25,center,5,PASS,2475,9.685252525252526,7.3939393939393945,6822.174018263942,0.24901776417721475,12.388477348635378,61.212121212121204,-101.19267073069582
25,31,1.25,boundary,5,PASS,4665,9.819935691318328,4.908896034297964,13010.780403667717,0.24058157635865157,16.431915397487657,61.97213290460879,-168.13758008652775
25,38,1.5,center,5,PASS,2455,9.827291242362525,4.195519348268839,8135.886401347811,0.27855483842084444,13.801823035701192,61.83299389002037,-97.59555705864157
25,38,1.5,boundary,5,PASS,4678,9.899743480119708,2.7362120564343737,13541.460157218502,0.2389818417414373,16.345379657597473,60.560068405301415,-140.74604562542635
25,50,2.0,center,5,PASS,2432,9.908305921052632,2.055921052631579,8846.04648518108,0.2877522467007582,14.190591831583498,61.8421052631579,-106.07744515392523
25,50,2.0,boundary,5,PASS,4474,9.949038891372373,1.4528386231560126,15202.195109791313,0.2682363203007035,17.94178188102668,61.913276709879305,-157.50685249925067
25,62,2.5,center,5,PASS,2425,9.950515463917526,1.1134020618556701,9038.565888480687,0.28658722251102614,14.112784011613982,61.360824742268036,-104.09156721201725
25,62,2.5,boundary,5,PASS,4639,9.976072429402889,0.6466910972192282,15272.704552165424,0.24573335830428894,16.736949364088883,60.400948480275915,-178.78933017151897
30,15,0.5,center,5,PASS,2078,8.376323387872954,33.97497593840231,1347.371181176684,0.07039681537975027,3.2090448325380123,62.175168431183835,-366.9098503515452
30,15,0.5,boundary,5,PASS,4288,8.889925373134329,25.163246268656714,3765.350803875644,0.08878120096963132,5.813643595575495,62.56996268656716,-369.0915425684202
30,21,0.7,center,5,PASS,1988,9.128269617706238,18.712273641851105,3083.9010136077313,0.14530666835866238,6.478787494937202,61.61971830985915,-224.03473868386965
30,21,0.7,boundary,5,PASS,4380,9.480365296803653,12.945205479452055,9003.79542275316,0.19110893140987018,12.647888821896181,61.917808219178085,-184.46039049895364
30,26,0.85,center,5,PASS,1952,9.436987704918034,12.14139344262295,4328.888180520126,0.19557546906972756,8.640806647923528,62.39754098360656,-148.62826642689564
30,26,0.85,boundary,5,PASS,4147,9.696407041234627,7.861104412828551,11076.022864216688,0.22851261732005723,14.715573841688869,61.610802990113335,-160.11527780497244
30,30,1.0,center,5,PASS,1945,9.593830334190232,8.58611825192802,4862.871119142948,0.21425378634399084,9.449053510935496,61.33676092544987,-151.12329362848075
30,30,1.0,boundary,5,PASS,4026,9.79806259314456,5.439642324888227,10948.572201821014,0.2227919338825729,14.136319379648597,61.05315449577745,-139.36415847359808
30,38,1.25,center,5,PASS,1911,9.7854526425955,5.075876504447932,5813.445617779747,0.24113729790554594,10.541313599315329,61.64311878597593,-159.46342015063274
30,38,1.25,boundary,5,PASS,4032,9.881200396825397,3.2490079365079367,11658.686079118257,0.21616969933712557,13.72635037040732,61.65674603174603,-265.6146251422656
30,45,1.5,center,5,PASS,1903,9.858644245927483,3.415659485023647,6081.53380333297,0.2398737141278806,10.464104155743408,62.21755123489228,-183.8376341826975
30,45,1.5,boundary,5,PASS,4046,9.932525951557093,1.9772614928324272,11665.913052172826,0.21419052383438397,13.624268446592348,60.05931784478498,-181.86257175561624
30,60,2.0,center,5,PASS,1911,9.92517006802721,1.9361590790162218,7229.928838931718,0.26523582248902733,11.594780263832702,62.637362637362635,-173.7538034981728
30,60,2.0,boundary,5,PASS,4115,9.97958687727825,0.6318347509113001,13827.063554800761,0.2536289701921785,16.269858584292166,61.16646415552856,-136.86011610310524
30,75,2.5,center,5,PASS,1904,9.968487394957982,0.7878151260504201,7666.129116865976,0.279482420710888,12.19517307454632,62.86764705882353,-164.8263155654847
30,75,2.5,boundary,5,PASS,3989,9.98420656806217,0.42617197292554526,13635.25463111329,0.24110721013709877,15.227977133086302,60.29079969917272,-329.11323999662187
35,18,0.5,center,5,PASS,1664,8.750600961538462,27.163461538461537,2272.7987540480367,0.12892777370249925,5.259241871624946,64.60336538461539,-206.1292509272859
35,18,0.5,boundary,5,PASS,3648,9.214089912280702,18.25657894736842,4645.078112236216,0.11877882958318998,7.174083982146591,61.04714912280702,-209.88135533074907
35,24,0.7,center,5,PASS,1595,9.290282131661442,15.54858934169279,3211.5105241145893,0.17141452880264924,6.845859361102276,64.20062695924766,-198.36626354566658
