label,hz,tgt,ml,gates,verdict,n,esc_pct,ml_pct,avg_legs,pnl_$,sharpe,sqn,wr,exp,ez
rand_hz65_tgt32_ml10,65,32,10,5,PASS,213,14.553990610328638,85.44600938967136,9.140845070422536,9456.739781627632,0.4334751204825874,6.3263611070254955,62.91079812206573,A_random,0.25
rand_hz35_tgt35_ml10,35,35,10,5,PASS,562,10.320284697508896,89.6797153024911,9.462633451957295,26525.338514965093,0.35625885857972756,8.44566458994732,72.24199288256227,A_random,0.5
rand_hz75_tgt28_ml10,75,28,10,5,PASS,164,21.951219512195124,78.04878048780488,8.835365853658537,8517.787276840836,0.3230090149907129,4.136533705592687,67.07317073170732,A_random,0.19
rand_hz75_tgt37_ml10,75,37,10,5,PASS,171,9.941520467836257,90.05847953216374,9.345029239766081,7747.599221013845,0.2118255624106378,2.7699786606199144,65.49707602339181,A_random,0.25
rand_hz55_tgt55_ml7,55,55,7,5,PASS,274,3.2846715328467155,96.71532846715328,6.864963503649635,5015.809539264356,0.20266620105691752,3.3547225518559594,66.78832116788321,A_random,0.5
rand_hz75_tgt75_ml10,75,75,10,5,PASS,172,2.9069767441860463,97.09302325581395,9.779069767441861,8920.703227831254,0.19101950335248588,2.505197300353252,64.53488372093024,A_random,0.5
rand_hz65_tgt65_ml10,65,65,10,5,PASS,194,3.608247422680412,96.3917525773196,9.783505154639176,8140.9200304226,0.17229379328502828,2.3997748506227716,61.34020618556701,A_random,0.5
rand_hz45_tgt45_ml10,45,45,10,5,PASS,393,6.361323155216285,93.63867684478372,9.608142493638677,12113.948848112499,0.15908511926821978,3.153739612400713,64.3765903307888,A_random,0.5
rand_hz45_tgt22_ml10,45,22,10,5,PASS,404,23.51485148514851,76.48514851485149,8.764851485148515,8949.45125306339,0.15404212966313985,3.0962084870542648,63.613861386138616,A_random,0.24
rand_hz75_tgt75_ml7,75,75,7,5,PASS,162,2.4691358024691357,97.53086419753086,6.827160493827161,2257.493987395834,0.14344311947079125,1.8257328448622745,60.49382716049383,A_random,0.5
sess_hz45_tgt22_ml10,45,22,10,5,PASS,351,23.076923076923077,76.92307692307693,8.809116809116809,7041.628257854257,0.14171605060127113,2.655049357037593,63.53276353276354,B_session,0.24
rand_hz75_tgt28_ml7,75,28,7,5,PASS,159,18.867924528301888,81.13207547169812,6.327044025157233,1751.8045704910162,0.1402349360997956,1.7682952613077054,61.63522012578616,A_random,0.19
rand_hz35_tgt35_ml7,35,35,7,5,PASS,631,6.9730586370839935,93.026941362916,6.774960380348653,5730.245822820536,0.13154330493143981,3.3043301161676193,61.64817749603804,A_random,0.5
rand_hz25_tgt25_ml10,25,25,10,5,PASS,957,17.450365726227794,82.54963427377221,9.171368861024034,17143.82537395828,0.1310683481233068,4.054653951811687,61.650992685475444,A_random,0.5
rand_hz55_tgt55_ml10,55,55,10,5,PASS,263,3.802281368821293,96.1977186311787,9.798479087452472,8355.539314643369,0.12809310077998307,2.0773210076765523,65.0190114068441,A_random,0.5
sess_hz35_tgt18_ml10,35,18,10,5,PASS,499,31.863727454909817,68.13627254509018,8.488977955911823,8764.328758369176,0.12692211236855866,2.835225225875436,67.13426853707415,B_session,0.26
rand_hz45_tgt17_ml10,45,17,10,5,PASS,411,35.03649635036496,64.96350364963503,8.070559610705596,5557.441259531168,0.12563651121900377,2.5470459444182105,61.80048661800487,A_random,0.19
mean_rev_hz25_tgt15,25,15,10,5,PASS,1052,38.21292775665399,61.78707224334601,8.092205323193916,12588.641011258282,0.11631659897251638,3.772676484772174,64.54372623574145,C_mean_rev,0.3
rand_hz35_tgt17_ml10,35,17,10,5,PASS,581,38.209982788296045,61.79001721170396,8.06196213425129,7828.395398970656,0.109273343487207,2.633918288364938,68.50258175559381,A_random,0.24
sess_hz20_tgt15_ml10,20,15,10,5,PASS,1150,36.347826086956516,63.65217391304348,8.222608695652173,11620.55685492701,0.1071598071204387,3.6339658640943595,64.69565217391305,B_session,0.38
sess+mean_rev_hz20_tgt15,20,15,10,5,PASS,1150,36.347826086956516,63.65217391304348,8.222608695652173,11646.106176442172,0.10530586992976515,3.5710957951186786,63.82608695652174,D_sess+mean_rev,0.38
mean_rev_hz20_tgt15,20,15,10,5,PASS,1420,38.098591549295776,61.901408450704224,8.206338028169014,13959.349018724402,0.09994543883767333,3.7662327141490133,64.50704225352113,C_mean_rev,0.38
sess+mean_rev_hz15_tgt15,15,15,10,5,PASS,1578,35.044359949302915,64.95564005069708,8.337135614702154,13390.140251900044,0.09417810106436401,3.7411354196689177,61.72370088719899,D_sess+mean_rev,0.5
sess+momentum_hz20_tgt15,20,15,10,5,PASS,1150,36.347826086956516,63.65217391304348,8.222608695652173,10060.628164134409,0.09322949511009707,3.1615659999842096,63.30434782608696,D_sess+momentum,0.38
rand_hz25_tgt25_ml7,25,25,7,5,PASS,1087,12.5114995400184,87.4885004599816,6.62557497700092,5354.151292533639,0.09238132035686004,3.045782851321329,54.7378104875805,A_random,0.5
sess+momentum_hz15_tgt15,15,15,10,5,PASS,1578,35.044359949302915,64.95564005069708,8.337135614702154,11798.982612573269,0.08471273893319833,3.3651329187829027,62.29404309252218,D_sess+momentum,0.5
momentum_hz25_tgt15,25,15,10,5,PASS,1052,38.21292775665399,61.78707224334601,8.092205323193916,9391.252727794285,0.08160319762936559,2.646762951272901,64.82889733840305,C_momentum,0.3
momentum_hz20_tgt15,20,15,10,5,PASS,1420,38.098591549295776,61.901408450704224,8.206338028169014,11483.113985843029,0.08117338620612352,3.0588475692651387,64.08450704225352,C_momentum,0.38
sess_hz15_tgt15_ml10,15,15,10,5,PASS,1578,35.044359949302915,64.95564005069708,8.337135614702154,11470.618661737528,0.08006694894228819,3.1805833335724403,61.026615969581755,B_session,0.5
momentum_hz15_tgt15,15,15,10,5,PASS,2078,33.97497593840231,66.02502406159769,8.376323387872954,12809.868181289185,0.06665173968264093,3.038325237504607,62.99326275264677,C_momentum,0.5
mean_rev_hz15_tgt15,15,15,10,5,PASS,2078,33.97497593840231,66.02502406159769,8.376323387872954,12433.935261193927,0.06382763642878746,2.9095882498377015,61.02021174205967,C_mean_rev,0.5
rand_hz65_tgt32_ml7,65,32,7,4,PASS,220,13.636363636363635,86.36363636363636,6.5590909090909095,2070.204262661574,0.12996647582804066,1.9277143628181406,57.72727272727273,A_random,0.25
rand_hz75_tgt37_ml7,75,37,7,4,PASS,168,11.904761904761903,88.09523809523809,6.517857142857143,1762.6479389656358,0.09937336906521653,1.2880260744777068,61.30952380952381,A_random,0.25
rand_hz55_tgt27_ml7,55,27,7,4,PASS,270,15.925925925925927,84.07407407407408,6.496296296296296,2179.7937397206006,0.09472587029432071,1.5565048781852393,67.03703703703704,A_random,0.25
rand_hz45_tgt45_ml7,45,45,7,4,PASS,413,4.358353510895883,95.64164648910412,6.837772397094431,2768.0315342646027,0.08867854174204293,1.8021609237661154,57.14285714285714,A_random,0.5
rand_hz35_tgt17_ml7,35,17,7,4,PASS,648,28.703703703703702,71.29629629629629,6.055555555555555,1996.6044467016234,0.0586812131529871,1.4937798149542947,60.49382716049383,A_random,0.24
rand_hz25_tgt12_ml10,25,12,10,4,PASS,1066,50.65666041275797,49.34333958724203,7.333020637898687,4177.851778934816,0.04676010548229876,1.5267013320839617,62.570356472795496,A_random,0.24
rand_hz55_tgt27_ml10,55,27,10,3,FAIL,267,19.101123595505616,80.89887640449437,8.898876404494382,3785.7696163811415,0.0819358452118595,1.33884274247028,62.172284644194754,A_random,0.25
rand_hz65_tgt65_ml7,65,65,7,3,FAIL,214,3.2710280373831773,96.72897196261682,6.850467289719626,1669.403777135026,0.07063967068673349,1.0333692941017034,61.21495327102804,A_random,0.5
sess_hz35_tgt13_ml10,35,13,10,3,FAIL,505,49.10891089108911,50.89108910891089,7.396039603960396,2886.5459600999493,0.0529539948190298,1.1899930300146242,65.74257425742574,B_session,0.19
sess_hz45_tgt17_ml10,45,17,10,3,FAIL,346,35.83815028901734,64.16184971098265,8.138728323699421,2476.907942513825,0.04880571123995363,0.9078387068057061,62.42774566473989,B_session,0.19
rand_hz65_tgt24_ml10,65,24,10,2,FAIL,205,27.31707317073171,72.6829268292683,8.473170731707317,1622.161862707231,0.0382485815833533,0.5476363470345799,60.48780487804878,A_random,0.18
rand_hz45_tgt22_ml7,45,22,7,2,FAIL,417,16.786570743405278,83.21342925659472,6.383693045563549,926.2933591169369,0.03454642435377414,0.7054579481855338,58.033573141486805,A_random,0.24
sess+mean_rev_hz25_tgt15,25,15,10,2,FAIL,864,34.83796296296296,65.16203703703704,8.225694444444445,1900.3440820616104,0.020134158339087143,0.5918209719739962,57.986111111111114,D_sess+mean_rev,0.3
sess_hz25_tgt15_ml10,25,15,10,2,FAIL,864,34.83796296296296,65.16203703703704,8.225694444444445,1046.2898021400242,0.011182871067670033,0.32870793570149415,59.143518518518526,B_session,0.3
sess+momentum_hz25_tgt15,25,15,10,2,FAIL,864,34.83796296296296,65.16203703703704,8.225694444444445,290.7199892481996,0.0030222767529661143,0.08883643087491057,60.763888888888886,D_sess+momentum,0.3
rand_hz65_tgt24_ml7,65,24,7,1,FAIL,210,20.476190476190474,79.52380952380952,6.1761904761904765,151.44429876639126,0.009978862241571239,0.14460745224093327,55.23809523809524,A_random,0.18
rand_hz55_tgt20_ml10,55,20,10,0,FAIL,262,33.20610687022901,66.79389312977099,8.297709923664122,-425.86123828780586,-0.00908958482967395,-0.14712778365240797,58.396946564885496,A_random,0.18
rand_hz55_tgt20_ml7,55,20,7,0,FAIL,281,22.419928825622776,77.58007117437722,6.209964412811388,-364.62384047141353,-0.01447325395204701,-0.24261594644393203,58.362989323843415,A_random,0.18
rand_hz35_tgt13_ml10,35,13,10,0,FAIL,601,49.25124792013311,50.74875207986689,7.259567387687188,-1691.5187807232624,-0.02295203218220878,-0.5626759854100597,61.89683860232945,A_random,0.19
sess_hz20_tgt7_ml10,20,7,10,0,FAIL,1300,74.76923076923076,25.23076923076923,5.480769230769231,-1624.9650962004378,-0.023962183285631215,-0.8639688050840951,59.38461538461538,B_session,0.17
rand_hz45_tgt17_ml7,45,17,7,0,FAIL,431,28.306264501160094,71.6937354988399,5.972157772621809,-1136.6913795589098,-0.03504284947280943,-0.727508460393407,58.46867749419954,A_random,0.19
rand_hz35_tgt13_ml7,35,13,7,0,FAIL,645,39.689922480620154,60.310077519379846,5.644961240310078,-1419.2454269565574,-0.04096145615838456,-1.040291965962846,55.19379844961241,A_random,0.19
rand_hz25_tgt9_ml10,25,9,10,0,FAIL,1113,64.77987421383648,35.22012578616352,6.290206648697215,-3889.435670122128,-0.04414889792699801,-1.472880285166289,59.928122192273136,A_random,0.18
sess_hz25_tgt9_ml10,25,9,10,0,FAIL,930,61.72043010752688,38.27956989247312,6.443010752688172,-3857.4071066329184,-0.048955862250292685,-1.4929531463722354,60.215053763440864,B_session,0.18
rand_hz25_tgt12_ml7,25,12,7,0,FAIL,1115,40.98654708520179,59.0134529147982,5.652017937219731,-3409.9281593354835,-0.058788239429108706,-1.9630342995269456,58.38565022421525,A_random,0.24
rand_hz25_tgt9_ml7,25,9,7,0,FAIL,1168,55.39383561643836,44.60616438356164,5.012842465753424,-2999.529922564121,-0.07526689201038717,-2.572322428940632,53.25342465753424,A_random,0.18
sess_hz15_tgt5_ml10,15,5,10,0,FAIL,2024,87.54940711462451,12.450592885375494,4.3186758893280635,-12673.70230609893,-0.13177651010620917,-5.928478590525753,56.02766798418972,B_session,0.17
