pair,zw,tgt,ez,gates,verdict,n,avg_hrs,esc_pct,pnl_usd,pnl_hr_1u,dd_usd,calmar,sharpe,sqn,wr,zw_prior,median_range_pips
EUR_USD,8,8,1.0,0,FAIL,12148,0.8089466030073537,56.22324662495885,-22.274742635913473,-0.002266630302059424,-22.849181914947636,-38.776496400742786,-0.04681187847536576,-5.159510023997921,57.42509054988475,20,68.1
EUR_USD,8,12,1.5,5,PASS,10185,0.9648175421371298,32.695139911634755,53.45460092253704,0.005439426179504647,-1.8653277829695698,0.9662810884500671,0.09591782637765346,9.680100031109404,55.61119293078056,20,68.1
EUR_USD,8,16,2.0,5,PASS,9459,1.0389223667054306,19.46294534305952,112.72094629615059,0.011470243078801352,-1.0754900533310139,0.9905490005853254,0.18132961165318923,17.635644843363732,55.35468865630616,20,68.1
EUR_USD,8,20,2.5,5,PASS,9083,1.0818103416639142,11.196741164813389,153.39791843688405,0.015609445006169993,-1.07700069070053,0.9930279899365992,0.22919239146294426,21.84312913439384,54.60750853242321,20,68.1
EUR_USD,8,24,3.0,5,PASS,8976,1.0947248217468806,7.163547237076649,177.69829928262305,0.018082199932089146,-1.0032563102291432,0.9943858557531814,0.24525243758211115,23.235646172730952,53.83244206773619,20,68.1
EUR_USD,8,28,3.5,5,PASS,8858,1.10940204711372,4.922104312485889,203.7750848331352,0.020735718011970307,-0.9218680569621357,0.9954964251106508,0.270962767013152,25.502188795661418,55.27207044479566,20,68.1
EUR_USD,8,32,4.0,5,PASS,8806,1.1158395790748732,3.2364297070179426,213.31563941745196,0.021706544497947233,-0.9218680569621357,0.9956969810383356,0.2743605373426658,25.746072348906374,54.32659550306609,20,68.1
EUR_USD,11,11,1.0,5,PASS,9003,1.0913399237291272,37.954015328223925,26.42510374606753,0.002688962196552192,-2.7390274292060903,0.9060823237714575,0.051159733105304736,4.854247271980316,57.71409530156615,20,68.1
EUR_USD,11,16,1.5,5,PASS,8025,1.2243406022845276,19.601246105919003,92.32736122007691,0.009395035357813927,-1.4557650304487324,0.9844773245609247,0.15743240870749625,14.10316739510452,56.49844236760124,20,68.1
EUR_USD,11,22,2.0,5,PASS,7724,1.2720632660107023,9.93008803728638,127.25699871809465,0.01294940077011317,-1.2670899891727314,0.9901412256494678,0.19300932118747435,16.96287320756682,54.63490419471776,20,68.1
EUR_USD,11,28,2.5,5,PASS,7524,1.3060096579833422,5.143540669856459,159.53166868511877,0.01623360234909245,-2.052385938535689,0.9872983386676618,0.22603600603308827,19.60658779084185,55.58213716108453,20,68.1
EUR_USD,11,33,3.0,5,PASS,7522,1.3063901444651245,3.363467162988567,189.35332357068586,0.019268190345283355,-1.4790807371912524,0.9922493208501163,0.26193001814185224,22.71705019110792,56.19516086147301,20,68.1
EUR_USD,11,38,3.5,5,PASS,7524,1.3060539606592239,2.166400850611377,208.9867280813296,0.02126604371327987,-1.0528867616353557,0.9949871991413499,0.2769646463692262,24.024188664892538,57.30994152046783,20,68.1
EUR_USD,11,44,4.0,5,PASS,7524,1.3060539606592239,1.5948963317384368,209.79297558219426,0.02134808573936699,-1.1569621995100285,0.9945154655570114,0.27318055538648583,23.695952852538067,55.90111642743222,20,68.1
EUR_USD,14,14,1.0,5,PASS,7323,1.3416632527652603,26.355318858391367,63.797571779964635,0.0064919048340038804,-2.414549479826191,0.9635331200105728,0.12083298832270893,10.340226053796458,59.22436160043698,20,68.1
EUR_USD,14,21,1.5,5,PASS,6953,1.4133707272640106,11.390766575578887,135.270041872964,0.013764790950974482,-1.1252740927950828,0.9917499066237907,0.22434870241922877,18.707238223407366,58.219473608514306,20,68.1
EUR_USD,14,28,2.0,5,PASS,6762,1.4530217884255152,5.575273587695948,153.08140540367296,0.015577237314983639,-1.8140780453180896,0.9882883735217788,0.23185031051798555,19.06537118933251,57.630878438331855,20,68.1
EUR_USD,14,35,2.5,5,PASS,6820,1.4408724340175951,3.093841642228739,172.78057267078452,0.017581782560816557,-1.8140780453180896,0.9896097730493023,0.24028931665411118,19.84388263070108,57.683284457478,20,68.1
EUR_USD,14,42,3.0,5,PASS,6657,1.4760778128286016,1.907766261078564,190.39050091128368,0.019373731299324192,-0.9815218680439983,0.9948711318729395,0.2669903781893119,21.78386259684075,57.488358119272945,20,68.1
EUR_USD,14,49,3.5,5,PASS,6657,1.4761028491312402,1.2017425266636623,195.4201162629936,0.019885534230124763,-1.0454890833428014,0.9946785134146012,0.2627059491214723,21.434294141405427,57.95403334835512,20,68.1
EUR_USD,14,56,4.0,5,PASS,6555,1.499110094075769,0.8237986270022883,205.6750471945768,0.020929054129545578,-1.100943858202442,0.9946756688114655,0.2726521762668748,22.074725739115713,58.306636155606405,20,68.1
EUR_USD,17,17,1.0,5,PASS,6262,1.569187160651549,18.316831683168317,84.90619539158983,0.008639873351302738,-2.3684072463334362,0.9728625834464206,0.1604495525668402,12.696822317026687,59.18236984988822,20,68.1
EUR_USD,17,26,1.5,5,PASS,6051,1.6236847903927725,6.7922657411998015,138.27524198392533,0.014070593704640193,-1.5857247003882076,0.988662135419331,0.2261799100769965,17.594122179650615,57.47810279292679,20,68.1
EUR_USD,17,34,2.0,5,PASS,5861,1.676363532957971,3.4123869646817946,147.6566851938792,0.015025229356521836,-1.4624760232454865,0.9901925680689951,0.23043943079915438,17.641790259384425,58.232383552294834,20,68.1
EUR_USD,17,42,2.5,5,PASS,5997,1.638374742927019,1.8009004502251125,174.87156623205595,0.017794557605846594,-1.2081436821671145,0.9931386547447423,0.26544642665852686,20.556250804521888,58.76271469067868,20,68.1
EUR_USD,17,51,3.0,5,PASS,6103,1.6097957288765088,1.032279206947403,191.61991282696388,0.019498833633718883,-1.1299944024128141,0.9941375100063311,0.26681561997890385,20.844089800709167,59.34786170735704,20,68.1
EUR_USD,17,60,3.5,5,PASS,5959,1.6490882139061362,0.5705655311293841,186.92654499614034,0.019021246533479898,-1.5973108470514068,0.9915272746788077,0.261849295569606,20.2133409990677,58.43262292330928,20,68.1
