pair,reg_N,zw_mode,zw_val,atr_mult,tgt_frac,ta,wick_thresh,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,is_wf,oos_wf,perm_p,gate_pass
EUR_USD,20,atr,0.0,3.0,0.7,6.0,0.0,-8.184631876078405e+16,-6.563785235342776e+17,0.486,4547,82.8,68.6,3.8,3,2,0.515,False
EUR_USD,20,atr,0.0,4.0,0.7,6.0,0.0,4.0038653804731923e+17,-2.360158846004652e+16,0.896,2575,94.1,71.9,3.9,3,3,0.16,False
EUR_USD,20,atr,0.0,5.0,0.7,6.0,0.0,2.003018844041616e+17,5236103252058193.0,0.996,1493,97.7,73.7,3.2,3,3,0.035,True
EUR_USD,20,atr,0.0,2.0,0.7,6.0,0.15,9.96254713583333e+17,-3.4511536641663066e+17,0.896,7499,69.7,62.7,5.3,3,3,0.13,False
EUR_USD,20,atr,0.0,3.0,0.7,6.0,0.15,2.0566639700230205e+17,-1.484538185584178e+16,0.93,4245,86.4,68.4,4.0,3,3,0.095,False
EUR_USD,20,atr,0.0,4.0,0.7,6.0,0.15,3.184814110915484e+17,-5.712671432397697e+16,0.82,2436,95.1,71.8,3.1,3,3,0.23,False
EUR_USD,20,atr,0.0,5.0,0.7,6.0,0.15,3.801271952672389e+16,4521994632885925.0,1.0,1410,98.1,74.1,2.4,3,3,0.0,True
EUR_USD,20,atr,0.0,2.0,0.7,10.0,0.0,1.0246676049750889e+18,-1.088904688266165e+17,0.906,7128,55.2,58.9,6.0,1,2,0.165,False
EUR_USD,20,atr,0.0,3.0,0.7,10.0,0.0,-1.2616248817633194e+17,-6.76166822557831e+17,0.386,3615,81.5,62.7,4.5,2,2,0.595,False
EUR_USD,20,atr,0.0,4.0,0.7,10.0,0.0,4.382990032442163e+17,2.372794318174017e+16,1.0,2058,93.8,64.2,4.3,3,3,0.0,True
EUR_USD,20,atr,0.0,5.0,0.7,10.0,0.0,2.1560851892223142e+17,1.7814185070667324e+16,0.998,1185,97.7,65.1,4.7,2,3,0.015,False
EUR_USD,20,atr,0.0,2.0,0.7,10.0,0.15,-3.177290177330397e+17,-1.0187952494115712e+18,0.246,6613,68.7,58.7,5.8,2,1,0.77,False
EUR_USD,20,atr,0.0,3.0,0.7,10.0,0.15,1.3837797771997893e+17,-1.0215175381254166e+17,0.84,3310,85.3,61.7,5.0,3,2,0.195,False
EUR_USD,20,atr,0.0,4.0,0.7,10.0,0.15,3.522591125902497e+17,1.6200763497957584e+16,1.0,1989,94.9,65.1,3.4,3,3,0.0,True
EUR_USD,20,atr,0.0,5.0,0.7,10.0,0.15,5.392641200333196e+16,4318333114612384.5,1.0,1133,98.1,65.8,4.1,2,3,0.0,False
EUR_USD,20,atr,0.0,2.0,1.0,6.0,0.0,-6.519198907299244e+17,-1.6411330967107697e+18,0.116,5706,53.7,62.0,8.0,1,1,0.88,False
EUR_USD,20,atr,0.0,3.0,1.0,6.0,0.0,-4.609188472703097e+16,-1.6775637393828512e+17,0.39,3294,82.8,68.0,5.7,2,2,0.52,False
EUR_USD,20,atr,0.0,4.0,1.0,6.0,0.0,-6.165311486271814e+16,-1.9191098029870288e+17,0.376,2221,94.1,72.4,5.0,2,2,0.51,False
EUR_USD,20,atr,0.0,5.0,1.0,6.0,0.0,1099531530407765.6,200139249347494.1,1.0,1427,97.6,75.4,4.6,1,2,0.005,False
EUR_USD,20,atr,0.0,2.0,1.0,6.0,0.15,1.3856134804107236e+18,-4.851341977558352e+17,0.856,5227,68.9,60.4,8.1,1,3,0.185,False
EUR_USD,20,atr,0.0,3.0,1.0,6.0,0.15,-3.139728167470516e+16,-1.3262206449995629e+17,0.39,3278,86.4,68.5,5.4,3,2,0.49,False
EUR_USD,20,atr,0.0,4.0,1.0,6.0,0.15,-6.405977920232723e+16,-2.0253005247785606e+17,0.336,2064,95.1,72.0,4.2,2,2,0.525,False
EUR_USD,20,atr,0.0,5.0,1.0,6.0,0.15,263698020525309.0,38373698613260.5,0.994,1245,98.1,75.6,4.3,1,2,0.04,False
EUR_USD,20,atr,0.0,2.0,1.0,10.0,0.0,-6.685634482760969e+17,-1.418264444019166e+18,0.058,4426,50.6,53.9,10.0,2,1,0.92,False
EUR_USD,20,atr,0.0,3.0,1.0,10.0,0.0,-1.906583592217188e+17,-4.65031425781386e+17,0.16,2494,80.9,60.8,7.2,1,1,0.735,False
EUR_USD,20,atr,0.0,4.0,1.0,10.0,0.0,6.232250557622859e+16,-664105180264277.1,0.918,1531,93.7,63.4,7.1,2,3,0.12,False
EUR_USD,20,atr,0.0,5.0,1.0,10.0,0.0,678400486955381.6,56666414098677.2,0.998,1059,97.6,64.9,6.7,1,2,0.005,False
EUR_USD,20,atr,0.0,2.0,1.0,10.0,0.15,1.1499291873622952e+18,-5.6399160513696224e+17,0.756,4136,67.6,53.4,9.6,1,2,0.34,False
EUR_USD,20,atr,0.0,3.0,1.0,10.0,0.15,-9.275388358902862e+16,-3.829185032395582e+17,0.376,2496,85.0,60.9,6.7,3,2,0.455,False
EUR_USD,20,atr,0.0,4.0,1.0,10.0,0.15,3533876667394199.5,601994476996121.8,1.0,1479,94.9,63.6,6.2,1,3,0.0,False
EUR_USD,20,atr,0.0,5.0,1.0,10.0,0.15,225324321680766.6,337.1,0.992,946,98.1,64.8,6.4,1,3,0.02,False
EUR_USD,30,fixed,30.0,0.0,0.5,6.0,0.0,322.5,207.1,1.0,1523,98.2,84.4,1.2,3,3,0.0,True
EUR_USD,30,fixed,50.0,0.0,0.5,6.0,0.0,163.3,48.7,1.0,469,99.6,91.7,0.9,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,0.5,6.0,0.15,315.8,172.5,1.0,1287,98.5,83.5,1.2,3,3,0.0,True
EUR_USD,30,fixed,50.0,0.0,0.5,6.0,0.15,27.3,13.3,1.0,393,99.6,91.9,0.3,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,0.5,10.0,0.0,486.0,280.2,1.0,1163,98.4,74.3,1.8,2,3,0.0,False
EUR_USD,30,fixed,50.0,0.0,0.5,10.0,0.0,164.6,42.0,1.0,376,99.6,84.6,1.6,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,0.5,10.0,0.15,506.6,298.3,1.0,1022,98.6,74.0,2.1,3,3,0.0,True
EUR_USD,30,fixed,50.0,0.0,0.5,10.0,0.15,38.0,20.9,1.0,322,99.7,84.5,0.3,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,0.7,6.0,0.0,560.6,192.0,1.0,1368,98.3,84.8,2.0,3,3,0.0,True
EUR_USD,30,fixed,50.0,0.0,0.7,6.0,0.0,58.3,26.4,1.0,428,99.6,91.4,1.2,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,0.7,6.0,0.15,235.5,67.3,0.994,1173,98.6,83.4,2.0,3,3,0.0,True
EUR_USD,30,fixed,50.0,0.0,0.7,6.0,0.15,27.3,15.9,1.0,366,99.7,91.8,0.8,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,0.7,10.0,0.0,869.3,409.8,1.0,1048,98.4,75.4,3.3,2,3,0.0,False
EUR_USD,30,fixed,50.0,0.0,0.7,10.0,0.0,78.4,41.2,1.0,338,99.6,84.3,1.8,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,0.7,10.0,0.15,530.3,196.3,1.0,926,98.7,74.3,3.2,3,3,0.0,True
EUR_USD,30,fixed,50.0,0.0,0.7,10.0,0.15,39.1,22.9,1.0,294,99.7,85.0,1.4,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,1.0,6.0,0.0,384.0,197.3,1.0,1213,98.3,84.6,3.1,2,3,0.0,False
EUR_USD,30,fixed,50.0,0.0,1.0,6.0,0.0,37.2,22.4,1.0,408,99.6,91.9,1.5,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,1.0,6.0,0.15,234.2,155.4,1.0,1038,98.6,82.9,3.7,3,3,0.0,True
EUR_USD,30,fixed,50.0,0.0,1.0,6.0,0.15,10.2,-7.2,0.848,345,99.7,91.6,1.2,3,2,0.195,False
EUR_USD,30,fixed,30.0,0.0,1.0,10.0,0.0,276.7,-4.2,0.948,923,98.4,75.5,4.3,1,2,0.055,False
EUR_USD,30,fixed,50.0,0.0,1.0,10.0,0.0,114.7,50.3,1.0,309,99.6,85.8,3.2,3,3,0.0,True
EUR_USD,30,fixed,30.0,0.0,1.0,10.0,0.15,174.7,-47.4,0.906,802,98.7,73.7,5.4,3,2,0.135,False
EUR_USD,30,fixed,50.0,0.0,1.0,10.0,0.15,87.5,17.5,0.994,265,99.7,84.9,3.0,3,3,0.005,True
EUR_USD,30,atr,0.0,2.0,0.5,6.0,0.0,-7.201730257301377e+17,-1.638724370323328e+18,0.068,11023,52.7,67.0,3.8,2,1,0.875,False
EUR_USD,30,atr,0.0,3.0,0.5,6.0,0.0,7.092701195888638e+16,-1.3555067150105605e+17,0.712,2758,77.3,72.2,2.5,3,2,0.295,False
EUR_USD,30,atr,0.0,4.0,0.5,6.0,0.0,1.8893091579207016e+16,-3.932287764603345e+17,0.548,3615,89.9,72.7,2.2,3,2,0.505,False
EUR_USD,30,atr,0.0,5.0,0.5,6.0,0.0,4.8694174750655386e+17,1.5189482281257016e+16,1.0,2413,95.4,75.5,2.1,3,3,0.0,True
EUR_USD,30,atr,0.0,2.0,0.5,6.0,0.15,-2.6289118181399808e+17,-1.0035585808527447e+18,0.266,9899,67.8,67.1,3.9,1,1,0.735,False
EUR_USD,30,atr,0.0,3.0,0.5,6.0,0.15,1.0106500287761179e+18,1.395359562886508e+17,1.0,2419,83.6,71.4,2.5,3,2,0.0,False
EUR_USD,30,atr,0.0,4.0,0.5,6.0,0.15,4403417604190425.5,-5.937196165547656e+17,0.5,3398,91.9,72.7,2.1,3,1,0.5,False
EUR_USD,30,atr,0.0,5.0,0.5,6.0,0.15,4.823583736088808e+17,1.592912195595017e+16,1.0,2195,96.2,75.2,2.0,3,3,0.0,True
EUR_USD,30,atr,0.0,2.0,0.5,10.0,0.0,8.364682089431706e+18,-6.039856916880658e+17,0.82,9957,53.9,65.3,4.0,2,3,0.3,False
EUR_USD,30,atr,0.0,3.0,0.5,10.0,0.0,4.7282333511046874e+17,1.0492187470561392e+17,1.0,2260,77.6,67.5,2.7,3,3,0.0,True
EUR_USD,30,atr,0.0,4.0,0.5,10.0,0.0,3.4241581426518708e+16,-3.309639215591189e+17,0.616,2967,89.5,67.8,2.7,3,2,0.38,False
EUR_USD,30,atr,0.0,5.0,0.5,10.0,0.0,5.5468679816946566e+17,2.0693734357481996e+16,1.0,1952,95.2,69.6,2.8,3,3,0.0,True
EUR_USD,30,atr,0.0,2.0,0.5,10.0,0.15,1.8755593697488003e+17,-7.314122843655708e+17,0.622,9471,67.5,65.8,3.9,2,2,0.395,False
EUR_USD,30,atr,0.0,3.0,0.5,10.0,0.15,8.489732047456252e+17,-6.444663855514017e+16,0.926,2026,83.2,67.4,2.8,3,2,0.095,False
EUR_USD,30,atr,0.0,4.0,0.5,10.0,0.15,7.233289631392514e+16,-4.932978111233573e+17,0.612,2754,91.3,68.2,2.7,3,2,0.405,False
EUR_USD,30,atr,0.0,5.0,0.5,10.0,0.15,4.84457896839844e+17,1.4108132870929648e+16,1.0,1782,96.0,70.3,2.4,3,3,0.0,True
EUR_USD,30,atr,0.0,2.0,0.7,6.0,0.0,4.1444732337126144e+18,9.467242837577571e+16,0.96,8386,47.9,63.5,5.1,2,3,0.08,False
EUR_USD,30,atr,0.0,3.0,0.7,6.0,0.0,1.574346671170818e+17,-1.6472986862111254e+17,0.76,4838,76.3,69.2,3.6,3,2,0.26,False
EUR_USD,30,atr,0.0,4.0,0.7,6.0,0.0,4.121572149444764e+17,-3.136975586504138e+16,0.894,2793,89.7,71.3,3.5,3,2,0.15,False
EUR_USD,30,atr,0.0,5.0,0.7,6.0,0.0,1.7431362723123357e+17,4129416875650374.5,1.0,1964,95.4,74.9,2.5,3,3,0.0,True
EUR_USD,30,atr,0.0,2.0,0.7,6.0,0.15,3.170489558597328e+18,-4.263287518732572e+17,0.838,7463,65.9,62.7,5.3,3,3,0.21,False
EUR_USD,30,atr,0.0,3.0,0.7,6.0,0.15,1.6876056471252202e+17,-1.169383066403692e+17,0.844,4511,82.4,68.6,3.9,3,2,0.125,False
EUR_USD,30,atr,0.0,4.0,0.7,6.0,0.15,-2.124489185793223e+16,-7.331900114143992e+17,0.432,2741,91.7,71.8,3.1,3,2,0.515,False
EUR_USD,30,atr,0.0,5.0,0.7,6.0,0.15,1.9470131146696828e+16,305720298496040.2,1.0,1950,96.2,74.8,1.9,3,3,0.0,True
EUR_USD,30,atr,0.0,2.0,0.7,10.0,0.0,1.4511482751313912e+18,1.244381755553259e+17,0.974,7294,47.7,59.7,5.3,3,3,0.08,False
EUR_USD,30,atr,0.0,3.0,0.7,10.0,0.0,-2.649899477170023e+17,-7.680945519619351e+17,0.242,3648,75.3,61.6,4.5,2,0,0.725,False
EUR_USD,30,atr,0.0,4.0,0.7,10.0,0.0,4.1768517418280896e+17,-460388950151692.6,0.944,2224,88.3,64.8,4.1,3,2,0.135,False
EUR_USD,30,atr,0.0,5.0,0.7,10.0,0.0,1.9849113177928032e+17,5762177582404977.0,1.0,1444,95.2,66.9,4.4,2,3,0.0,False
EUR_USD,30,atr,0.0,2.0,0.7,10.0,0.15,2.6623652389944484e+18,-7.748315399651809e+17,0.758,6510,65.1,58.7,5.8,3,2,0.3,False
EUR_USD,30,atr,0.0,3.0,0.7,10.0,0.15,1.5433791519814675e+17,-1.0603908983313698e+17,0.84,3438,81.0,61.9,4.6,2,2,0.195,False
EUR_USD,30,atr,0.0,4.0,0.7,10.0,0.15,-1.926300198100791e+16,-7.359115922609946e+17,0.46,2126,90.7,65.1,4.0,3,2,0.48,False
EUR_USD,30,atr,0.0,5.0,0.7,10.0,0.15,4.965856908196071e+16,2049207996511940.2,1.0,1463,96.0,67.2,3.5,2,3,0.0,False
EUR_USD,30,atr,0.0,2.0,1.0,6.0,0.0,3.3931678677557663e+18,2.8563888328001286e+17,0.966,6080,44.5,62.2,8.0,0,3,0.105,False
EUR_USD,30,atr,0.0,3.0,1.0,6.0,0.0,2.4335500653541504e+16,2174522801680988.0,0.984,3597,76.1,69.3,5.2,1,3,0.035,False
EUR_USD,30,atr,0.0,4.0,1.0,6.0,0.0,1.6680942939370794e+17,-584821636086477.2,0.926,2219,89.4,72.8,5.0,3,3,0.165,False
EUR_USD,30,atr,0.0,5.0,1.0,6.0,0.0,4712680935783223.0,53833093266813.2,0.996,1786,95.4,76.4,3.8,2,2,0.035,False
EUR_USD,30,atr,0.0,2.0,1.0,6.0,0.15,1.877011588064965e+18,-3.247191372965258e+17,0.904,5223,64.6,61.2,8.4,0,2,0.125,False
EUR_USD,30,atr,0.0,3.0,1.0,6.0,0.15,-5.026693049999642e+16,-1.692246555935712e+17,0.364,3424,82.5,68.7,5.2,3,1,0.53,False
EUR_USD,30,atr,0.0,4.0,1.0,6.0,0.15,1.56714104365897e+17,1914486375074026.0,1.0,2254,91.5,72.3,4.7,3,3,0.005,True
EUR_USD,30,atr,0.0,5.0,1.0,6.0,0.15,2.267757505480592e+16,826225521.3,0.992,1581,96.2,75.0,4.4,2,3,0.015,False
EUR_USD,30,atr,0.0,2.0,1.0,10.0,0.0,8.149073088523352e+17,-1.0334462566472412e+18,0.688,4723,40.8,54.0,9.7,1,1,0.43,False
EUR_USD,30,atr,0.0,3.0,1.0,10.0,0.0,2.974263899485025e+16,7411891140338477.0,1.0,2508,73.5,59.1,7.0,3,3,0.0,True
EUR_USD,30,atr,0.0,4.0,1.0,10.0,0.0,5.437647922367475e+16,-1.2795893299173066e+16,0.796,1564,88.0,65.0,6.0,3,2,0.245,False
EUR_USD,30,atr,0.0,5.0,1.0,10.0,0.0,1474608900842213.2,1618.3,1.0,1297,95.1,67.9,6.2,2,3,0.0,False
