half_zone_pips,target_beyond_pips,profit_factor,ez_ratio,n_cycles,net_pnl_pips,mean_pnl_pips,win_rate,sharpe,sqn,profit_factor_result,max_dd_pips,avg_legs,max_legs_hit_pct,exit_target_pct,exit_maxlegs_pct
10.25,20,1.0,0.975609756097561,17886,-24278.450000033154,-1.3573996421800936,0.8444593536844459,-0.022045219825950726,-2.9482957540557133,0.886008317979952,-25981.400000029982,3.5842558425584254,0.2636139997763614,0.055294643855529464,0.25763166722576314
25.0,20,1.19,0.4,10633,-16868.999999988857,-1.5864760650793621,0.913570958337252,-0.022620604577743245,-2.3325561929569933,0.8321863230212819,-19319.899999991034,2.3515470704410797,0.13533339603122355,0.037618734129596536,0.13213580363020785
25.0,20,1.3,0.4,10633,-17616.799999988692,-1.6568042885346272,0.913947145678548,-0.022655775519214095,-2.3361828951991024,0.8276111092628401,-20020.29999999099,2.3515470704410797,0.13533339603122355,0.037618734129596536,0.13213580363020785
25.0,20,1.1,0.4,10633,-16508.199999988985,-1.552543966894478,0.913100724160632,-0.02288447169531473,-2.359765230500343,0.834104114787244,-18785.699999991157,2.3515470704410797,0.13533339603122355,0.037618734129596536,0.13213580363020785
25.0,20,1.0,0.4,10633,-16140.099999989161,-1.5179253268117334,0.9119721621367441,-0.023174642348341754,-2.3896865949539934,0.8361319667596633,-18269.799999991315,2.3515470704410797,0.13533339603122355,0.037618734129596536,0.13213580363020785
10.25,20,1.1,0.975609756097561,17886,-29946.900000034286,-1.674320697754349,0.8469752879346976,-0.025019188250699494,-3.346029981639194,0.8647997011288644,-31752.300000031188,3.5842558425584254,0.2636139997763614,0.055294643855529464,0.25763166722576314
25.0,20,1.5,0.4,10633,-23962.199999987257,-2.253569077399347,0.9148876140317879,-0.025122858734377067,-2.590579731158593,0.7995807976555034,-26365.39999998983,2.3515470704410797,0.13533339603122355,0.037618734129596536,0.13213580363020785
10.25,20,1.19,0.975609756097561,17886,-34631.800000035306,-1.9362518170655991,0.8476462037347646,-0.027301150391051084,-3.651216291525506,0.8489847444580899,-36273.65000003232,3.5842558425584254,0.2636139997763614,0.055294643855529464,0.25763166722576314
10.25,20,1.3,0.975609756097561,17886,-38056.000000036074,-2.1276976406147865,0.8484289388348429,-0.02874846545347254,-3.844778110686638,0.8380058061823402,-39718.60000003313,3.5842558425584254,0.2636139997763614,0.055294643855529464,0.25763166722576314
25.0,15,1.1,0.3,11094,-26059.699999988872,-2.3489904452847368,0.9123850730124392,-0.029200205444900516,-3.0756009601511485,0.739151019885302,-29292.29999999368,2.198936361997476,0.11132143500991527,0.05678745267712277,0.10717504957634758
25.0,15,1.3,0.3,11094,-33303.09999998713,-3.0019019289694544,0.9196863169280692,-0.02950939722999961,-3.1081675307157295,0.7171497463503451,-37316.69999999276,2.198936361997476,0.11132143500991527,0.05678745267712277,0.10717504957634758
25.0,15,1.19,0.3,11094,-32345.899999987352,-2.915621056425757,0.9195961781142961,-0.02974054857325897,-3.132514253022537,0.720578402594419,-36237.59999999291,2.198936361997476,0.11132143500991527,0.05678745267712277,0.10717504957634758
25.0,15,1.5,0.3,11094,-39872.79999998561,-3.5940868938151804,0.920858121507121,-0.02984755638685318,-3.1437851783197943,0.6999875097627887,-43872.699999988836,2.198936361997476,0.11132143500991527,0.05678745267712277,0.10717504957634758
25.0,15,1.0,0.3,11094,-24792.299999989096,-2.23474851270859,0.9113034072471606,-0.029865724591626886,-3.1456988000630273,0.7469362632517882,-27575.19999999162,2.198936361997476,0.11132143500991527,0.05678745267712277,0.10717504957634758
20.0,20,1.3,0.5,12232,-33846.19999999952,-2.7670209287115366,0.8959287115761936,-0.030004733221102444,-3.3184746615982585,0.7654504757350881,-38266.099999999235,2.607504905166776,0.16088947024198821,0.04242969260954872,0.15737410071942445
20.0,20,1.19,0.5,12232,-32954.19999999955,-2.69409744931324,0.8956017004578156,-0.03059805992928748,-3.384095629885248,0.7674878696348254,-37246.19999999935,2.607504905166776,0.16088947024198821,0.04242969260954872,0.15737410071942445
20.0,20,1.1,0.5,12232,-31984.499999999567,-2.6148217789404486,0.8951111837802486,-0.030766164639522444,-3.4026877372470863,0.7711201085416463,-36132.49999999928,2.607504905166776,0.16088947024198821,0.04242969260954872,0.15737410071942445
20.0,20,1.0,0.5,12232,-30926.199999999604,-2.5283028122955855,0.894211903204709,-0.0309165546371066,-3.4193206262204114,0.7757005956667862,-34944.79999999935,2.607504905166776,0.16088947024198821,0.04242969260954872,0.15737410071942445
20.0,20,1.5,0.5,12232,-42264.599999999395,-3.4552485284499177,0.8978907782864617,-0.03116208288564438,-3.4464756509118555,0.7488707544109235,-47025.69999999932,2.607504905166776,0.16088947024198821,0.04242969260954872,0.15737410071942445
8.0,20,1.0,1.25,19921,-37016.99999993219,-1.858189849903729,0.8095979117514182,-0.03265136622585976,-4.608471710090831,0.862478368865959,-38556.099999934835,4.094422970734401,0.31835751217308367,0.05968575874705085,0.3112293559560263
