  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
  0.25    0.5      0    20 |     -4.9     -9.2   6147  35.7%  64.3%    2/3    1/3   0.965 | 2/1 p=0.96
  0.25    0.5      0    25 |     -2.6     -7.3   5133  31.0%  69.0%    2/3    1/3   0.835 | 2/1 p=0.83
  0.25    0.5      0    30 |     -0.1     -4.2   4473  27.7%  72.3%    2/3    1/3   0.480 | 2/1 p=0.48
  0.25    0.5     50    15 |    -17.7    -22.2   7567  40.2%  59.8%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    0.5     50    20 |    -10.4    -14.6   6095  34.3%  65.7%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    0.5     50    25 |     -8.1    -12.6   5136  29.6%  70.4%    2/3    0/3   1.000 | 2/0 p=1.00
  0.25    0.5     50    30 |     -5.5    -10.1   4526  26.3%  73.7%    1/3    1/3   0.985 | 1/1 p=0.98
  0.25    0.5    100    15 |    -15.1    -18.8   7577  40.9%  59.1%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    0.5    100    20 |     -8.0    -12.3   6105  34.9%  65.1%    0/3    1/3   1.000 | 0/1 p=1.00
  0.25    0.5    100    25 |     -5.7    -10.5   5108  30.2%  69.8%    2/3    1/3   0.980 | 2/1 p=0.98
  0.25    0.5    100    30 |     -3.1     -7.6   4495  27.0%  73.0%    1/3    1/3   0.850 | 1/1 p=0.85
  0.25    1.0      0    15 |     -8.4    -12.4   6157  50.7%  49.3%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.0      0    20 |     -4.3     -9.0   4810  43.9%  56.1%    2/3    1/3   0.955 | 2/1 p=0.95
  0.25    1.0      0    25 |     -3.6     -8.1   4008  38.3%  61.7%    2/3    1/3   0.870 | 2/1 p=0.87
  0.25    1.0      0    30 |     -1.2     -6.0   3489  34.6%  65.4%    2/3    1/3   0.695 | 2/1 p=0.69
  0.25    1.0     50    15 |    -14.0    -18.4   6043  49.0%  51.0%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.0     50    20 |     -9.4    -13.6   4745  42.3%  57.7%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.0     50    25 |     -9.6    -14.7   3994  36.4%  63.6%    1/3    0/3   1.000 | 1/0 p=1.00
  0.25    1.0     50    30 |     -7.0    -11.6   3456  32.9%  67.1%    1/3    0/3   0.990 | 1/0 p=0.99
  0.25    1.0    100    15 |    -12.9    -16.9   6058  49.4%  50.6%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.0    100    20 |     -7.1    -11.5   4784  43.0%  57.0%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.0    100    25 |     -6.7    -11.1   4008  37.3%  62.7%    1/3    1/3   0.985 | 1/1 p=0.98
  0.25    1.0    100    30 |     -3.8     -8.7   3488  33.7%  66.3%    1/3    1/3   0.895 | 1/1 p=0.90
  0.25    1.5      0    15 |     -9.0    -13.6   5232  56.6%  43.4%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.5      0    20 |     -6.5    -11.7   4029  49.4%  50.6%    2/3    0/3   0.990 | 2/0 p=0.99
  0.25    1.5      0    25 |     -5.4    -10.1   3344  43.9%  56.1%    2/3    1/3   0.955 | 2/1 p=0.95
  0.25    1.5      0    30 |     -5.5    -10.3   2858  39.1%  60.9%    2/3    1/3   0.980 | 2/1 p=0.98
  0.25    1.5     50    15 |    -14.0    -18.0   5080  55.1%  44.9%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.5     50    20 |    -10.5    -15.3   3964  48.1%  51.9%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.5     50    25 |    -10.3    -15.1   3282  42.3%  57.7%    2/3    0/3   1.000 | 2/0 p=1.00
  0.25    1.5     50    30 |    -10.2    -14.9   2853  37.5%  62.5%    1/3    0/3   1.000 | 1/0 p=1.00
  0.25    1.5    100    15 |    -13.5    -17.4   5087  55.3%  44.7%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.5    100    20 |     -8.7    -12.9   3992  48.7%  51.3%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.5    100    25 |     -7.9    -13.0   3298  43.1%  56.9%    1/3    0/3   1.000 | 1/0 p=1.00
  0.25    1.5    100    30 |     -7.8    -13.0   2863  38.2%  61.8%    1/3    1/3   0.995 | 1/1 p=0.99
  0.35    0.5      0    15 |    -11.7    -15.6   6793  42.0%  58.0%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    0.5      0    20 |     -6.6    -10.7   5588  35.7%  64.3%    2/3    1/3   0.995 | 2/1 p=0.99
  0.35    0.5      0    25 |     -2.9     -7.7   4725  31.4%  68.6%    2/3    1/3   0.880 | 2/1 p=0.88
  0.35    0.5      0    30 |     -0.7     -5.3   4161  28.0%  72.0%    2/3    1/3   0.560 | 2/1 p=0.56
  0.35    0.5     50    15 |    -17.9    -21.7   6695  40.0%  60.0%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    0.5     50    20 |    -12.1    -16.4   5569  34.0%  66.0%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    0.5     50    25 |     -9.0    -13.2   4770  29.5%  70.5%    1/3    0/3   1.000 | 1/0 p=1.00
  0.35    0.5     50    30 |     -5.5     -9.7   4211  26.5%  73.5%    0/3    1/3   0.980 | 0/1 p=0.98
  0.35    0.5    100    15 |    -16.1    -19.7   6717  40.5%  59.5%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    0.5    100    20 |    -10.6    -14.5   5563  34.4%  65.6%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    0.5    100    25 |     -7.0    -11.0   4750  30.1%  69.9%    1/3    1/3   0.990 | 1/1 p=0.99
  0.35    0.5    100    30 |     -4.2     -8.7   4192  26.9%  73.1%    0/3    1/3   0.965 | 0/1 p=0.96
  0.35    1.0      0    15 |    -10.4    -14.8   5528  50.3%  49.7%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0      0    20 |     -6.7    -11.5   4458  43.3%  56.7%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0      0    25 |     -3.5     -8.0   3730  38.6%  61.4%    2/3    1/3   0.900 | 2/1 p=0.90
  0.35    1.0      0    30 |     -1.3     -5.5   3303  34.8%  65.2%    2/3    1/3   0.645 | 2/1 p=0.65
  0.35    1.0     50    15 |    -15.5    -19.7   5416  48.5%  51.5%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0     50    20 |    -12.3    -16.5   4410  41.5%  58.5%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0     50    25 |     -8.6    -12.6   3709  36.8%  63.2%    0/3    0/3   0.995 | 0/0 p=0.99
  0.35    1.0     50    30 |     -5.5    -10.1   3290  33.4%  66.6%    0/3    1/3   0.985 | 0/1 p=0.98
  0.35    1.0    100    15 |    -14.8    -18.5   5445  48.9%  51.1%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0    100    20 |    -11.3    -15.6   4423  41.8%  58.2%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0    100    25 |     -7.4    -12.0   3722  37.2%  62.8%    0/3    1/3   0.995 | 0/1 p=0.99
  0.35    1.0    100    30 |     -5.3     -9.8   3284  33.5%  66.5%    0/3    1/3   0.970 | 0/1 p=0.97
  0.35    1.5      0    15 |    -12.2    -16.8   4716  55.8%  44.2%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.5      0    20 |     -7.9    -12.2   3741  49.1%  50.9%    2/3    0/3   1.000 | 2/0 p=1.00
  0.35    1.5      0    25 |     -6.1    -10.8   3130  43.8%  56.2%    2/3    1/3   0.990 | 2/1 p=0.99
  0.35    1.5      0    30 |     -3.3     -7.8   2737  39.9%  60.1%    2/3    1/3   0.890 | 2/1 p=0.89
  0.35    1.5     50    15 |    -16.6    -20.6   4602  54.3%  45.7%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.5     50    20 |    -12.2    -16.9   3698  47.6%  52.4%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.5     50    25 |    -10.4    -15.3   3092  42.2%  57.8%    1/3    0/3   1.000 | 1/0 p=1.00
  0.35    1.5     50    30 |     -8.0    -12.4   2711  38.2%  61.8%    1/3    0/3   0.995 | 1/0 p=0.99
  0.35    1.5    100    15 |    -15.1    -19.5   4614  54.8%  45.2%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.5    100    20 |    -10.5    -14.8   3699  48.1%  51.9%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.5    100    25 |     -7.8    -12.1   3105  43.1%  56.9%    0/3    1/3   0.995 | 0/1 p=0.99
  0.35    1.5    100    30 |     -5.9    -10.9   2725  38.9%  61.1%    0/3    1/3   0.975 | 0/1 p=0.97
  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: GBP_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
------------------------------------------------------------------------
  0.00    0.5      0    15 |      2.0     -1.2   6943  34.6%  65.4%    3/3    2/3   0.145 | 3/2 p=0.14
  0.00    0.5      0    20 |      5.0      1.6   5352  29.4%  70.6%    3/3    3/3   0.005 | 🟢 PASS
  0.00    0.5      0    25 |      6.3      2.3   4376  25.4%  74.6%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5      0    30 |      9.3      6.0   3652  23.4%  76.6%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5     50    15 |     -1.0     -4.8   6949  33.5%  66.5%    3/3    1/3   0.650 | 3/1 p=0.65
  0.00    0.5     50    20 |      3.2     -0.5   5340  28.7%  71.3%    3/3    3/3   0.065 | 3/3 p=0.07
  0.00    0.5     50    25 |      5.2      2.1   4351  25.1%  74.9%    3/3    3/3   0.005 | 🟢 PASS
  0.00    0.5     50    30 |      8.5      4.9   3670  23.2%  76.8%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5    100    15 |     -0.3     -3.5   6951  33.7%  66.3%    3/3    1/3   0.545 | 3/1 p=0.55
  0.00    0.5    100    20 |      2.8     -0.6   5373  28.6%  71.4%    3/3    3/3   0.085 | 3/3 p=0.09
  0.00    0.5    100    25 |      5.2      1.9   4375  25.0%  75.0%    3/3    3/3   0.005 | 🟢 PASS
  0.00    0.5    100    30 |      8.2      4.5   3671  23.1%  76.9%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.0      0    15 |      2.2     -1.2   5406  42.5%  57.5%    3/3    1/3   0.115 | 3/1 p=0.12
  0.00    1.0      0    20 |      4.9      1.3   4078  36.9%  63.1%    3/3    3/3   0.015 | 🟢 PASS
  0.00    1.0      0    25 |      4.3      0.7   3359  31.7%  68.3%    3/3    2/3   0.030 | 3/2 p=0.03
  0.00    1.0      0    30 |      8.7      5.3   2805  29.8%  70.2%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.0     50    15 |      0.5     -2.8   5332  41.9%  58.1%    3/3    1/3   0.390 | 3/1 p=0.39
  0.00    1.0     50    20 |      3.9      0.1   4070  36.4%  63.6%    3/3    2/3   0.040 | 3/2 p=0.04
  0.00    1.0     50    25 |      4.3      0.7   3339  31.7%  68.3%    3/3    3/3   0.025 | 🟢 PASS
  0.00    1.0     50    30 |      8.6      5.0   2798  29.7%  70.3%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.0    100    15 |      0.7     -2.8   5363  41.9%  58.1%    3/3    1/3   0.355 | 3/1 p=0.35
  0.00    1.0    100    20 |      3.7      0.2   4062  36.4%  63.6%    3/3    2/3   0.060 | 3/2 p=0.06
  0.00    1.0    100    25 |      4.6      1.1   3343  31.8%  68.2%    3/3    3/3   0.030 | 🟢 PASS
  0.00    1.0    100    30 |      8.0      4.2   2804  29.6%  70.4%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.5      0    15 |      3.5     -0.2   4431  49.2%  50.8%    3/3    2/3   0.055 | 3/2 p=0.06
  0.00    1.5      0    20 |      4.4      0.6   3344  42.7%  57.3%    3/3    3/3   0.020 | 🟢 PASS
  0.00    1.5      0    25 |      6.2      2.5   2696  38.1%  61.9%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.5      0    30 |      6.8      3.2   2273  34.5%  65.5%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.5     50    15 |      2.5     -1.1   4447  48.7%  51.3%    3/3    2/3   0.095 | 3/2 p=0.10
  0.00    1.5     50    20 |      3.9      0.5   3322  42.4%  57.6%    3/3    2/3   0.030 | 3/2 p=0.03
  0.00    1.5     50    25 |      5.3      1.6   2687  37.8%  62.2%    3/3    3/3   0.005 | 🟢 PASS
  0.00    1.5     50    30 |      6.9      3.4   2273  34.4%  65.6%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.5    100    15 |      1.9     -1.6   4450  48.5%  51.5%    3/3    2/3   0.135 | 3/2 p=0.14
  0.00    1.5    100    20 |      4.0      0.9   3339  42.4%  57.6%    3/3    2/3   0.050 | 3/2 p=0.05
  0.00    1.5    100    25 |      4.7      1.1   2705  37.5%  62.5%    3/3    3/3   0.025 | 🟢 PASS
  0.00    1.5    100    30 |      6.1      2.0   2288  34.1%  65.9%    3/3    3/3   0.000 | 🟢 PASS
  0.15    0.5      0    15 |     -1.6     -4.8   6430  34.0%  66.0%    1/3    1/3   0.785 | 1/1 p=0.79
  0.15    0.5      0    20 |      1.4     -2.0   5075  28.4%  71.6%    3/3    2/3   0.255 | 3/2 p=0.26
  0.15    0.5      0    25 |      2.5     -1.0   4217  24.2%  75.8%    3/3    2/3   0.125 | 3/2 p=0.12
  0.15    0.5      0    30 |      4.0      0.7   3609  21.5%  78.5%    3/3    3/3   0.035 | 🟢 PASS
  0.15    0.5     50    15 |     -5.2     -8.5   6436  32.7%  67.3%    1/3    0/3   1.000 | 1/0 p=1.00
  0.15    0.5     50    20 |     -0.7     -4.0   5061  27.7%  72.3%    1/3    1/3   0.650 | 1/1 p=0.65
  0.15    0.5     50    25 |      0.4     -3.0   4241  23.5%  76.5%    3/3    1/3   0.455 | 3/1 p=0.46
  0.15    0.5     50    30 |      2.6     -0.9   3671  21.0%  79.0%    3/3    1/3   0.120 | 3/1 p=0.12
  0.15    0.5    100    15 |     -4.9     -8.0   6429  32.9%  67.1%    1/3    0/3   1.000 | 1/0 p=1.00
  0.15    0.5    100    20 |     -1.1     -4.2   5094  27.6%  72.4%    1/3    1/3   0.710 | 1/1 p=0.71
  0.15    0.5    100    25 |     -0.4     -3.5   4269  23.3%  76.7%    3/3    1/3   0.630 | 3/1 p=0.63
  0.15    0.5    100    30 |      2.6     -0.7   3667  21.0%  79.0%    3/3    2/3   0.135 | 3/2 p=0.14
  0.15    1.0      0    15 |     -1.7     -5.2   5042  41.6%  58.4%    2/3    1/3   0.795 | 2/1 p=0.80
  0.15    1.0      0    20 |      0.4     -2.8   3900  35.6%  64.4%    2/3    1/3   0.470 | 2/1 p=0.47
  0.15    1.0      0    25 |      1.1     -2.2   3202  30.6%  69.4%    3/3    1/3   0.290 | 3/1 p=0.29
  0.15    1.0      0    30 |      4.2      0.6   2729  28.0%  72.0%    3/3    2/3   0.040 | 3/2 p=0.04
  0.15    1.0     50    15 |     -4.5     -8.0   5019  40.4%  59.6%    0/3    0/3   0.990 | 0/0 p=0.99
  0.15    1.0     50    20 |     -0.2     -3.7   3868  35.3%  64.7%    1/3    2/3   0.520 | 1/2 p=0.52
  0.15    1.0     50    25 |     -0.8     -3.9   3189  29.8%  70.2%    1/3    1/3   0.590 | 1/1 p=0.59
  0.15    1.0     50    30 |      3.0     -0.6   2739  27.4%  72.6%    3/3    2/3   0.055 | 3/2 p=0.06
  0.15    1.0    100    15 |     -3.7     -6.7   5012  40.7%  59.3%    1/3    0/3   0.975 | 1/0 p=0.97
  0.15    1.0    100    20 |     -0.8     -4.2   3890  35.1%  64.9%    2/3    2/3   0.600 | 2/2 p=0.60
  0.15    1.0    100    25 |     -1.1     -4.5   3200  29.7%  70.3%    2/3    2/3   0.700 | 2/2 p=0.70
  0.15    1.0    100    30 |      2.8     -0.8   2737  27.4%  72.6%    3/3    2/3   0.130 | 3/2 p=0.13
  0.15    1.5      0    15 |      0.0     -3.3   4140  48.2%  51.8%    2/3    1/3   0.510 | 2/1 p=0.51
  0.15    1.5      0    20 |      0.6     -3.0   3226  41.3%  58.7%    2/3    1/3   0.395 | 2/1 p=0.40
  0.15    1.5      0    25 |      2.8     -1.0   2572  36.9%  63.1%    3/3    2/3   0.085 | 3/2 p=0.09
  0.15    1.5      0    30 |      4.5      0.4   2214  33.3%  66.7%    3/3    2/3   0.030 | 3/2 p=0.03
  0.15    1.5     50    15 |     -2.5     -5.7   4124  46.9%  53.1%    1/3    1/3   0.865 | 1/1 p=0.86
  0.15    1.5     50    20 |      0.6     -2.7   3210  41.2%  58.8%    1/3    1/3   0.410 | 1/1 p=0.41
  0.15    1.5     50    25 |      0.9     -2.7   2568  35.9%  64.1%    2/3    2/3   0.360 | 2/2 p=0.36
  0.15    1.5     50    30 |      2.8     -1.1   2214  32.5%  67.5%    2/3    2/3   0.130 | 2/2 p=0.13
  0.15    1.5    100    15 |     -2.5     -5.7   4119  47.0%  53.0%    1/3    1/3   0.860 | 1/1 p=0.86
  0.15    1.5    100    20 |      0.1     -3.5   3219  41.0%  59.0%    2/3    2/3   0.485 | 2/2 p=0.48
  0.15    1.5    100    25 |      0.3     -3.3   2574  35.7%  64.3%    2/3    1/3   0.475 | 2/1 p=0.47
  0.15    1.5    100    30 |      2.5     -0.7   2218  32.4%  67.6%    3/3    2/3   0.140 | 3/2 p=0.14
  0.25    0.5      0    15 |     -4.4     -7.4   5946  33.5%  66.5%    1/3    1/3   0.995 | 1/1 p=0.99
  0.25    0.5      0    20 |     -1.1     -4.4   4729  28.0%  72.0%    3/3    1/3   0.765 | 3/1 p=0.77
  0.25    0.5      0    25 |     -0.3     -3.5   3948  23.8%  76.2%    3/3    2/3   0.515 | 3/2 p=0.52
  0.25    0.5      0    30 |      1.1     -2.7   3372  21.1%  78.9%    3/3    2/3   0.320 | 3/2 p=0.32
  0.25    0.5     50    15 |     -8.3    -11.1   5925  32.0%  68.0%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    0.5     50    20 |     -3.7     -7.1   4725  27.0%  73.0%    1/3    0/3   0.975 | 1/0 p=0.97
  0.25    0.5     50    25 |     -2.1     -5.4   3960  23.1%  76.9%    2/3    1/3   0.885 | 2/1 p=0.89
  0.25    0.5     50    30 |     -1.2     -4.8   3422  20.2%  79.8%    3/3    1/3   0.710 | 3/1 p=0.71
  0.25    0.5    100    15 |     -7.8    -10.7   5947  32.2%  67.8%    1/3    0/3   1.000 | 1/0 p=1.00
  0.25    0.5    100    20 |     -3.4     -6.2   4744  27.2%  72.8%    1/3    0/3   0.970 | 1/0 p=0.97
  0.25    0.5    100    25 |     -2.8     -6.0   4006  22.9%  77.1%    2/3    1/3   0.910 | 2/1 p=0.91
  0.25    0.5    100    30 |     -0.8     -4.0   3444  20.4%  79.6%    3/3    2/3   0.650 | 3/2 p=0.65
  0.25    1.0      0    15 |     -2.5     -5.4   4716  41.6%  58.4%    1/3    1/3   0.915 | 1/1 p=0.92
  0.25    1.0      0    20 |     -0.8     -4.1   3669  35.4%  64.6%    2/3    1/3   0.725 | 2/1 p=0.72
  0.25    1.0      0    25 |      0.8     -2.8   3012  30.8%  69.2%    3/3    1/3   0.315 | 3/1 p=0.32
  0.25    1.0      0    30 |      0.7     -2.4   2605  26.9%  73.1%    3/3    1/3   0.350 | 3/1 p=0.35
  0.25    1.0     50    15 |     -5.8     -8.9   4668  40.3%  59.7%    0/3    0/3   1.000 | 0/0 p=1.00
  0.25    1.0     50    20 |     -3.3     -6.6   3669  34.3%  65.7%    1/3    1/3   0.955 | 1/1 p=0.95
  0.25    1.0     50    25 |     -1.8     -5.4   3023  29.6%  70.4%    1/3    1/3   0.810 | 1/1 p=0.81
  0.25    1.0     50    30 |     -2.3     -5.9   2617  25.6%  74.4%    3/3    1/3   0.900 | 3/1 p=0.90
  0.25    1.0    100    15 |     -5.0     -7.9   4684  40.6%  59.4%    0/3    1/3   0.995 | 0/1 p=0.99
  0.25    1.0    100    20 |     -2.8     -6.2   3680  34.5%  65.5%    1/3    1/3   0.930 | 1/1 p=0.93
  0.25    1.0    100    25 |     -1.9     -5.4   3044  29.6%  70.4%    1/3    1/3   0.810 | 1/1 p=0.81
  0.25    1.0    100    30 |     -2.4     -6.1   2626  25.6%  74.4%    3/3    1/3   0.870 | 3/1 p=0.87
  0.25    1.5      0    15 |     -1.2     -4.5   3884  48.1%  51.9%    2/3    1/3   0.725 | 2/1 p=0.72
  0.25    1.5      0    20 |     -1.2     -4.7   3077  40.7%  59.3%    2/3    1/3   0.745 | 2/1 p=0.74
  0.25    1.5      0    25 |      0.8     -2.2   2463  36.2%  63.8%    3/3    1/3   0.295 | 3/1 p=0.29
  0.25    1.5      0    30 |      0.0     -3.6   2118  31.7%  68.3%    3/3    1/3   0.490 | 3/1 p=0.49
  0.25    1.5     50    15 |     -4.1     -7.5   3870  46.8%  53.2%    0/3    1/3   0.985 | 0/1 p=0.98
  0.25    1.5     50    20 |     -3.2     -6.2   3074  39.7%  60.3%    2/3    1/3   0.915 | 2/1 p=0.92
  0.25    1.5     50    25 |     -1.6     -5.4   2489  34.9%  65.1%    1/3    1/3   0.770 | 1/1 p=0.77
  0.25    1.5     50    30 |     -2.0     -5.6   2127  30.6%  69.4%    3/3    1/3   0.815 | 3/1 p=0.81
  0.25    1.5    100    15 |     -4.1     -7.3   3854  46.9%  53.1%    0/3    1/3   0.990 | 0/1 p=0.99
  0.25    1.5    100    20 |     -3.2     -6.5   3080  39.7%  60.3%    2/3    1/3   0.935 | 2/1 p=0.94
  0.25    1.5    100    25 |     -1.4     -5.2   2495  35.0%  65.0%    2/3    1/3   0.755 | 2/1 p=0.76
  0.25    1.5    100    30 |     -2.3     -5.9   2126  30.4%  69.6%    3/3    1/3   0.875 | 3/1 p=0.88
  0.35    0.5      0    15 |     -4.0     -7.0   5422  34.0%  66.0%    1/3    1/3   0.975 | 1/1 p=0.97
  0.35    0.5      0    20 |     -0.6     -3.6   4403  28.5%  71.5%    2/3    1/3   0.595 | 2/1 p=0.59
  0.35    0.5      0    25 |     -0.2     -3.6   3729  24.0%  76.0%    2/3    1/3   0.595 | 2/1 p=0.59
  0.35    0.5      0    30 |      0.8     -2.4   3210  21.2%  78.8%    3/3    2/3   0.375 | 3/2 p=0.38
  0.35    0.5     50    15 |     -7.7    -10.4   5387  32.4%  67.6%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    0.5     50    20 |     -3.8     -6.8   4397  27.3%  72.7%    1/3    1/3   0.975 | 1/1 p=0.97
  0.35    0.5     50    25 |     -3.6     -6.8   3749  22.8%  77.2%    1/3    1/3   0.955 | 1/1 p=0.95
  0.35    0.5     50    30 |     -2.5     -5.7   3272  19.9%  80.1%    2/3    1/3   0.895 | 2/1 p=0.90
  0.35    0.5    100    15 |     -7.6    -10.6   5375  32.5%  67.5%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    0.5    100    20 |     -3.8     -6.7   4406  27.3%  72.7%    1/3    1/3   0.990 | 1/1 p=0.99
  0.35    0.5    100    25 |     -3.0     -6.1   3747  23.0%  77.0%    2/3    1/3   0.895 | 2/1 p=0.90
  0.35    0.5    100    30 |     -1.5     -4.9   3270  20.3%  79.7%    2/3    1/3   0.820 | 2/1 p=0.82
  0.35    1.0      0    15 |     -3.0     -6.4   4318  41.8%  58.2%    1/3    1/3   0.950 | 1/1 p=0.95
  0.35    1.0      0    20 |     -1.0     -4.3   3455  35.3%  64.7%    1/3    1/3   0.655 | 1/1 p=0.66
  0.35    1.0      0    25 |      0.7     -2.5   2881  30.8%  69.2%    2/3    1/3   0.410 | 2/1 p=0.41
  0.35    1.0      0    30 |      1.3     -1.9   2473  27.3%  72.7%    3/3    2/3   0.295 | 3/2 p=0.29
  0.35    1.0     50    15 |     -6.3     -9.2   4278  40.2%  59.8%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0     50    20 |     -3.8     -6.9   3444  34.1%  65.9%    1/3    1/3   0.950 | 1/1 p=0.95
  0.35    1.0     50    25 |     -2.1     -5.8   2870  29.6%  70.4%    1/3    1/3   0.840 | 1/1 p=0.84
  0.35    1.0     50    30 |     -1.1     -4.4   2473  26.2%  73.8%    3/3    1/3   0.700 | 3/1 p=0.70
  0.35    1.0    100    15 |     -6.2     -9.2   4278  40.4%  59.6%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.0    100    20 |     -3.9     -7.1   3466  34.1%  65.9%    1/3    1/3   0.975 | 1/1 p=0.97
  0.35    1.0    100    25 |     -1.5     -4.4   2883  29.9%  70.1%    2/3    1/3   0.750 | 2/1 p=0.75
  0.35    1.0    100    30 |     -0.2     -3.4   2482  26.6%  73.4%    3/3    1/3   0.530 | 3/1 p=0.53
  0.35    1.5      0    15 |     -2.3     -5.7   3648  47.8%  52.2%    1/3    1/3   0.850 | 1/1 p=0.85
  0.35    1.5      0    20 |     -3.0     -6.1   2904  39.9%  60.1%    2/3    1/3   0.905 | 2/1 p=0.91
  0.35    1.5      0    25 |     -1.5     -4.8   2396  35.0%  65.0%    2/3    1/3   0.745 | 2/1 p=0.74
  0.35    1.5      0    30 |      0.8     -2.6   2026  32.2%  67.8%    3/3    1/3   0.350 | 3/1 p=0.35
  0.35    1.5     50    15 |     -4.9     -8.0   3619  46.4%  53.6%    0/3    0/3   1.000 | 0/0 p=1.00
  0.35    1.5     50    20 |     -4.2     -7.3   2901  39.3%  60.7%    2/3    1/3   0.975 | 2/1 p=0.97
  0.35    1.5     50    25 |     -3.2     -6.4   2394  34.1%  65.9%    2/3    1/3   0.955 | 2/1 p=0.95
  0.35    1.5     50    30 |     -0.6     -4.0   2034  31.4%  68.6%    3/3    1/3   0.615 | 3/1 p=0.61
  0.35    1.5    100    15 |     -4.8     -8.0   3609  46.6%  53.4%    0/3    1/3   0.995 | 0/1 p=0.99
  0.35    1.5    100    20 |     -5.0     -8.2   2912  38.9%  61.1%    2/3    1/3   0.985 | 2/1 p=0.98
  0.35    1.5    100    25 |     -2.6     -5.9   2408  34.4%  65.6%    2/3    1/3   0.905 | 2/1 p=0.91
  0.35    1.5    100    30 |     -0.3     -3.9   2042  31.5%  68.5%    2/3    1/3   0.550 | 2/1 p=0.55


Results saved → /path/to/projects/fx-core/research/experiments/zone_recovery/results/range_swing_results.csv

=== PASSING CONFIGS (all gates) ===
   pair  wick_thresh  stop_atr_frac  range_bars  tgt_pips  ppd  p5   nc  hit_pct  stop_pct  perm_p
EUR_USD         0.00            0.5           0        25  9.8 6.8 3745     24.5      75.5   0.000
EUR_USD         0.00            0.5           0        30  9.4 6.2 3156     21.7      78.3   0.000
GBP_USD         0.00            0.5           0        30  9.3 6.0 3652     23.4      76.6   0.000
EUR_USD         0.00            0.5         100        30  9.0 5.7 3170     21.4      78.6   0.000
GBP_USD         0.00            1.0           0        30  8.7 5.3 2805     29.8      70.2   0.000
GBP_USD         0.00            1.0          50        30  8.6 5.0 2798     29.7      70.3   0.000
EUR_USD         0.00            1.5           0        25  8.5 5.0 2355     36.9      63.1   0.000
GBP_USD         0.00            0.5          50        30  8.5 4.9 3670     23.2      76.8   0.000
EUR_USD         0.00            0.5         100        25  8.4 5.0 3787     23.7      76.3   0.000
EUR_USD         0.00            1.0           0        25  8.4 5.0 2880     30.8      69.2   0.000
