  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
  0.15    1.0      0    30 |      6.4      2.9   2388  26.4%  73.6%    3/3    2/3   0.000 | 3/2 p=0.00
  0.15    1.0     50    15 |      0.9     -2.0   4372  38.0%  62.0%    1/3    2/3   0.300 | 1/2 p=0.30
  0.15    1.0     50    20 |      1.2     -1.8   3388  32.0%  68.0%    3/3    2/3   0.265 | 3/2 p=0.27
  0.15    1.0     50    25 |      2.2     -0.6   2843  27.8%  72.2%    2/3    2/3   0.150 | 2/2 p=0.15
  0.15    1.0     50    30 |      2.9     -0.3   2432  24.7%  75.3%    3/3    2/3   0.050 | 3/2 p=0.05
  0.15    1.0    100    15 |      1.6     -1.3   4405  38.2%  61.8%    1/3    2/3   0.225 | 1/2 p=0.23
  0.15    1.0    100    20 |      2.9     -0.3   3388  32.6%  67.4%    3/3    2/3   0.050 | 3/2 p=0.05
  0.15    1.0    100    25 |      4.2      1.2   2849  28.5%  71.5%    3/3    2/3   0.010 | 3/2 p=0.01
  0.15    1.0    100    30 |      4.2      1.2   2435  25.2%  74.8%    3/3    2/3   0.005 | 3/2 p=0.01
  0.15    1.5      0    15 |      2.3     -0.6   3679  45.0%  55.0%    3/3    2/3   0.100 | 3/2 p=0.10
  0.15    1.5      0    20 |      5.5      2.2   2756  40.1%  59.9%    3/3    3/3   0.000 | 🟢 PASS
  0.15    1.5      0    25 |      7.3      4.2   2246  36.2%  63.8%    3/3    2/3   0.000 | 3/2 p=0.00
  0.15    1.5      0    30 |      8.2      5.2   1873  33.3%  66.7%    3/3    3/3   0.000 | 🟢 PASS
  0.15    1.5     50    15 |      0.9     -2.1   3615  44.2%  55.8%    1/3    2/3   0.335 | 1/2 p=0.34
  0.15    1.5     50    20 |      3.4      0.2   2759  38.9%  61.1%    3/3    2/3   0.045 | 3/2 p=0.04
  0.15    1.5     50    25 |      5.5      2.5   2260  35.0%  65.0%    3/3    2/3   0.005 | 3/2 p=0.01
  0.15    1.5     50    30 |      5.4      2.2   1910  31.4%  68.6%    2/3    2/3   0.000 | 2/2 p=0.00
  0.15    1.5    100    15 |      1.9     -1.1   3644  44.7%  55.3%    2/3    2/3   0.105 | 2/2 p=0.10
  0.15    1.5    100    20 |      4.4      1.1   2745  39.5%  60.5%    3/3    2/3   0.005 | 3/2 p=0.01
  0.15    1.5    100    25 |      6.2      3.1   2264  35.4%  64.6%    3/3    2/3   0.000 | 3/2 p=0.00
  0.15    1.5    100    30 |      5.8      2.7   1903  31.8%  68.2%    2/3    2/3   0.000 | 2/2 p=0.00
  0.25    0.5      0    15 |      4.2      1.7   5236  32.4%  67.6%    2/3    2/3   0.000 | 2/2 p=0.00
  0.25    0.5      0    20 |      5.2      2.6   4087  27.1%  72.9%    3/3    3/3   0.000 | 🟢 PASS
  0.25    0.5      0    25 |      5.8      2.9   3510  23.2%  76.8%    3/3    2/3   0.000 | 3/2 p=0.00
  0.25    0.5      0    30 |      5.9      2.9   3007  20.5%  79.5%    3/3    2/3   0.000 | 3/2 p=0.00
  0.25    0.5     50    15 |     -0.2     -3.0   5234  30.4%  69.6%    1/3    2/3   0.570 | 1/2 p=0.57
  0.25    0.5     50    20 |      2.0     -1.2   4168  25.5%  74.5%    1/3    2/3   0.145 | 1/2 p=0.14
  0.25    0.5     50    25 |      3.5      0.7   3618  22.0%  78.0%    2/3    2/3   0.020 | 2/2 p=0.02
  0.25    0.5     50    30 |      3.5      0.7   3123  19.2%  80.8%    2/3    2/3   0.020 | 2/2 p=0.02
  0.25    0.5    100    15 |      1.3     -1.1   5228  30.9%  69.1%    1/3    2/3   0.195 | 1/2 p=0.20
  0.25    0.5    100    20 |      3.4      0.6   4116  26.1%  73.9%    1/3    2/3   0.050 | 1/2 p=0.05
