strategy,pair,mode,n,ppd,wr,tp_pct,alt_pct,avg_alt,mdd,calmar,mean_hold,days
012 sma16_h1m30,AUD_USD,TIME_288b,507,-2.93,58.8,51.7,48.3,-27.1,1294.5,-0.0,194.3,428.6
012 sma16_h1m30,AUD_USD,SIG_FLIP,4499,-27.4,26.5,3.8,96.2,-3.6,11785.5,-0.0,12.3,428.6
012 sma16_h1m30,NZD_JPY,TP_ONLY,46,1.84,100.0,100.0,0.0,0.0,0.0,0.0,2522.1,429.0
012 sma16_h1m30,NZD_JPY,TIME_6b,3698,-46.1,18.5,1.0,99.0,-5.6,19776.3,-0.0,6.0,429.0
012 sma16_h1m30,NZD_JPY,TIME_12b,2413,-33.99,27.1,4.2,95.8,-7.1,14575.9,-0.0,11.9,429.0
012 sma16_h1m30,NZD_JPY,TIME_24b,1857,-27.06,32.2,11.8,88.2,-9.5,11636.3,-0.0,22.9,429.0
012 sma16_h1m30,NZD_JPY,TIME_48b,1362,-17.92,41.4,24.3,75.7,-13.3,7713.6,-0.0,42.3,429.0
012 sma16_h1m30,NZD_JPY,TIME_144b,793,-8.26,56.1,50.7,49.3,-27.9,3684.4,-0.0,100.8,429.0
012 sma16_h1m30,NZD_JPY,TIME_288b,584,-7.71,64.2,62.5,37.5,-45.3,3487.4,-0.0,161.8,429.0
012 sma16_h1m30,NZD_JPY,SIG_FLIP,3802,-47.4,22.0,5.1,94.9,-6.6,20333.3,-0.0,11.0,429.0
012 sma16_h1m30,CHF_JPY,TP_ONLY,104,4.15,99.0,100.0,0.0,0.0,24.9,0.17,864.2,427.8
012 sma16_h1m30,CHF_JPY,TIME_6b,1490,-23.11,26.6,5.6,94.4,-8.2,9879.8,-0.0,5.9,427.8
012 sma16_h1m30,CHF_JPY,TIME_12b,1072,-19.73,33.7,14.3,85.7,-12.3,8429.1,-0.0,11.4,427.8
012 sma16_h1m30,CHF_JPY,TIME_24b,907,-15.79,39.6,27.7,72.3,-17.4,6774.3,-0.0,20.9,427.8
012 sma16_h1m30,CHF_JPY,TIME_48b,737,-11.16,50.9,44.4,55.6,-26.2,4891.7,-0.0,36.4,427.8
012 sma16_h1m30,CHF_JPY,TIME_144b,556,-4.08,69.4,68.2,31.8,-49.8,1968.9,-0.0,74.3,427.8
012 sma16_h1m30,CHF_JPY,TIME_288b,473,-7.1,76.7,77.0,23.0,-89.9,3271.3,-0.0,112.8,427.8
012 sma16_h1m30,CHF_JPY,SIG_FLIP,1523,-23.33,29.4,11.2,88.8,-9.8,9979.8,-0.0,9.6,427.8
012 sma16_h1m30,NZD_USD,TP_ONLY,5,0.21,100.0,100.0,0.0,0.0,0.0,0.0,260.0,428.5
012 sma16_h1m30,NZD_USD,TIME_6b,4232,-30.15,21.6,0.2,99.8,-3.1,12929.9,-0.0,6.0,428.5
012 sma16_h1m30,NZD_USD,TIME_12b,2677,-21.8,27.6,1.1,98.9,-3.8,9371.2,-0.0,12.0,428.5
012 sma16_h1m30,NZD_USD,TIME_24b,2014,-16.02,32.7,4.4,95.6,-4.5,6907.1,-0.0,23.6,428.5
012 sma16_h1m30,NZD_USD,TIME_48b,1403,-9.73,39.8,11.5,88.5,-5.9,4248.9,-0.0,45.6,428.5
012 sma16_h1m30,NZD_USD,TIME_144b,733,-5.76,46.9,33.8,66.2,-15.1,2556.0,-0.0,118.9,428.5
012 sma16_h1m30,NZD_USD,TIME_288b,476,-5.25,55.0,46.2,53.8,-25.4,2325.0,-0.0,205.6,428.5
012 sma16_h1m30,NZD_USD,SIG_FLIP,4345,-28.8,23.5,3.4,96.6,-3.7,12350.8,-0.0,13.0,428.5
012 sma16_h1m30,CAD_JPY,TP_ONLY,44,2.02,100.0,100.0,0.0,0.0,0.0,0.0,2718.3,429.2
012 sma16_h1m30,CAD_JPY,TIME_6b,3588,-37.44,23.2,1.6,98.4,-4.9,16063.0,-0.0,6.0,429.2
012 sma16_h1m30,CAD_JPY,TIME_12b,2320,-28.17,31.1,5.9,94.1,-6.8,12055.7,-0.0,11.8,429.2
012 sma16_h1m30,CAD_JPY,TIME_24b,1806,-23.38,36.2,13.7,86.3,-9.6,10031.6,-0.0,22.6,429.2
012 sma16_h1m30,CAD_JPY,TIME_48b,1324,-16.5,42.1,27.0,73.0,-14.6,7068.7,-0.0,41.4,429.2
012 sma16_h1m30,CAD_JPY,TIME_144b,814,-7.18,59.2,54.2,45.8,-31.3,3116.1,-0.0,93.2,429.2
012 sma16_h1m30,CAD_JPY,TIME_288b,600,-5.77,69.0,66.5,33.5,-51.0,2675.2,-0.0,151.0,429.2
012 sma16_h1m30,CAD_JPY,SIG_FLIP,3682,-38.74,26.0,5.3,94.7,-5.9,16606.0,-0.0,10.2,429.2
