sma_n,lags,tp,ppd,tpd,avg_p,n_is3,n_pos
55,"(3, 15, 20)",20,25.7,1.275,20.16,9,12
55,"(3, 15, 20)",40,28.86,0.718,40.19,8,12
55,"(5, 8, 10)",20,22.54,1.121,20.1,9,12
55,"(5, 8, 10)",40,27.75,0.697,39.81,8,12
55,"(5, 8, 15)",20,26.96,1.371,19.67,9,12
55,"(5, 8, 15)",40,31.95,0.819,39.03,8,12
55,"(5, 8, 20)",20,25.55,1.29,19.82,9,12
55,"(5, 8, 20)",40,31.91,0.819,38.99,8,12
55,"(5, 10, 15)",20,26.96,1.371,19.67,9,12
55,"(5, 10, 15)",40,31.95,0.819,39.03,8,12
55,"(5, 10, 20)",20,25.55,1.29,19.82,9,12
55,"(5, 10, 20)",40,31.91,0.819,38.99,8,12
55,"(5, 15, 20)",20,25.55,1.29,19.82,9,12
55,"(5, 15, 20)",40,31.91,0.819,38.99,8,12
55,"(8, 10, 15)",20,27.15,1.381,19.66,9,12
55,"(8, 10, 15)",40,31.29,0.8,39.12,8,12
55,"(8, 10, 20)",20,25.52,1.29,19.79,9,12
55,"(8, 10, 20)",40,31.35,0.802,39.08,8,12
55,"(8, 15, 20)",20,25.52,1.29,19.79,9,12
55,"(8, 15, 20)",40,31.35,0.802,39.08,8,12
55,"(10, 15, 20)",20,27.4,1.423,19.26,9,12
55,"(10, 15, 20)",40,31.88,0.812,39.28,8,12
