tfs,lags,tp,ppd,tpd,n_is3,mean_h,p50_h,p90_h,short_hold,beats_baseline
H1+M30,"(1, 5, 10)",10,16.02,1.429,11,59.4,2.2,86.9,False,False
H1+M30,"(1, 5, 10)",15,17.9,1.117,11,84.3,4.1,108.9,False,False
H1+M30,"(1, 5, 10)",20,17.95,0.86,9,96.3,6.8,155.1,False,False
H1+M30,"(1, 5, 10)",30,17.92,0.574,7,167.3,15.2,314.4,False,False
H1+M30,"(1, 5, 15)",5,13.55,2.399,12,35.0,0.8,31.5,False,False
H1+M30,"(1, 5, 15)",10,16.5,1.485,11,57.1,2.4,83.1,False,False
H1+M30,"(1, 5, 15)",15,18.39,1.124,11,83.8,4.5,108.1,False,False
H1+M30,"(1, 5, 15)",20,18.12,0.87,9,96.7,7.4,141.6,False,False
H1+M30,"(1, 5, 15)",30,16.95,0.546,7,175.8,17.1,363.9,False,False
H1+M30,"(1, 5, 20)",5,14.0,2.406,12,34.9,0.8,31.9,False,False
H1+M30,"(1, 5, 20)",10,16.89,1.497,12,56.6,2.2,72.2,False,False
H1+M30,"(1, 5, 20)",15,15.84,0.977,11,101.3,4.1,128.7,False,False
H1+M30,"(1, 5, 20)",20,16.83,0.788,10,97.2,5.3,145.6,False,False
H1+M30,"(1, 5, 20)",30,17.3,0.55,8,153.6,13.8,263.3,False,False
H1+M30,"(1, 8, 10)",5,13.23,2.238,11,35.3,0.8,36.2,False,False
H1+M30,"(1, 8, 10)",10,16.23,1.45,11,58.6,1.9,83.8,False,False
H1+M30,"(1, 8, 10)",15,17.94,1.121,11,84.0,4.1,108.4,False,False
H1+M30,"(1, 8, 10)",20,17.78,0.849,9,97.6,7.2,163.9,False,False
H1+M30,"(1, 8, 10)",30,17.26,0.557,7,172.2,16.1,348.5,False,False
H1+M30,"(1, 8, 15)",5,13.92,2.427,12,35.7,0.8,34.4,False,False
H1+M30,"(1, 8, 15)",10,17.07,1.516,11,55.9,2.3,72.5,False,False
H1+M30,"(1, 8, 15)",15,16.9,1.047,11,94.5,4.2,105.7,False,False
H1+M30,"(1, 8, 15)",20,18.25,0.87,9,94.8,8.1,138.3,False,False
H1+M30,"(1, 8, 15)",30,15.47,0.504,7,177.3,13.8,424.1,False,False
H1+M30,"(1, 8, 20)",5,14.62,2.579,12,32.5,0.8,30.9,False,False
H1+M30,"(1, 8, 20)",10,18.18,1.63,12,52.5,2.2,62.0,False,False
H1+M30,"(1, 8, 20)",15,18.08,1.135,11,87.1,3.5,94.8,False,False
H1+M30,"(1, 8, 20)",20,16.57,0.793,10,101.1,5.2,120.3,False,False
H1+M30,"(1, 8, 20)",30,15.81,0.522,8,189.5,17.1,332.0,False,False
H1+M30,"(1, 10, 15)",5,13.57,2.367,12,35.6,0.8,31.7,False,False
H1+M30,"(1, 10, 15)",10,16.46,1.478,11,57.4,2.4,74.9,False,False
H1+M30,"(1, 10, 15)",15,18.19,1.124,11,83.8,4.2,108.1,False,False
H1+M30,"(1, 10, 15)",20,17.74,0.844,9,97.8,8.2,152.3,False,False
H1+M30,"(1, 10, 15)",30,16.87,0.546,7,172.7,16.1,325.6,False,False
H1+M30,"(1, 10, 20)",5,14.39,2.525,12,33.3,0.8,29.5,False,False
H1+M30,"(1, 10, 20)",10,16.71,1.52,12,56.3,2.4,72.4,False,False
H1+M30,"(1, 10, 20)",15,16.95,1.061,11,93.3,3.8,109.3,False,False
H1+M30,"(1, 10, 20)",20,17.33,0.821,10,93.4,5.3,119.9,False,False
H1+M30,"(1, 10, 20)",30,16.27,0.527,8,173.3,14.2,325.1,False,False
H1+M30,"(1, 15, 20)",5,13.69,2.397,12,36.2,0.8,33.5,False,False
H1+M30,"(1, 15, 20)",10,16.39,1.455,12,58.3,2.3,72.4,False,False
H1+M30,"(1, 15, 20)",15,16.06,0.991,11,99.8,3.8,121.1,False,False
H1+M30,"(1, 15, 20)",20,16.76,0.786,10,97.5,5.3,146.8,False,False
H1+M30,"(1, 15, 20)",30,14.7,0.478,8,186.9,12.9,511.3,False,False
H1+M30,"(2, 3, 5)",5,11.65,1.963,12,46.1,0.8,39.2,False,False
H1+M30,"(2, 3, 5)",10,16.7,1.462,11,54.9,2.2,86.2,False,False
H1+M30,"(2, 3, 5)",15,17.72,1.089,10,74.0,5.2,130.9,False,False
H1+M30,"(2, 3, 5)",20,18.02,0.853,8,91.2,8.4,171.5,False,False
H1+M30,"(2, 3, 5)",30,16.95,0.541,7,134.4,15.8,341.6,False,False
H1+M30,"(2, 3, 8)",5,11.61,2.007,11,46.6,0.8,34.4,False,False
H1+M30,"(2, 3, 8)",10,17.07,1.541,11,61.0,2.5,81.3,False,False
H1+M30,"(2, 3, 8)",15,17.1,1.061,11,98.3,4.4,111.1,False,False
H1+M30,"(2, 3, 8)",20,18.9,0.907,9,106.4,5.9,120.3,False,False
H1+M30,"(2, 3, 8)",30,16.68,0.543,7,194.6,15.2,494.9,False,False
H1+M30,"(2, 3, 10)",5,13.34,2.264,11,35.0,0.8,39.2,False,False
H1+M30,"(2, 3, 10)",10,16.61,1.499,11,62.7,2.4,85.4,False,False
H1+M30,"(2, 3, 10)",15,16.7,1.04,11,100.3,4.3,113.6,False,False
H1+M30,"(2, 3, 10)",20,16.34,0.781,9,114.9,5.5,116.9,False,False
H1+M30,"(2, 3, 10)",30,16.85,0.55,7,217.0,17.7,544.3,False,False
H1+M30,"(2, 3, 15)",5,12.17,2.096,12,39.8,0.8,23.2,False,False
H1+M30,"(2, 3, 15)",10,16.73,1.518,11,55.9,2.4,82.6,False,False
H1+M30,"(2, 3, 15)",15,17.56,1.077,11,96.7,4.8,111.0,False,False
H1+M30,"(2, 3, 15)",20,16.4,0.797,9,113.7,5.2,108.8,False,False
H1+M30,"(2, 3, 15)",30,17.63,0.578,7,191.1,16.1,508.5,False,False
H1+M30,"(2, 3, 20)",5,14.11,2.483,12,33.9,0.8,31.1,False,False
H1+M30,"(2, 3, 20)",10,13.67,1.219,12,74.9,1.5,47.3,False,False
H1+M30,"(2, 3, 20)",15,16.48,1.014,11,97.6,4.1,109.5,False,False
H1+M30,"(2, 3, 20)",20,15.75,0.741,10,122.3,5.2,124.6,False,False
H1+M30,"(2, 3, 20)",30,16.56,0.529,8,203.8,11.3,590.0,False,False
