pair,ta,td,zw,tgt,sp_med,gate,skip_pct,ppd,cday,ppc,trail_pct,wf,boot_p5,prob_pos
NZD_USD,10,3,25.0,12.5,1.5,1.7,39.1,-67.1,2.3,-28.64,61.0,3,-365.8,0.38
NZD_USD,10,5,25.0,12.5,1.5,1.7,29.4,72.0,2.5,28.47,50.4,2,,
NZD_USD,10,7,25.0,12.5,1.5,1.7,32.6,124.2,2.7,46.65,36.8,2,,
NZD_USD,14,1,25.0,12.5,1.5,1.7,36.7,-70.2,2.1,-33.38,21.0,3,-363.0,0.378
NZD_USD,14,2,25.0,12.5,1.5,1.7,36.7,-70.6,2.1,-33.59,21.0,3,-354.5,0.366
NZD_USD,14,3,25.0,12.5,1.5,1.7,36.7,-71.1,2.1,-33.8,20.6,3,-358.5,0.355
NZD_USD,14,5,25.0,12.5,1.5,1.7,37.4,91.4,2.2,42.13,17.2,3,49.1,1.0
NZD_USD,14,7,25.0,12.5,1.5,1.7,35.1,-1719.3,2.2,-773.47,12.0,3,-5320.8,0.396
NZD_USD,20,1,25.0,12.5,1.5,1.7,32.6,-1704.6,2.0,-834.52,3.6,3,-5325.9,0.358
NZD_USD,20,2,25.0,12.5,1.5,1.7,32.6,-1704.7,2.0,-834.56,3.6,3,-5331.0,0.364
NZD_USD,20,3,25.0,12.5,1.5,1.7,32.6,-1704.7,2.0,-834.59,3.6,3,-5312.6,0.368
NZD_USD,20,5,25.0,12.5,1.5,1.7,32.6,-1704.9,2.0,-834.66,3.6,3,-5331.0,0.348
NZD_USD,20,7,25.0,12.5,1.5,1.7,32.6,-1705.0,2.0,-834.74,3.6,3,-5321.1,0.358
NZD_USD,30,1,25.0,12.5,1.5,1.7,32.5,102.6,2.1,49.91,1.6,3,60.8,1.0
NZD_USD,30,2,25.0,12.5,1.5,1.7,32.5,102.6,2.1,49.9,1.6,3,58.8,1.0
NZD_USD,30,3,25.0,12.5,1.5,1.7,32.5,102.6,2.1,49.88,1.6,3,59.6,1.0
NZD_USD,30,5,25.0,12.5,1.5,1.7,32.5,102.5,2.1,49.85,1.6,3,61.0,1.0
NZD_USD,30,7,25.0,12.5,1.5,1.7,32.5,102.4,2.1,49.82,1.6,3,58.3,1.0
EUR_GBP,3,1,40.0,20.0,1.4,1.6,37.2,16.7,2.9,5.76,95.9,3,9.4,1.0
EUR_GBP,4,1,40.0,20.0,1.4,1.6,36.6,-37.4,1.8,-21.0,92.1,2,,
EUR_GBP,4,2,40.0,20.0,1.4,1.6,40.9,-355.8,1.8,-195.29,92.7,3,-1049.0,0.162
EUR_GBP,5,1,40.0,20.0,1.4,1.6,33.2,-743.6,1.6,-462.3,92.1,2,,
EUR_GBP,5,2,40.0,20.0,1.4,1.6,45.4,-623.7,1.7,-363.62,92.6,2,,
EUR_GBP,5,3,40.0,20.0,1.4,1.6,35.6,-366.5,1.1,-345.4,89.3,2,,
EUR_GBP,6,1,40.0,20.0,1.4,1.6,35.1,-287.8,1.1,-267.79,88.8,1,,
EUR_GBP,6,2,40.0,20.0,1.4,1.6,32.4,-312.9,1.1,-277.4,89.3,1,,
EUR_GBP,6,3,40.0,20.0,1.4,1.6,43.6,54.2,1.5,35.48,92.1,1,,
EUR_GBP,7,1,40.0,20.0,1.4,1.6,46.6,-908.3,1.2,-786.6,90.8,1,,
EUR_GBP,7,2,40.0,20.0,1.4,1.6,46.0,-912.1,1.1,-848.76,89.4,2,,
EUR_GBP,7,3,40.0,20.0,1.4,1.6,29.8,-599.8,0.8,-795.3,85.0,1,,
EUR_GBP,7,5,40.0,20.0,1.4,1.6,29.1,21.9,1.0,22.82,86.8,2,,
EUR_GBP,8,1,40.0,20.0,1.4,1.6,39.5,31.1,1.1,28.93,88.2,1,,
EUR_GBP,8,2,40.0,20.0,1.4,1.6,43.0,-652.3,1.1,-618.52,89.9,1,,
EUR_GBP,8,3,40.0,20.0,1.4,1.6,44.7,-630.2,1.0,-642.36,85.7,1,,
EUR_GBP,8,5,40.0,20.0,1.4,1.6,22.3,21.7,0.8,26.65,86.1,2,,
EUR_GBP,10,1,40.0,20.0,1.4,1.6,41.9,-648.8,0.8,-845.27,84.3,2,,
EUR_GBP,10,2,40.0,20.0,1.4,1.6,39.6,-908.0,0.9,-1000.27,88.2,2,,
EUR_GBP,10,3,40.0,20.0,1.4,1.6,45.5,-301.5,0.9,-339.69,85.7,2,,
EUR_GBP,10,5,40.0,20.0,1.4,1.6,44.8,-246.0,0.8,-302.09,85.2,2,,
EUR_GBP,10,7,40.0,20.0,1.4,1.6,55.3,-207.3,0.7,-304.45,72.5,2,,
EUR_GBP,14,1,40.0,20.0,1.4,1.6,51.7,-1096.2,0.5,-2249.76,78.1,1,,
EUR_GBP,14,2,40.0,20.0,1.4,1.6,54.3,-1508.5,0.4,-3830.66,71.2,1,,
EUR_GBP,14,3,40.0,20.0,1.4,1.6,46.7,-1070.7,0.5,-2197.42,76.7,1,,
EUR_GBP,14,5,40.0,20.0,1.4,1.6,38.7,-0.7,0.5,-1.36,69.9,2,,
EUR_GBP,14,7,40.0,20.0,1.4,1.6,43.4,19.4,0.6,33.85,61.6,2,,
EUR_GBP,20,1,40.0,20.0,1.4,1.6,36.8,-983.4,0.3,-3069.71,64.6,3,-3043.7,0.345
EUR_GBP,20,2,40.0,20.0,1.4,1.6,47.5,-983.1,0.3,-2832.62,61.5,2,,
EUR_GBP,20,3,40.0,20.0,1.4,1.6,44.8,-18.8,0.4,-48.51,48.3,2,,
EUR_GBP,20,5,40.0,20.0,1.4,1.6,33.3,1.4,0.4,3.99,20.4,1,,
EUR_GBP,20,7,40.0,20.0,1.4,1.6,33.3,1.3,0.4,3.72,18.5,2,,
EUR_GBP,30,1,40.0,20.0,1.4,1.6,35.1,-42.3,0.3,-132.1,4.2,2,,
EUR_GBP,30,2,40.0,20.0,1.4,1.6,35.1,-42.3,0.3,-132.14,4.2,2,,
