pair,N,zw,tf,tp,ppd,cpd,ppc,ml,avgl,usd,wf,oos_days
GBP_JPY,2,25.0,1.0,-1042937.8999999701,-1818.0735640198207,5.465004793863854,-332.6755661881882,0.2551834130781499,2.0864433811802234,-94.90734889999729,1,573.65
GBP_JPY,3,25.0,0.5,-5978070.900001536,-10421.112002094545,11.323978035387432,-920.2695350987586,0.01539408866995074,1.5027709359605912,-544.0044519001398,1,573.65
GBP_JPY,3,25.0,1.0,-645975.1000000006,-1126.0787936895329,5.295912141549725,-212.63169848584613,0.26333113890717574,2.0710994075049376,-58.78373410000005,1,573.65
GBP_JPY,1,25.0,1.0,-1137135.9999999949,-1982.281879194622,6.000174322321974,-330.37071470075387,0.2905287623474724,2.022080185938408,-103.47937599999953,0,573.65
GBP_JPY,1,40.0,1.0,-248932.79999999938,-433.94543711322126,2.517214329294866,-172.39113573407158,0.13850415512465375,1.9965373961218837,-22.652884799999946,1,573.65
GBP_JPY,2,20.0,1.0,-1649639.3999999068,-2875.689706266725,8.22627037392138,-349.5739351557336,0.27548209366391185,2.0885780885780885,-150.1171853999915,0,573.65
GBP_JPY,1,20.0,0.5,-6971578.400000661,-12153.017345072189,19.811731892268806,-613.4252881654783,0.008798944126704795,1.4685437747470305,-634.4136344000601,0,573.65
GBP_JPY,1,30.0,1.0,-159414.20000000982,-277.89453499522324,4.169789941602022,-66.64473244147568,0.1254180602006689,2.0999163879598663,-14.506692200000893,1,573.65
GBP_JPY,1,30.0,0.5,-3642922.400000046,-6350.426915366593,10.126383683430664,-627.1169564469006,0.01721466689619556,1.4861421931485626,-331.5059384000042,1,573.65
GBP_JPY,1,40.0,0.25,-140983.00000000975,-245.764839187675,13.140416630349517,-18.702971610508058,0.0,1.2129211992570974,-12.829453000000887,0,573.65
GBP_JPY,3,20.0,1.0,-1053692.9999999618,-1836.8221040703597,7.5202649699294,-244.2496522948451,0.23180343069077425,2.138618451553083,-95.88606299999653,0,573.65
EUR_JPY,2,25.0,1.0,-107031.90000000183,-186.68648610019616,3.709942138139288,-50.320592383639784,0.09402914903620122,2.0926187118006583,-6.850041600000116,2,573.3243055555555
EUR_JPY,3,25.0,0.5,296839.3000000081,517.7511176896096,8.053033780812925,64.29267922893828,0.0,1.4836473900801386,18.997715200000517,3,573.3243055555555
