pair,ta,td,zw,tgt,sp_med,gate,ppd,cday,ppc,is_wf,oos_wf,boot_p5,prob_pos
AUD_JPY,20,5,50.0,25.0,2.1,2.6,106.1,2.6,41.29,3,3,77.2,1.0
AUD_JPY,20,7,50.0,25.0,2.1,2.6,95.9,2.6,36.94,2,3,,
AUD_JPY,30,1,50.0,25.0,2.1,2.6,135.7,2.0,67.08,2,3,,
AUD_JPY,30,2,50.0,25.0,2.1,2.6,135.4,2.0,66.93,2,3,,
AUD_JPY,30,3,50.0,25.0,2.1,2.6,134.4,2.0,66.48,2,3,,
AUD_JPY,30,5,50.0,25.0,2.1,2.6,133.9,2.0,66.2,2,3,,
AUD_JPY,30,7,50.0,25.0,2.1,2.6,133.3,2.0,65.92,2,3,,
CAD_JPY,5,1,50.0,12.5,2.4,3.2,63.9,8.0,7.96,2,3,,
CAD_JPY,6,1,50.0,12.5,2.4,3.2,69.6,6.6,10.6,2,3,,
CAD_JPY,6,2,50.0,12.5,2.4,3.2,63.4,6.5,9.81,2,3,,
CAD_JPY,7,1,50.0,12.5,2.4,3.2,123.5,5.7,21.84,3,3,44.8,1.0
CAD_JPY,7,2,50.0,12.5,2.4,3.2,58.6,5.6,10.44,3,3,29.0,1.0
CAD_JPY,7,3,50.0,12.5,2.4,3.2,10.8,5.3,2.03,3,2,,
CAD_JPY,8,1,50.0,12.5,2.4,3.2,26.1,5.1,5.09,1,2,,
CAD_JPY,8,2,50.0,12.5,2.4,3.2,19.1,5.1,3.76,1,2,,
CAD_JPY,8,3,50.0,12.5,2.4,3.2,9.6,5.4,1.76,1,2,,
CAD_JPY,10,1,50.0,12.5,2.4,3.2,-79.9,4.5,-17.89,2,2,,
CAD_JPY,10,2,50.0,12.5,2.4,3.2,-90.2,4.5,-20.19,2,2,,
CAD_JPY,10,3,50.0,12.5,2.4,3.2,-97.8,4.6,-21.45,2,2,,
CAD_JPY,10,5,50.0,12.5,2.4,3.2,20.1,4.4,4.59,2,2,,
CAD_JPY,14,1,50.0,12.5,2.4,3.2,46.4,3.2,14.72,2,3,,
CAD_JPY,14,2,50.0,12.5,2.4,3.2,45.2,3.2,14.34,2,3,,
CAD_JPY,14,3,50.0,12.5,2.4,3.2,45.3,3.1,14.49,2,3,,
CAD_JPY,14,5,50.0,12.5,2.4,3.2,114.3,3.0,38.56,2,3,,
CAD_JPY,14,7,50.0,12.5,2.4,3.2,103.1,3.0,34.78,2,3,,
CAD_JPY,20,1,50.0,12.5,2.4,3.2,-251.4,3.1,-80.12,2,2,,
CAD_JPY,20,2,50.0,12.5,2.4,3.2,-251.6,3.1,-80.18,2,2,,
CAD_JPY,20,3,50.0,12.5,2.4,3.2,-251.7,3.1,-80.24,2,2,,
CAD_JPY,20,5,50.0,12.5,2.4,3.2,-252.1,3.1,-80.36,2,2,,
CAD_JPY,20,7,50.0,12.5,2.4,3.2,-252.5,3.1,-80.48,2,2,,
CAD_JPY,30,1,50.0,12.5,2.4,3.2,-213.0,3.3,-64.34,3,2,,
CAD_JPY,30,2,50.0,12.5,2.4,3.2,-213.1,3.3,-64.35,3,2,,
CAD_JPY,30,3,50.0,12.5,2.4,3.2,-213.1,3.3,-64.36,3,2,,
CAD_JPY,30,5,50.0,12.5,2.4,3.2,-213.2,3.3,-64.39,3,2,,
CAD_JPY,30,7,50.0,12.5,2.4,3.2,-213.3,3.3,-64.41,3,2,,
