pair,signal,ppd,ppc,entry_rate,trail_pct,zr_pct,avg_legs,wf,n_cycles
GBP_USD,h110_m510_only,55.2,10.2,61.3,69.7,21.5,1.31,3,2209
GBP_USD,h120_m510_filter,18.2,9.4,5.3,73.0,13.7,1.22,3,797
GBP_USD,h120_m510_only,78.5,15.1,59.3,68.7,22.4,1.33,3,2132
USD_JPY,no_signal,0.1,52.0,0.0,0.0,100.0,3.0,3,1
USD_JPY,h1_sma5_filter,70.0,12.4,2.6,95.8,3.4,1.05,3,2311
USD_JPY,h1_sma5_only,521.2,43.6,100.0,83.7,15.4,1.24,3,4900
USD_JPY,h1_sma10_filter,36.5,9.6,1.5,96.6,2.8,1.04,3,1561
USD_JPY,h1_sma10_only,589.4,51.2,100.0,82.3,16.7,1.25,3,4717
USD_JPY,h1_sma20_filter,44.2,16.8,1.0,97.9,1.7,1.02,3,1077
USD_JPY,h1_sma20_only,647.2,57.8,100.0,81.4,17.4,1.27,3,4585
USD_JPY,m5_sma5_filter,-0.1,-0.0,22.9,79.6,19.5,1.29,2,3625
USD_JPY,m5_sma5_only,527.9,48.4,100.0,80.4,18.4,1.28,3,4470
USD_JPY,m5_sma10_filter,33.0,4.3,13.5,79.0,20.0,1.3,2,3151
USD_JPY,m5_sma10_only,544.1,50.0,100.0,80.7,18.2,1.28,3,4456
USD_JPY,m5_sma20_filter,-1542.4,-230.6,7.6,79.9,19.0,1.28,2,2739
USD_JPY,m5_sma20_only,613.0,55.8,100.0,80.9,18.0,1.27,3,4502
USD_JPY,m5_atr1.0_filter,96.0,11.1,17.5,79.4,19.6,1.29,2,3551
USD_JPY,m5_atr1.0_only,364.7,35.2,51.5,80.2,18.7,1.28,3,4246
USD_JPY,m5_atr1.5_filter,191.3,35.2,4.2,78.9,19.6,1.29,3,2225
USD_JPY,m5_atr1.5_only,211.6,27.9,9.7,79.9,18.8,1.28,3,3107
USD_JPY,m5_atr2.0_filter,-1709.4,-630.0,1.3,78.4,20.2,1.31,2,1111
USD_JPY,m5_atr2.0_only,78.3,17.3,2.8,79.6,19.2,1.28,3,1851
USD_JPY,m5_atr2.5_filter,-1728.3,-1248.2,0.6,77.2,19.9,1.3,2,567
USD_JPY,m5_atr2.5_only,-1713.3,-660.6,1.2,79.8,18.1,1.27,2,1062
USD_JPY,m5_atr3.0_filter,-1742.8,-2317.0,0.3,80.5,17.5,1.27,2,308
USD_JPY,m5_atr3.0_only,-1728.4,-1132.4,0.6,80.5,17.9,1.27,2,625
USD_JPY,h110_m55_filter,31.5,8.5,1.5,96.1,3.3,1.05,3,1519
USD_JPY,h110_m55_only,567.0,50.1,79.2,82.4,16.5,1.25,3,4636
USD_JPY,h120_m55_filter,40.7,15.8,1.0,97.2,2.3,1.03,3,1059
USD_JPY,h120_m55_only,618.0,56.4,74.3,81.5,17.3,1.26,3,4484
USD_JPY,h110_m510_filter,32.8,9.0,1.5,94.9,4.4,1.07,3,1485
USD_JPY,h110_m510_only,588.7,52.4,81.2,82.3,16.6,1.25,3,4604
USD_JPY,h120_m510_filter,41.6,16.5,1.0,96.2,3.0,1.05,3,1031
USD_JPY,h120_m510_only,643.5,59.1,73.6,81.4,17.4,1.26,3,4461
