pair,tp,sl,n_rev,atr_mult,accel,is_pd,is_wr,is_n,wave_pct,tp_pct,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
EUR_JPY,10,0,3,0.0,False,-295.4,0.059,30730,0.995,0.005,-279.59,-302.33,-304.28,False,-298.75,0.04,12218,
EUR_JPY,10,0,3,0.0,True,-104.29,0.06,10819,0.995,0.005,-98.58,-107.41,-106.88,False,-107.76,0.039,4361,
EUR_JPY,10,0,3,0.5,False,-152.01,0.065,15736,0.994,0.006,-139.35,-157.75,-158.94,False,-150.32,0.044,6094,
EUR_JPY,10,0,3,0.5,True,-83.29,0.063,8629,0.994,0.006,-77.19,-86.1,-86.58,False,-85.23,0.041,3441,
EUR_JPY,10,0,3,1.0,False,-70.4,0.07,7267,0.993,0.007,-59.97,-71.89,-79.35,False,-67.56,0.048,2744,
EUR_JPY,10,0,3,1.0,True,-51.37,0.066,5285,0.993,0.007,-44.01,-53.01,-57.1,False,-50.52,0.043,2050,
EUR_JPY,10,0,3,2.0,False,-14.18,0.071,1435,0.987,0.013,-10.64,-14.56,-17.35,False,-13.31,0.067,539,
EUR_JPY,10,0,3,2.0,True,-12.65,0.068,1288,0.988,0.012,-9.31,-12.89,-15.74,False,-11.97,0.068,486,
EUR_JPY,10,5,1,0.0,False,-298.6,0.028,31532,0.995,0.001,-277.27,-306.82,-311.7,False,-302.15,0.016,12522,
EUR_JPY,10,5,1,0.0,True,-103.64,0.027,10897,0.995,0.001,-96.3,-106.87,-107.76,False,-106.53,0.015,4393,
EUR_JPY,10,5,1,0.5,False,-152.17,0.029,15971,0.994,0.002,-136.23,-158.84,-161.44,False,-149.46,0.018,6182,
EUR_JPY,10,5,1,0.5,True,-82.66,0.028,8687,0.995,0.002,-74.7,-85.89,-87.39,False,-83.98,0.016,3460,
EUR_JPY,10,5,1,1.0,False,-69.68,0.033,7307,0.992,0.003,-57.3,-71.8,-79.93,False,-66.2,0.023,2762,
EUR_JPY,10,5,1,1.0,True,-50.66,0.031,5302,0.994,0.002,-41.87,-52.73,-57.38,False,-49.26,0.021,2058,
EUR_JPY,10,5,1,2.0,False,-13.68,0.036,1438,0.983,0.005,-9.33,-14.38,-17.34,False,-12.65,0.037,539,
EUR_JPY,10,5,1,2.0,True,-12.31,0.033,1291,0.988,0.003,-8.15,-12.82,-15.95,False,-11.55,0.035,486,
EUR_JPY,10,5,2,0.0,False,-298.26,0.043,31346,0.991,0.003,-277.41,-306.21,-311.16,False,-303.44,0.026,12459,
EUR_JPY,10,5,2,0.0,True,-103.85,0.045,10882,0.99,0.003,-96.22,-107.14,-108.19,False,-107.67,0.024,4388,
EUR_JPY,10,5,2,0.5,False,-152.44,0.048,15913,0.988,0.003,-136.69,-158.64,-161.97,False,-151.5,0.029,6168,
EUR_JPY,10,5,2,0.5,True,-82.96,0.047,8675,0.989,0.003,-75.22,-85.96,-87.71,False,-84.93,0.026,3456,
EUR_JPY,10,5,2,1.0,False,-70.14,0.051,7297,0.986,0.005,-58.18,-71.74,-80.49,False,-67.17,0.033,2756,
EUR_JPY,10,5,2,1.0,True,-51.04,0.048,5298,0.988,0.004,-42.51,-52.79,-57.82,False,-49.82,0.03,2054,
EUR_JPY,10,5,2,2.0,False,-13.76,0.053,1438,0.974,0.008,-9.43,-14.26,-17.58,False,-12.87,0.046,539,
EUR_JPY,10,5,2,2.0,True,-12.4,0.05,1291,0.981,0.006,-8.49,-12.65,-16.05,False,-11.67,0.045,486,
EUR_JPY,10,5,3,0.0,False,-292.9,0.059,30730,0.984,0.005,-273.29,-301.66,-303.76,False,-297.6,0.04,12218,
EUR_JPY,10,5,3,0.0,True,-103.28,0.06,10819,0.982,0.005,-96.02,-107.15,-106.67,False,-107.23,0.039,4361,
EUR_JPY,10,5,3,0.5,False,-150.37,0.065,15736,0.98,0.006,-135.39,-157.27,-158.46,False,-149.4,0.044,6094,
EUR_JPY,10,5,3,0.5,True,-82.39,0.063,8629,0.981,0.006,-74.88,-85.91,-86.37,False,-84.72,0.041,3441,
EUR_JPY,10,5,3,1.0,False,-69.37,0.07,7267,0.975,0.007,-57.54,-71.63,-78.95,False,-66.8,0.048,2744,
EUR_JPY,10,5,3,1.0,True,-50.65,0.066,5285,0.977,0.007,-42.2,-52.85,-56.89,False,-50.07,0.043,2050,
EUR_JPY,10,5,3,2.0,False,-13.72,0.07,1435,0.962,0.013,-9.52,-14.41,-17.23,False,-12.89,0.067,539,
EUR_JPY,10,5,3,2.0,True,-12.32,0.067,1288,0.968,0.012,-8.51,-12.83,-15.62,False,-11.68,0.068,486,
EUR_JPY,20,0,1,0.0,False,-299.47,0.028,31531,1.0,0.0,-279.52,-307.03,-311.85,False,-302.39,0.016,12522,
EUR_JPY,20,0,1,0.0,True,-103.93,0.027,10897,1.0,0.0,-97.08,-106.92,-107.8,False,-106.56,0.015,4393,
EUR_JPY,20,0,1,0.5,False,-152.71,0.029,15971,1.0,0.0,-137.54,-159.03,-161.57,False,-149.49,0.018,6182,
EUR_JPY,20,0,1,0.5,True,-82.9,0.028,8687,1.0,0.0,-75.33,-85.93,-87.43,False,-84.0,0.016,3460,
EUR_JPY,20,0,1,1.0,False,-70.0,0.032,7307,0.999,0.001,-58.14,-71.84,-80.02,False,-66.25,0.023,2762,
EUR_JPY,20,0,1,1.0,True,-50.91,0.031,5302,1.0,0.0,-42.55,-52.76,-57.42,False,-49.27,0.021,2058,
EUR_JPY,20,0,1,2.0,False,-13.9,0.035,1438,0.998,0.002,-9.84,-14.45,-17.43,False,-12.71,0.037,539,
EUR_JPY,20,0,1,2.0,True,-12.48,0.033,1291,0.999,0.001,-8.58,-12.85,-16.03,False,-11.58,0.035,486,
EUR_JPY,20,0,2,0.0,False,-299.86,0.043,31340,1.0,0.0,-281.4,-306.58,-311.59,False,-303.96,0.026,12459,
EUR_JPY,20,0,2,0.0,True,-104.48,0.045,10881,1.0,0.0,-97.9,-107.14,-108.4,False,-107.76,0.024,4388,
EUR_JPY,20,0,2,0.5,False,-153.54,0.048,15911,0.999,0.001,-139.36,-158.9,-162.35,False,-151.73,0.029,6168,
EUR_JPY,20,0,2,0.5,True,-83.51,0.047,8674,0.999,0.001,-76.68,-85.94,-87.91,False,-85.0,0.026,3456,
EUR_JPY,20,0,2,1.0,False,-70.82,0.05,7295,0.999,0.001,-59.9,-71.76,-80.8,False,-67.36,0.033,2756,
EUR_JPY,20,0,2,1.0,True,-51.55,0.047,5297,0.999,0.001,-43.88,-52.75,-58.01,False,-49.84,0.03,2054,
EUR_JPY,20,0,2,2.0,False,-14.11,0.052,1437,0.997,0.003,-10.43,-14.3,-17.61,False,-12.89,0.046,539,
EUR_JPY,20,0,2,2.0,True,-12.65,0.049,1290,0.998,0.002,-9.19,-12.6,-16.15,False,-11.63,0.045,486,
EUR_JPY,20,0,3,0.0,False,-295.9,0.059,30717,0.999,0.001,-280.99,-302.32,-304.38,False,-298.32,0.04,12215,
EUR_JPY,20,0,3,0.0,True,-104.84,0.06,10817,0.999,0.001,-99.93,-107.48,-107.11,False,-107.5,0.039,4361,
EUR_JPY,20,0,3,0.5,False,-152.43,0.065,15728,0.999,0.001,-140.59,-157.67,-159.02,False,-149.9,0.044,6093,
EUR_JPY,20,0,3,0.5,True,-83.77,0.062,8627,0.999,0.001,-78.34,-86.17,-86.79,False,-84.97,0.04,3441,
