pair,thr,peak_bars,sd,tp,n_events,fill_rate,tp_rate,up_tp_pct,dn_tp_pct,total_pnl,ppd,ev_per_day
GBP_JPY,2.0,10,0,5,18757,100.0,96.00682411899045,95.44766435985127,96.55063623934204,4198.628845214844,11.007186447058785,49.17362400889164
GBP_JPY,2.0,10,0,8,18757,100.0,83.9686517033596,82.7314013840741,85.17194237037698,18320.362854003906,48.02892971633273,49.17362400889164
GBP_JPY,2.0,10,0,10,18757,100.0,74.77741643119504,73.09688581314087,76.41182038068393,23337.394104003906,61.18165181092993,49.17362400889164
GBP_JPY,2.0,10,0,15,18757,100.0,53.88388335021305,51.75173010380063,55.95751393416174,28950.217895507812,75.89631229776549,49.17362400889164
GBP_JPY,2.0,10,0,20,18757,100.0,38.028469371432635,37.19723183390601,38.83689136607016,32223.197326660156,84.47680277792338,49.17362400889164
GBP_JPY,2.0,10,1,5,18757,99.98933731406942,92.05545187949389,91.0565588839525,93.0269246949839,-9599.054565428332,-25.165021061001628,49.17362400889164
GBP_JPY,2.0,10,1,8,18757,99.98933731406942,79.11490269261108,77.57110414187545,80.61632309633144,1269.0739746129375,3.3270227897364335,49.17362400889164
GBP_JPY,2.0,10,1,10,18757,99.98933731406942,70.43988269794346,68.47626257163745,72.34960033655108,7373.705688481605,19.331014078883612,49.17362400889164
GBP_JPY,2.0,10,1,15,18757,99.98933731406942,50.41322314049318,48.68606034389005,52.0929743373946,11649.81231690299,30.541317409262803,49.17362400889164
GBP_JPY,2.0,10,1,20,18757,99.98933731406942,35.473207144759506,34.659889693951044,36.26419856962176,14592.596252452411,38.25616257566008,49.17362400889164
GBP_JPY,2.0,10,2,5,18757,99.93602388441649,88.33822352626896,87.34040251026971,89.30863937702944,-22801.32708740458,-59.776290723452,49.17362400889164
GBP_JPY,2.0,10,2,8,18757,99.93602388441649,74.8252867431275,73.14434105171249,76.46006524254693,-13771.304016118109,-36.10305090370162,49.17362400889164
GBP_JPY,2.0,10,2,10,18757,99.93602388441649,65.64950653507252,63.546851330873885,67.69441229084839,-10867.696350104245,-28.490910815313224,49.17362400889164
GBP_JPY,2.0,10,2,15,18757,99.93602388441649,46.90317417977877,45.24994589915113,48.51099652740729,-6994.6706543070595,-18.337330320462943,49.17362400889164
GBP_JPY,2.0,10,2,20,18757,99.93602388441649,33.03814350493289,32.590348409431655,33.473639903184946,-3278.6817016729983,-8.595439635490806,49.17362400889164
GBP_JPY,2.0,10,3,5,18757,99.66412539318654,84.2516315395269,83.03668330800053,85.43248945146777,-36324.73529052768,-95.22945435831558,49.17362400889164
GBP_JPY,2.0,10,3,8,18757,99.66412539318654,70.66973360436126,68.72151074451175,72.56329113923285,-28584.69079589906,-74.938041137067,49.17362400889164
GBP_JPY,2.0,10,3,10,18757,99.66412539318654,61.848721514921266,59.778597785971364,63.86075949366414,-27114.59405517659,-71.0840141399468,49.17362400889164
GBP_JPY,2.0,10,3,15,18757,99.66412539318654,44.11040975713897,42.739309746033996,45.443037974678745,-22862.40301513791,-59.93640826390905,49.17362400889164
GBP_JPY,2.0,10,3,20,18757,99.66412539318654,30.544559751790384,30.33427393097131,30.748945147676082,-21041.576721192883,-55.162903568917514,49.17362400889164
GBP_JPY,2.0,10,5,5,18757,96.00682411899557,77.88760550865848,76.58321060382049,79.1417056965386,-53184.814147953744,-139.4300823102979,49.17362400889164
GBP_JPY,2.0,10,5,8,18757,96.00682411899557,64.20479786761084,62.39945621388213,65.94052935409368,-48991.70416260498,-128.43736418653245,49.17362400889164
GBP_JPY,2.0,10,5,10,18757,96.00682411899557,56.12505553087205,54.22000679732024,57.95664960243351,-47571.99035645429,-124.71542182347403,49.17362400889164
GBP_JPY,2.0,10,5,15,18757,96.00682411899557,39.610173256328316,38.97133794040569,40.22437642957845,-44299.01092530533,-116.13493134332502,49.17362400889164
GBP_JPY,2.0,10,5,20,18757,96.00682411899557,27.44891159484521,27.68777614138125,27.21925716152628,-41977.5839233547,-110.04904455130024,49.17362400889164
GBP_JPY,2.0,22,0,5,18446,100.0,97.21890924861232,96.95330610441583,97.47523170340924,8577.797546386719,22.48767880633437,48.358301885590194
GBP_JPY,2.0,22,0,8,18446,100.0,86.66919657377822,85.56132023401196,87.73836156385558,27627.512451171875,72.42868846696689,48.358301885590194
GBP_JPY,2.0,22,0,10,18446,100.0,77.9030684159125,76.20046362732353,79.54618088845429,33674.81231689453,88.28237774915844,48.358301885590194
GBP_JPY,2.0,22,0,15,18446,100.0,57.177707904149564,55.08334253228225,59.19889208479182,42973.80187988281,112.66074403550452,48.358301885590194
GBP_JPY,2.0,22,0,20,18446,100.0,40.54537569120457,39.33105199248931,41.7172685629017,47387.472229003906,124.23168641684877,48.358301885590194
GBP_JPY,2.0,22,1,5,18446,99.99457877046514,94.30197885605344,93.74103101886591,94.84338376304125,-1643.6861572256066,-4.309111536174864,48.358301885590194
GBP_JPY,2.0,22,1,8,18446,99.99457877046514,82.09270805095787,80.7263494866894,83.41146388236912,12407.113464358474,32.52666911190599,48.358301885590194
GBP_JPY,2.0,22,1,10,18446,99.99457877046514,73.55923014366638,71.707694005953,75.3462603878036,18140.516784672403,47.557442645224114,48.358301885590194
GBP_JPY,2.0,22,1,15,18446,99.99457877046514,53.72729737055821,52.01457114471222,55.38035371829796,26425.1898193437,69.27666196833174,48.358301885590194
GBP_JPY,2.0,22,1,20,18446,99.99457877046514,37.80428300352194,36.60448173087133,38.962284253138826,29925.370300303402,78.45278602516245,48.358301885590194
GBP_JPY,2.0,22,2,5,18446,99.97289385232571,90.5211214142351,89.57712266754007,91.43222506392887,-13779.889160158038,-36.125557842182275,48.358301885590194
GBP_JPY,2.0,22,2,8,18446,99.97289385232571,77.92419066210738,76.21729049353249,79.57161125318845,-2949.784118656509,-7.733196948244121,48.358301885590194
GBP_JPY,2.0,22,2,10,18446,99.97289385232571,68.90624152702843,66.98686099149089,70.75873827791233,1837.2111816347583,4.816459554866936,48.358301885590194
GBP_JPY,2.0,22,2,15,18446,99.97289385232571,49.9051027601513,48.38246660041422,51.37468030689989,8480.990356435861,22.23388766915887,48.358301885590194
GBP_JPY,2.0,22,2,20,18446,99.97289385232571,35.399381812264224,34.41536932758812,36.34910485933116,12315.178283679219,32.285650505097266,48.358301885590194
GBP_JPY,2.0,22,3,5,18446,99.78857204814052,86.8528277285768,85.74115044246838,87.92569659441786,-26363.98773193387,-69.11621368583185,48.358301885590194
GBP_JPY,2.0,22,3,8,18446,99.78857204814052,73.71108817297366,71.85840707963807,75.4990925589756,-17486.58337402399,-45.84308130481375,48.358301885590194
GBP_JPY,2.0,22,3,10,18446,99.78857204814052,65.10566632259113,63.1637168141523,66.97982278210024,-13463.286499024169,-35.29554770096505,48.358301885590194
GBP_JPY,2.0,22,3,15,18446,99.78857204814052,46.694192426791616,45.232300884950746,48.10504964235635,-8019.532714844866,-21.024123604349708,48.358301885590194
GBP_JPY,2.0,22,3,20,18446,99.78857204814052,33.02547943716885,32.389380530969866,33.639372264328635,-4295.336059571714,-11.260715486763003,48.358301885590194
GBP_JPY,2.0,22,5,5,18446,97.21890924861759,80.13160095912116,78.59501309346709,81.60655737704026,-46842.209472660295,-122.80221764431091,48.358301885590194
GBP_JPY,2.0,22,5,8,18446,97.21890924861759,66.82652093904719,65.0119549128925,68.56830601092146,-39988.80810547552,-104.8352409416416,48.358301885590194
GBP_JPY,2.0,22,5,10,18446,97.21890924861759,58.813360843135065,56.8143003529481,60.73224043715183,-37543.219909676365,-98.42385135797625,48.358301885590194
GBP_JPY,2.0,22,5,15,18446,97.21890924861759,41.70523615680356,40.5670044403916,42.797814207645594,-33129.54956055876,-86.85290897664113,48.358301885590194
GBP_JPY,2.0,22,5,20,18446,97.21890924861759,29.671555233367,29.534327678466404,29.803278688521335,-29148.64715577606,-76.41651733251483,48.358301885590194
GBP_JPY,2.0,44,0,5,17864,99.99440214957457,97.88389408273538,97.74682971013385,98.01793821281164,10151.55029296875,26.613451896028103,46.8325222207624
GBP_JPY,2.0,44,0,8,17864,99.99440214957457,89.27951631864248,88.19067028984509,90.34436939429848,36478.732666015625,95.63317611769077,46.8325222207624
GBP_JPY,2.0,44,0,10,17864,99.99440214957457,81.86194928063136,80.55932971013581,83.13586535266492,47589.922790527344,124.76243375345604,46.8325222207624
GBP_JPY,2.0,44,0,15,17864,99.99440214957457,60.86323685830707,59.0126811594136,62.673015169963165,57456.654052734375,150.62919993592368,46.8325222207624
GBP_JPY,2.0,44,0,20,17864,99.99440214957457,43.69366847673718,42.447916666661854,44.91196988151424,62476.25274658203,163.78865287865375,46.8325222207624
GBP_JPY,2.0,44,1,5,17864,99.99440214957457,95.44869282874683,94.96150362317765,95.9251467168535,2304.4392700202707,6.041351506920163,46.8325222207624
GBP_JPY,2.0,44,1,8,17864,99.99440214957457,85.53994289872443,84.46557971013536,86.59063226662754,24370.607788088288,63.89033983257556,46.8325222207624
GBP_JPY,2.0,44,1,10,17864,99.99440214957457,77.69691541174059,76.09827898549862,79.26032554533504,33517.35864258175,87.86959490651435,46.8325222207624
GBP_JPY,2.0,44,1,15,17864,99.99440214957457,57.39237530089809,55.59329710144297,59.15181043073201,41900.98089600301,109.84822094065169,46.8325222207624
GBP_JPY,2.0,44,1,20,17864,99.99440214957457,40.87219392039182,39.88903985506794,41.83368397740651,45224.74194336898,118.56184124446222,46.8325222207624
GBP_JPY,2.0,44,2,5,17864,99.96081504702194,92.56314050511885,91.77616674217356,93.33259497174733,-6826.3732299818275,-17.896119345070616,46.8325222207624
GBP_JPY,2.0,44,2,8,17864,99.96081504702194,81.88945511563634,80.59583144539187,83.1542806512257,12004.221740719346,31.470442309404266,46.8325222207624
