be,ts,tg,ppd,wr,avg_mfe,avg_mae,cap,wf,pct_tp,pct_be,pct_trail,pct_timeout
0.0,0.0,0.0,11.236665964257703,52.53566397539235,10.861846665064744,-9.427839711594398,-28.068497479977193,7,24.297851231941234,0.0,0.0,75.70214876805876
0.0,12.0,7.0,-4.344999866195537,57.0349150031567,10.31610494455308,-8.601729070500571,-28.073707969269122,3,15.551438199036058,0.0,23.09193965206605,61.3566221488979
0.0,12.0,5.0,-7.283970301325845,57.0685950495115,10.01941244218866,-8.600470459237902,-28.0644691527527,3,11.309784588284021,0.0,28.85194025515662,59.83827515655936
0.0,12.0,3.0,-8.46028266959615,57.113021944802796,9.57955517942156,-8.600352502434626,-28.043695476625974,3,6.404811517007411,0.0,35.02003897804937,58.57514950494321
0.0,10.0,7.0,-11.144755235204068,58.65988331289343,9.980868729449044,-8.105507414748013,-28.07427264431122,3,13.517567121022372,0.0,31.61071607060413,54.87171680837349
0.0,10.0,5.0,-14.199734408773857,59.72731199359473,9.543575834718421,-8.101424977497448,-28.057338071516604,3,9.053033607666913,0.0,38.199546226565296,52.74742016576779
0.0,10.0,3.0,-14.686409740019343,59.796606696973285,8.926802661636108,-8.099871993508533,-28.02378032685222,3,4.723005722489556,0.0,44.02499380198828,51.252000475522166
7.0,0.0,0.0,-15.242078078509604,36.02417151579141,9.960407725254793,-6.997600392412931,-28.09573837485836,3,18.193310718223017,31.892249916994203,0.0,49.91443936478278
0.0,8.0,7.0,-19.656468611744135,52.86550953238505,9.55057256371242,-7.40941970375992,-28.078093939977425,3,11.780301856019765,0.0,41.34292013228112,46.876778011699116
7.0,12.0,7.0,-21.632842183100713,43.93361438820824,9.630198419881285,-6.985769468219722,-28.092007428954116,3,12.617320426934342,23.65564138210577,18.728111009088156,44.99892718187173
0.0,8.0,3.0,-22.048985142929975,63.68779461081931,8.134070334570788,-7.403344146387154,-27.999843148652328,2,3.686785823644218,0.0,53.83269469905682,42.48051947729896
0.0,8.0,5.0,-22.56654819323298,61.968636568804925,8.941090471399663,-7.405078313304319,-28.050329399428534,2,7.30649128139142,0.0,48.51040949599218,44.1830992226164
7.0,10.0,7.0,-23.113766122136518,48.61872935344985,9.47476018965904,-6.980659559950374,-28.087325134191854,2,11.67735264504298,17.865198950547285,26.849807044316048,43.60764136009369
0.0,5.0,7.0,-23.79214149267067,48.7652751104911,9.305770104707557,-6.974035349371022,-28.079658855061552,3,11.046478923543788,0.0,46.44632293159827,42.507198144857945
7.0,12.0,5.0,-24.053694804564827,43.994449262899465,9.38646669603419,-6.985331098103391,-28.084382328755595,2,9.120461359963318,23.63338892980718,23.404351279203077,43.841798431026426
7.0,8.0,7.0,-24.41035526583484,48.978745223555755,9.334319218715127,-6.974891636986406,-28.08333256321111,2,11.129042708996067,8.65486776503372,37.56834245733258,42.64774706863764
7.0,12.0,3.0,-24.67581208923403,44.05772315992679,9.031909249301313,-6.985213141300116,-28.066885530977473,2,5.206057683958924,23.612852670213474,28.226736730779713,42.95435291504789
