pair,thr,sd,tp,n_events,fill_rate,long_tp_pct,short_tp_pct,dual_tp_pct,total_pnl,ppd,ev_per_day
GBP_JPY,2.0,2,5,19018,99.91061100010516,73.46072186836085,72.0408163265263,33.342096960774,-157458.05,-412.7943,49.857865404974206
GBP_JPY,2.0,2,8,19018,99.91061100010516,59.01155933002718,58.24729891956433,18.598170154590388,-172343.56,-451.8184,49.857865404974206
GBP_JPY,2.0,2,10,19018,99.91061100010516,50.92002830856034,50.006002400957385,12.561783573456726,-181733.03,-476.43396,49.857865404974206
GBP_JPY,2.0,2,15,19018,99.91061100010516,33.993866477940905,34.60384153661257,4.895362288358397,-203835.1,-534.377,49.857865404974206
GBP_JPY,2.0,2,20,19018,99.91061100010516,22.55248879452568,24.141656662663618,2.119045115154065,-217711.22,-570.7549,49.857865404974206
GBP_JPY,2.0,3,5,19018,99.77915658849511,72.86841116814368,71.59221809803714,27.52655379114523,-146268.12,-383.45865,49.857865404974206
GBP_JPY,2.0,3,8,19018,99.77915658849511,58.25716789783033,57.75630359656611,15.275002629088233,-160985.53,-422.042,49.857865404974206
GBP_JPY,2.0,3,10,19018,99.77915658849511,50.02504069111994,49.74401638294831,10.469029340624672,-170119.28,-445.98718,49.857865404974206
GBP_JPY,2.0,3,15,19018,99.77915658849511,33.47940403154917,34.42339690259603,4.19076664212851,-190267.72,-498.80862,49.857865404974206
GBP_JPY,2.0,3,20,19018,99.77915658849511,21.891824214346943,23.684884167411766,1.7194237038595013,-205490.94,-538.718,49.857865404974206
GBP_JPY,2.0,5,5,19018,98.70123041329268,70.36073412558397,70.52325581394837,18.598170154590388,-133654.25,-350.38992,49.857865404974206
GBP_JPY,2.0,5,8,19018,98.70123041329268,56.19154771112748,56.48982558139124,10.469029340624672,-147163.19,-385.80515,49.857865404974206
GBP_JPY,2.0,5,10,19018,98.70123041329268,47.6478447366537,48.35755813953137,6.9197602271532235,-159074.11,-417.031,49.857865404974206
GBP_JPY,2.0,5,15,19018,98.70123041329268,31.565993952603083,33.64098837209058,2.9813860553160163,-174391.72,-457.18787,49.857865404974206
GBP_JPY,2.0,5,20,19018,98.70123041329268,21.1377540257351,23.590116279068052,1.2461878220633085,-186656.97,-489.34262,49.857865404974206
GBP_JPY,2.0,7,5,19018,95.26238300557367,69.31599229286533,69.41343109481174,12.561783573456726,-118068.57,-309.53027,49.857865404974206
GBP_JPY,2.0,7,8,19018,95.26238300557367,54.399486191389336,55.44075987334982,6.9197602271532235,-134098.94,-351.55573,49.857865404974206
GBP_JPY,2.0,7,10,19018,95.26238300557367,46.274887604363656,48.03366105648658,4.895362288358397,-140170.62,-367.47333,49.857865404974206
GBP_JPY,2.0,7,15,19018,95.26238300557367,30.70006422607332,33.51108148641614,2.119045115154065,-154046.73,-403.85117,49.857865404974206
GBP_JPY,2.0,7,20,19018,95.26238300557367,20.295439948617506,23.321113147806756,0.8833736460195604,-166736.56,-437.119,49.857865404974206
GBP_JPY,2.0,10,5,19018,85.0404879587759,67.71936837896585,68.56966199504652,6.9197602271532235,-100439.2,-263.31287,49.857865404974206
GBP_JPY,2.0,10,8,19018,85.0404879587759,53.447931241249904,55.43075020609486,4.19076664212851,-108676.72,-284.90845,49.857865404974206
GBP_JPY,2.0,10,10,19018,85.0404879587759,44.86308215070508,47.701978565535065,2.9813860553160163,-115756.81,-303.46973,49.857865404974206
GBP_JPY,2.0,10,15,19018,85.0404879587759,30.04197481510793,33.450123660342804,1.2461878220633085,-128022.07,-335.6245,49.857865404974206
GBP_JPY,2.0,10,20,19018,85.0404879587759,19.58824705176698,23.382110469906905,0.5573667052266273,-139393.84,-365.43692,49.857865404974206
GBP_JPY,2.5,2,5,16351,99.88991498990887,73.73369938228733,72.3393888772832,33.741055592930095,-140815.64,-369.16434,42.866019415119005
GBP_JPY,2.5,2,8,16351,99.88991498990887,59.986273164031566,58.599568455484196,19.15479175585591,-154258.03,-404.4051,42.866019415119005
GBP_JPY,2.5,2,10,16351,99.88991498990887,51.64035689773152,50.79000487227321,12.983915356858908,-162769.12,-426.7179,42.866019415119005
GBP_JPY,2.5,2,15,16351,99.88991498990887,34.42004118050553,35.776432101340866,5.100605467555501,-180530.36,-473.281,42.866019415119005
GBP_JPY,2.5,2,20,16351,99.88991498990887,23.040494166093133,25.25231433145227,2.1405418628830044,-191427.6,-501.84937,42.866019415119005
GBP_JPY,2.5,3,5,16351,99.7737141459238,72.96473661296815,72.29157378510386,28.157299247752434,-132028.16,-346.12692,42.866019415119005
GBP_JPY,2.5,3,8,16351,99.7737141459238,59.09882455376149,58.64913062861802,15.888936456485842,-144408.44,-378.58325,42.866019415119005
GBP_JPY,2.5,3,10,16351,99.7737141459238,50.638514003769366,50.705899836524694,10.690477646627118,-153027.11,-401.1781,42.866019415119005
GBP_JPY,2.5,3,15,16351,99.7737141459238,33.92105645044015,35.68880962995723,4.226041220720445,-169566.81,-444.53882,42.866019415119005
GBP_JPY,2.5,3,20,16351,99.7737141459238,22.275431722535025,24.996284737700623,1.8041709987156749,-181371.34,-475.48575,42.866019415119005
GBP_JPY,2.5,5,5,16351,98.72179071616415,71.23064384677495,70.81931359353374,19.15479175585591,-120078.14,-314.79858,42.866019415119005
GBP_JPY,2.5,5,8,16351,98.72179071616415,56.87856560716733,57.40242261103151,10.690477646627118,-131689.69,-345.2396,42.866019415119005
GBP_JPY,2.5,5,10,16351,98.72179071616415,48.37815810920551,49.999999999995794,7.430738181151001,-139045.47,-364.52362,42.866019415119005
GBP_JPY,2.5,5,15,16351,98.72179071616415,31.882640586794466,35.01009421264847,2.9906427741422545,-153335.47,-401.98648,42.866019415119005
GBP_JPY,2.5,5,20,16351,98.72179071616415,21.58924205378797,24.74764468371259,1.3332517888814142,-163428.92,-428.44763,42.866019415119005
GBP_JPY,2.5,7,5,16351,95.52320958962754,70.03630270873406,70.21071875300007,12.983915356858908,-105268.99,-275.9747,42.866019415119005
GBP_JPY,2.5,7,8,16351,95.52320958962754,55.254584380521706,57.19234099874365,7.430738181151001,-115725.23,-303.38693,42.866019415119005
GBP_JPY,2.5,7,10,16351,95.52320958962754,46.68156008563281,49.456364860959354,5.100605467555501,-123030.2,-322.53775,42.866019415119005
GBP_JPY,2.5,7,15,16351,95.52320958962754,31.248254677461485,34.90811122870827,2.1405418628830044,-133927.45,-351.10614,42.866019415119005
GBP_JPY,2.5,7,20,16351,95.52320958962754,20.96248720096612,24.4876359087824,0.9173750840927161,-145219.75,-380.7102,42.866019415119005
GBP_JPY,2.5,10,5,16351,85.78680203045685,67.917620137292,70.60220928850569,7.430738181151001,-86016.44,-225.50194,42.866019415119005
GBP_JPY,2.5,10,8,16351,85.78680203045685,53.489702517156346,57.049530823131356,4.226041220720445,-95200.34,-249.5786,42.866019415119005
GBP_JPY,2.5,10,10,16351,85.78680203045685,44.759725400452545,49.435799976238336,2.9906427741422545,-100306.44,-262.9648,42.866019415119005
GBP_JPY,2.5,10,15,16351,85.78680203045685,30.30892448512239,34.94476778714397,1.3332517888814142,-110399.875,-289.4259,42.866019415119005
GBP_JPY,2.5,10,20,16351,85.78680203045685,20.228832951942767,24.52785366432777,0.611583389395144,-120161.16,-315.01624,42.866019415119005
GBP_JPY,3.0,2,5,13106,99.90843888295437,74.85675190284145,72.97531398873339,35.64779490309782,-113838.63,-298.441,34.35888021861352
GBP_JPY,3.0,2,8,13106,99.90843888295437,60.95954844778406,59.41100043308277,20.189226308560965,-125168.66,-328.14395,34.35888021861352
GBP_JPY,3.0,2,10,13106,99.90843888295437,52.57846574873406,51.381550454737855,13.520524950404395,-133548.06,-350.11154,34.35888021861352
GBP_JPY,3.0,2,15,13106,99.90843888295437,36.07286410672744,36.51797314854599,5.623378605218984,-146166.31,-383.1917,34.35888021861352
GBP_JPY,3.0,2,20,13106,99.90843888295437,23.99726331993295,26.16717193590072,2.327178391576377,-157442.56,-412.7537,34.35888021861352
GBP_JPY,3.0,3,5,13106,99.77872730047307,73.95185285365847,72.92222733547419,29.71158248130627,-107347.5,-281.42377,34.35888021861352
GBP_JPY,3.0,3,8,13106,99.77872730047307,59.5167252727383,59.18085595949755,16.633602929955746,-119567.94,-313.46103,34.35888021861352
GBP_JPY,3.0,3,10,13106,99.77872730047307,51.98809845820467,51.37597791071777,11.445139630703496,-125306.56,-328.5055,34.35888021861352
GBP_JPY,3.0,3,15,13106,99.77872730047307,35.100531962849594,36.59456971927873,4.738287807111247,-138558.53,-363.24704,34.35888021861352
GBP_JPY,3.0,3,20,13106,99.77872730047307,23.135875935441067,25.651173492864643,1.9914542957424082,-150731.38,-395.15955,34.35888021861352
