pair,direction,signal_idx,entry_idx,exit_idx,entry_ts,exit_ts,entry_fill,exit_fill,atr_e,gross_pips,spread_rt_pips,carry_pips,net_pips,exit_reason,arm
AUD_USD,1,2037,2038,2041,2008-09-01 00:00:00+00:00,2008-09-04 00:00:00+00:00,0.8504700000000001,0.810900006952374,0.009767498261906519,-395.69993047626093,6.099999999999994,4.801415514321292,-390.89851496193967,sl,composite
EUR_USD,1,2073,2074,2079,2008-09-01 00:00:00+00:00,2008-09-07 00:00:00+00:00,1.461885,1.4125407927911429,0.01231105180221432,-493.44207208857233,1.7500000000003624,2.7783260821917812,-490.66374600638056,sl,composite
GBP_USD,1,2108,2109,2110,2008-10-27 00:00:00+00:00,2008-10-28 00:00:00+00:00,1.55565,1.619944927981559,0.03239746399077948,642.94927981559,10.999999999999899,1.281772695890411,644.2310525114804,tp,composite
GBP_USD,1,2126,2127,2134,2008-11-16 00:00:00+00:00,2008-11-24 00:00:00+00:00,1.4649,1.5336419330390199,0.03457096651950986,687.4193303901976,8.00000000000023,6.072845564931507,693.4921759551291,tp,composite
USD_JPY,1,2405,2406,2413,2009-09-13 00:00:00+00:00,2009-09-20 00:00:00+00:00,90.3055,91.8696897787691,0.7870948893845476,156.4189778769105,1.749999999999119,0.19798795342465764,156.61696583033515,tp,composite
GBP_USD,1,2426,2427,2429,2009-10-12 00:00:00+00:00,2009-10-14 00:00:00+00:00,1.57994,1.604148071740259,0.01219153587012961,242.08071740259072,3.750000000000142,0.24023830794520554,242.32095571053594,tp,composite
EUR_USD,1,2512,2513,2522,2009-12-20 00:00:00+00:00,2009-12-30 00:00:00+00:00,1.4313600000000002,1.43202,0.010605530213591799,6.599999999998829,5.899999999999794,0.38256860273972604,6.982568602738555,timecap,composite
GBP_USD,1,2562,2563,2572,2010-02-28 00:00:00+00:00,2010-03-09 00:00:00+00:00,1.515835,1.4975650000000003,0.011863914288562191,-182.69999999999786,3.4999999999985043,0.9399544065753423,-181.76004559342252,timecap,composite
USD_JPY,-1,2630,2631,2633,2010-05-03 00:00:00+00:00,2010-05-05 00:00:00+00:00,94.529,93.2361065330722,0.6539467334638936,129.28934669277936,2.400000000000091,-0.10121357260273972,129.18813312017662,tp,composite
USD_JPY,1,2781,2782,2791,2010-10-11 00:00:00+00:00,2010-10-21 00:00:00+00:00,82.079,81.32,0.5989859697003876,-75.90000000000003,5.90000000000046,0.5096192164383562,-75.39038078356168,timecap,composite
AUD_USD,-1,2911,2912,2913,2011-04-10 00:00:00+00:00,2011-04-11 00:00:00+00:00,1.0564749999999998,1.0414187229901732,0.00760313850491335,150.5627700982659,2.7500000000002522,0.0,150.5627700982659,tp,composite
GBP_USD,-1,2967,2968,2969,2011-05-01 00:00:00+00:00,2011-05-02 00:00:00+00:00,1.671265,1.654238529607972,0.00860073519601397,170.2647039202798,3.4999999999996145,0.0,170.2647039202798,tp,composite
NZD_USD,-1,2880,2881,2890,2011-07-25 00:00:00+00:00,2011-08-03 00:00:00+00:00,0.8638600000000001,0.83656,0.007350578829008466,273.000000000001,4.999999999999449,-5.0288082739726025,267.9711917260284,timecap,composite
AUD_USD,1,3086,3087,3094,2011-10-02 00:00:00+00:00,2011-10-09 00:00:00+00:00,0.96688,0.9928557280273134,0.013062864013656717,259.75728027313403,11.499999999999844,6.243989383561642,266.0012696566957,tp,composite
USD_CHF,-1,3183,3184,3186,2011-11-27 00:00:00+00:00,2011-11-29 00:00:00+00:00,0.92774,0.9116287565501588,0.008130621724920599,161.1124344984116,2.9999999999996696,-0.03207203615671233,161.0803624622549,tp,composite
EUR_USD,1,3354,3355,3363,2012-05-06 00:00:00+00:00,2012-05-14 00:00:00+00:00,1.30158,1.2735033207548567,0.006996669811285834,-280.7667924514323,1.80000000000069,0.2132349589041096,-280.5535574925282,sl,composite
EUR_USD,1,3416,3417,3426,2012-07-08 00:00:00+00:00,2012-07-17 00:00:00+00:00,1.22649,1.2282600000000001,0.009290296176113776,17.700000000000493,1.80000000000069,-0.2822227397260274,17.417777260274466,timecap,composite
USD_CHF,-1,3393,3394,3403,2012-07-08 00:00:00+00:00,2012-07-17 00:00:00+00:00,0.9792099999999999,0.97803,0.007050240399664064,11.799999999999589,3.0000000000002247,-0.6151301477347952,11.184869852264793,timecap,composite
NZD_USD,-1,3361,3362,3371,2012-12-10 00:00:00+00:00,2012-12-20 00:00:00+00:00,0.83453,0.82362,0.0038956582471917764,109.09999999999975,9.800000000000363,-5.04130997260274,104.058690027397,timecap,composite
USD_JPY,-1,3584,3585,3594,2013-01-27 00:00:00+00:00,2013-02-06 00:00:00+00:00,91.036,93.6375,0.8005295221130121,-260.15000000000015,1.950000000000074,-0.19177308493150685,-260.3417730849317,timecap,composite
USD_JPY,-1,3620,3621,3626,2013-03-11 00:00:00+00:00,2013-03-17 00:00:00+00:00,96.275,94.36182100014058,0.9638394999297089,191.31789998594257,2.049999999999841,-0.21308120547945208,191.10481878046312,tp,composite
AUD_USD,1,3634,3635,3644,2013-05-27 00:00:00+00:00,2013-06-09 00:00:00+00:00,0.96369,0.9458,0.010216860970018556,-178.90000000000072,8.800000000000473,7.16676521917808,-171.73323478082264,timecap,composite
AUD_USD,1,3663,3664,3673,2013-07-07 00:00:00+00:00,2013-07-18 00:00:00+00:00,0.905545,0.916655,0.013339770170670777,111.09999999999953,6.799999999999584,6.081931643835615,117.18193164383514,timecap,composite
USD_JPY,-1,3708,3709,3712,2013-07-07 00:00:00+00:00,2013-07-10 00:00:00+00:00,101.2525,98.45686772310125,1.4045661384493688,279.56322768987434,2.599999999999625,-0.0266351506849315,279.5365925391894,tp,composite
USD_JPY,-1,3799,3800,3809,2013-11-11 00:00:00+00:00,2013-11-24 00:00:00+00:00,99.144,101.6855,0.7625267100163237,-254.14999999999992,2.3500000000005627,-0.10210141095890406,-254.25210141095883,timecap,composite
USD_JPY,-1,3819,3820,3829,2013-12-09 00:00:00+00:00,2013-12-22 00:00:00+00:00,103.269,104.1175,0.7862957215645615,-84.85000000000014,2.5500000000000966,-0.10654060273972597,-84.95654060273986,timecap,composite
USD_CAD,-1,3801,3802,3811,2014-01-19 00:00:00+00:00,2014-01-30 00:00:00+00:00,1.0962699999999999,1.1136,0.007164201783753353,-173.30000000000067,8.299999999999974,3.6216769514321268,-169.67832304856853,timecap,composite
GBP_USD,-1,3901,3902,3911,2014-04-22 00:00:00+00:00,2014-05-05 00:00:00+00:00,1.68222,1.697705,0.007028944162817503,-154.8499999999997,2.849999999999797,-1.5633845632876713,-156.4133845632874,timecap,composite
AUD_USD,1,4026,4027,4036,2014-11-30 00:00:00+00:00,2014-12-11 00:00:00+00:00,0.847215,0.82369,0.009668890303554433,-235.25000000000017,11.149999999999771,5.443233493150684,-229.8067665068495,timecap,composite
USD_JPY,1,4170,4171,4180,2015-04-20 00:00:00+00:00,2015-05-03 00:00:00+00:00,119.2165,120.0945,0.8721340692816062,87.80000000000001,4.400000000000404,0.4084056438356164,88.20840564383563,timecap,composite
USD_CHF,1,4181,4182,4184,2015-05-14 00:00:00+00:00,2015-05-18 00:00:00+00:00,0.91295,0.937666883154533,0.012488441577266493,247.16883154532908,9.399999999999963,0.4173095436328767,247.58614108896197,tp,composite
NZD_USD,1,4036,4037,4046,2015-06-28 00:00:00+00:00,2015-07-09 00:00:00+00:00,0.683915,0.67025,0.00882839853609341,-136.65000000000038,21.950000000000024,6.280540849315067,-130.36945915068532,timecap,composite
USD_JPY,1,4297,4298,4303,2015-10-14 00:00:00+00:00,2015-10-21 00:00:00+00:00,118.84349999999999,120.61484759238289,0.893923796191441,177.13475923828952,3.3999999999991815,0.1553717123287671,177.29013095061828,tp,composite
