is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p,n_filtered,pair,strategy,filter,nc,dm
0.13,1.0,12,0.4,0.03,0.67,3,3.0,0.982,112,,11,AUD_JPY,PriceMom,nc2_dm2.5,2,2.5
1.78,1.0,149,2.51,0.03,0.71,3,0.98,1.0,37,0.0,211,EUR_USD,PriceMom,nc2_dm2.5,2,2.5
0.95,0.99,96,2.55,0.6,0.56,3,0.27,1.0,13,0.0,102,EUR_GBP,PriceMom,nc2_dm2.5,2,2.5
1.35,1.0,131,1.14,3.44,1.28,3,0.61,1.0,23,0.0,174,AUD_USD,PriceMom,nc2_dm2.5,2,2.5
0.07,1.0,7,0.2,0.02,0.43,3,1.85,0.988,83,,9,NZD_JPY,PriceMom,nc2_dm2.5,2,2.5
0.07,1.0,9,0.21,0.35,0.03,3,1.22,1.0,46,,7,CHF_JPY,PriceMom,nc2_dm2.5,2,2.5
1.82,1.0,193,1.94,0.39,0.79,3,1.17,1.0,47,0.0,211,NZD_USD,PriceMom,nc2_dm2.5,2,2.5
0.11,1.0,11,0.33,0.05,1.31,3,1.88,1.0,84,,15,CAD_JPY,PriceMom,nc2_dm2.5,2,2.5
0.19,1.0,19,0.56,1.49,0.34,3,3.0,0.983,115,,15,GBP_JPY,PriceMom,nc2_dm3.0,2,3.0
0.23,1.0,23,0.7,0.27,1.21,3,1.87,1.0,66,0.0,19,USD_JPY,PriceMom,nc2_dm3.0,2,3.0
0.11,1.0,12,0.32,0.25,0.12,3,1.36,1.0,51,,10,EUR_JPY,PriceMom,nc2_dm3.0,2,3.0
1.07,1.0,104,0.61,0.28,3.36,3,1.47,1.0,58,0.0,146,GBP_USD,PriceMom,nc2_dm3.0,2,3.0
0.13,1.0,12,0.4,0.03,0.67,3,3.32,0.984,123,,11,AUD_JPY,PriceMom,nc2_dm3.0,2,3.0
0.63,1.0,55,1.88,0.03,0.72,3,0.88,1.0,33,0.0,63,EUR_USD,PriceMom,nc2_dm3.0,2,3.0
0.89,0.979,96,0.31,0.68,1.83,3,0.3,1.0,14,0.0,83,EUR_GBP,PriceMom,nc2_dm3.0,2,3.0
1.43,1.0,138,1.14,3.69,1.31,3,0.64,1.0,24,0.0,157,AUD_USD,PriceMom,nc2_dm3.0,2,3.0
0.06,1.0,6,0.17,0.02,0.14,3,1.91,0.988,86,,6,NZD_JPY,PriceMom,nc2_dm3.0,2,3.0
0.15,1.0,17,0.46,0.29,0.03,3,1.2,1.0,46,,9,CHF_JPY,PriceMom,nc2_dm3.0,2,3.0
1.7,1.0,179,1.72,0.08,0.79,3,1.19,1.0,49,0.0,181,NZD_USD,PriceMom,nc2_dm3.0,2,3.0
0.12,1.0,12,0.35,0.05,1.33,3,1.91,1.0,84,,10,CAD_JPY,PriceMom,nc2_dm3.0,2,3.0
0.21,1.0,23,0.64,1.28,0.37,3,3.82,0.986,141,0.0,26,GBP_JPY,PriceMom,nc3_dm2.0,3,2.0
0.24,1.0,24,0.72,0.26,1.66,3,1.04,1.0,36,0.0,11,USD_JPY,PriceMom,nc3_dm2.0,3,2.0
0.1,1.0,11,0.3,0.56,0.21,3,1.46,1.0,53,,6,EUR_JPY,PriceMom,nc3_dm2.0,3,2.0
1.24,0.991,117,0.46,1.09,4.2,3,2.89,1.0,118,0.0,146,GBP_USD,PriceMom,nc3_dm2.0,3,2.0
0.13,1.0,12,0.4,0.24,0.99,3,2.1,0.988,84,,11,AUD_JPY,PriceMom,nc3_dm2.0,3,2.0
0.55,1.0,46,1.66,0.03,0.71,3,0.93,1.0,35,0.0,47,EUR_USD,PriceMom,nc3_dm2.0,3,2.0
0.86,1.0,85,0.24,0.58,0.54,3,0.27,1.0,13,0.0,61,EUR_GBP,PriceMom,nc3_dm2.0,3,2.0
1.83,1.0,177,1.12,3.8,1.73,3,0.69,1.0,26,0.0,151,AUD_USD,PriceMom,nc3_dm2.0,3,2.0
0.06,1.0,8,0.18,0.02,0.38,3,1.9,0.988,82,,3,NZD_JPY,PriceMom,nc3_dm2.0,3,2.0
0.07,1.0,9,0.21,0.29,0.02,3,1.35,1.0,51,,4,CHF_JPY,PriceMom,nc3_dm2.0,3,2.0
1.92,0.995,200,1.91,0.34,0.57,3,0.06,1.0,2,0.0,150,NZD_USD,PriceMom,nc3_dm2.0,3,2.0
0.13,1.0,13,0.39,0.05,0.93,3,1.07,0.981,53,,6,CAD_JPY,PriceMom,nc3_dm2.0,3,2.0
0.23,1.0,25,0.7,1.28,0.37,3,3.23,0.984,124,0.0,25,GBP_JPY,PriceMom,nc3_dm2.5,3,2.5
0.24,1.0,24,0.72,0.21,1.63,3,1.04,1.0,36,0.0,11,USD_JPY,PriceMom,nc3_dm2.5,3,2.5
