pair,window,thr,n_is,n_oos,ic_is,t_is,ic_oos,t_oos,acc_is,acc_oos,stickiness,bull_pct,side_pct,bear_pct
GBP_JPY,5,0.001,1113,515,-0.000977804508696349,-0.03259186948886052,-0.13040514335723885,-2.9790504623442993,0.5072463768115942,0.48349514563106794,0.5447052735892305,53.170447934845846,8.144269924374637,38.68528214077953
GBP_JPY,5,0.002,1113,515,-0.010434045480732531,-0.3478030585678119,-0.1123814010217511,-2.561610343639438,0.5064456721915286,0.47572815533980584,0.587596199161621,48.80744618964514,16.52123327515998,34.67132053519488
GBP_JPY,5,0.005,1113,515,-0.016545248836309534,-0.5515562165563631,-0.08053686852989016,-1.830064796765406,0.5130278526504941,0.5067961165048543,0.6835047471207171,36.12565445026178,39.09249563699825,24.781849912739965
GBP_JPY,5,0.01,1113,515,-0.05584454256760995,-1.8643009622423528,-0.10570553263604951,-2.4076668219217097,0.5157232704402516,0.516504854368932,0.7019372676558305,19.429901105293776,66.60849331006399,13.961605584642234
GBP_JPY,10,0.001,1109,514,-0.006361488482819548,-0.21166124361506894,-0.09955220099909778,-2.2638552262709384,0.5058611361587015,0.48443579766536965,0.610762153528986,57.17619603267211,5.717619603267211,37.10618436406068
GBP_JPY,10,0.002,1109,514,-0.006339115109416166,-0.2109168004409763,-0.11857714006489599,-2.7021585466252764,0.5049594229035167,0.4961089494163424,0.6666262596243709,53.733955659276546,11.960326721120186,34.305717619603264
GBP_JPY,10,0.005,1109,514,-0.019281404095333247,-0.6416426316867272,-0.11842614511267754,-2.6986686689032613,0.5085662759242561,0.5,0.7211923669915882,46.032672112018666,26.254375729288213,27.712952158693117
GBP_JPY,10,0.01,1109,514,-0.058214007916190996,-1.94016401238397,-0.1517269669167437,-3.4734028669795673,0.5103697024346258,0.5077821011673151,0.7673823482627453,31.621936989498252,49.941656942823805,18.436406067677947
GBP_JPY,20,0.001,1102,511,-0.024649434237427503,-0.8177777230174558,-0.08028024649004409,-1.8170698145617556,0.5127041742286751,0.5009784735812133,0.6346069918778733,61.09154929577465,3.5798122065727704,35.328638497652584
GBP_JPY,20,0.002,1102,511,-0.030940002370167634,-1.0266553066234414,-0.08423014975486043,-1.9070959923781308,0.5155393053016454,0.49902152641878667,0.6798947170419251,59.27230046948356,6.690140845070422,34.037558685446015
GBP_JPY,20,0.005,1102,511,-0.05840648567512756,-1.940436533148567,-0.09726172383816709,-2.2047777140237472,0.5027322404371585,0.4931506849315068,0.7587918534876977,52.816901408450704,17.194835680751176,29.988262910798124
GBP_JPY,20,0.01,1102,511,-0.0359014181344264,-1.191483440067648,-0.08482245979297766,-1.920603619508564,0.5101102941176471,0.512720156555773,0.8131368696464255,41.60798122065727,35.563380281690144,22.82863849765258
USD_JPY,5,0.001,1113,515,-0.04646499248336977,-1.5504302295001515,-0.08716196245768261,-1.9817172677252444,0.5153429602888087,0.47953216374269003,0.5905587981998504,53.22862129144852,8.493310063990691,38.27806864456079
USD_JPY,5,0.002,1113,515,-0.036605383937803486,-1.2209367279066372,-0.07831300215178034,-1.7792148889266002,0.5167420814479639,0.5009823182711198,0.6152958476455287,48.981966259453166,15.997673065735892,35.02036067481094
USD_JPY,5,0.005,1113,515,-0.06856910379985594,-2.2909144754712956,-0.04741675552362132,-1.0751753256592644,0.5341219290263877,0.5359223300970873,0.6849365690594972,37.347294938917976,37.46364165212333,25.189063408958695
USD_JPY,5,0.01,1113,515,-0.03149820697944802,-1.0504089384417241,-0.0503887757769085,-1.1427323807271101,0.5554545454545454,0.5475728155339806,0.7024135226786048,20.709714950552645,65.27050610820244,14.019778941244908
USD_JPY,10,0.001,1109,514,-0.02701579231380729,-0.8991870898253839,-0.0517183452759335,-1.1718208000400965,0.5212285456187895,0.4961089494163424,0.6338287082796396,58.343057176196034,6.359393232205369,35.297549591598596
USD_JPY,10,0.002,1109,514,-0.021306850624716576,-0.7090741857589377,-0.06331630058165105,-1.4355647823534594,0.5273722627737226,0.4980544747081712,0.6631712686590735,54.66744457409568,11.960326721120186,33.37222870478413
USD_JPY,10,0.005,1109,514,0.000495740305684592,0.016494079900460482,-0.03455380320442492,-0.7823304911983253,0.5584768812330009,0.5233463035019456,0.764491802471857,44.98249708284714,28.52975495915986,26.487747957992998
USD_JPY,10,0.01,1109,514,-0.012145955324131055,-0.40414529449384573,-0.03470651255777369,-0.7857921346114176,0.5633546034639927,0.5389105058365758,0.796720742543792,31.505250875145858,50.35005834305718,18.144690781796964
USD_JPY,20,0.001,1102,511,-0.01781272101946469,-0.590874868844152,-0.05515776459871114,-1.246313213342122,0.553133514986376,0.4911937377690802,0.659603914031813,61.09154929577465,3.403755868544601,35.50469483568075
USD_JPY,20,0.002,1102,511,-0.023517335126548834,-0.7801975466754235,-0.05049872588212645,-1.1407586510024552,0.5527039413382218,0.4931506849315068,0.7121529303963855,58.86150234741784,7.276995305164319,33.86150234741784
USD_JPY,20,0.005,1102,511,-0.016333644541830714,-0.541797981448668,-0.039147987699740254,-0.8838964342068689,0.55188246097337,0.5107632093933464,0.7831319414321417,52.52347417840375,18.485915492957748,28.9906103286385
USD_JPY,20,0.01,1102,511,0.0183556986120822,0.6088922367926661,-0.036793273747000116,-0.830656530898561,0.5645454545454546,0.5225048923679061,0.840586802218306,41.60798122065727,36.267605633802816,22.124413145539908
EUR_JPY,5,0.001,1113,515,0.015187489251800683,0.5062827215223601,-0.05619454041815893,-1.2747928076656208,0.5336927223719676,0.47572815533980584,0.5752430028781793,50.959860383944154,9.307737056428156,39.73240255962769
EUR_JPY,5,0.002,1113,515,0.021135993745290103,0.7046553103032862,-0.09548436867451739,-2.172600287903094,0.5309973045822103,0.44660194174757284,0.6149571008835778,46.77137870855148,18.1500872600349,35.07853403141361
EUR_JPY,5,0.005,1113,515,-0.015234123605276116,-0.5078376618615124,-0.11854906566226461,-2.704146567437087,0.5132662397072278,0.49902912621359224,0.683232768754714,34.96218731820826,41.12856311809192,23.909249563699824
EUR_JPY,5,0.01,1113,515,-0.010221490806859959,-0.34071712332041504,-0.0973076498167939,-2.2144790787426314,0.5327102803738317,0.5106796116504855,0.6964091522474646,17.684700407213498,69.74985456660849,12.56544502617801
EUR_JPY,10,0.001,1109,514,-0.0425169998076653,-1.415889342637419,-0.08007683219073272,-1.8177692868541298,0.516245487364621,0.486328125,0.6345405489384675,56.184364060676785,5.950991831971995,37.864644107351225
EUR_JPY,10,0.002,1109,514,-0.02927707351628601,-0.9745130979405465,-0.08276867632961858,-1.8792895975247002,0.5220919747520288,0.49416342412451364,0.6798893707544198,53.15052508751459,11.31855309218203,35.530921820303384
EUR_JPY,10,0.005,1109,514,-0.05016344353815564,-1.671122411971328,-0.08653411835077798,-1.9654160767787567,0.5302073940486925,0.4980544747081712,0.7443148431141505,43.115519253208866,29.404900816802797,27.47957992998833
EUR_JPY,10,0.01,1109,514,-0.03806703910855024,-1.2674703390035877,-0.06717063208997562,-1.523338357904792,0.5388127853881278,0.4961089494163424,0.7689563961927405,28.121353558926486,54.25904317386231,17.6196032672112
EUR_JPY,20,0.001,1102,511,-0.054755366077326846,-1.8187585475941215,-0.048612719294712975,-1.0980511607128418,0.5040946314831665,0.498015873015873,0.641622338576258,59.74178403755869,4.812206572769953,35.44600938967136
EUR_JPY,20,0.002,1102,511,-0.05603494869354411,-1.8613936064876677,-0.06148909646591564,-1.3898872552114705,0.5045372050816697,0.49902152641878667,0.6751698938412004,57.68779342723005,9.272300469483568,33.039906103286384
EUR_JPY,20,0.005,1102,511,-0.062162561306121,-2.065693892335511,-0.05470100105377151,-1.2359613420669036,0.5041246562786434,0.5019685039370079,0.7870067498364985,51.34976525821596,21.948356807511736,26.7018779342723
EUR_JPY,20,0.01,1102,511,-0.054256316859206725,-1.8021329227674892,0.005759156194325703,0.12993464099168306,0.5009416195856874,0.5225048923679061,0.8195242622369626,39.7887323943662,39.37793427230047,20.833333333333336
AUD_JPY,5,0.001,1113,515,-0.04367346837708178,-1.4570997670953314,-0.09770611140627747,-2.223634291218864,0.4950584007187781,0.45436893203883494,0.5625056095528723,52.47236765561373,7.271669575334497,40.25596276905177
AUD_JPY,5,0.002,1113,515,-0.033743046621217035,-1.1253528228899239,-0.10650713737521425,-2.4261337597589567,0.49865229110512127,0.45048543689320386,0.5852640409345448,49.44735311227458,13.554392088423503,36.99825479930192
AUD_JPY,5,0.005,1113,515,-0.062264909564316163,-2.0794280094216315,-0.10114808208116301,-2.3027638168597564,0.4972924187725632,0.4912621359223301,0.6424366584396269,38.917975567190226,33.10063990692263,27.981384525887144
AUD_JPY,5,0.01,1113,515,-0.05692311593536199,-1.9004237373467592,-0.04908172727313202,-1.1130181917966464,0.5009124087591241,0.5262135922330097,0.689319416308061,22.920302501454334,60.44211751018034,16.637579988365328
AUD_JPY,10,0.001,1109,514,-0.018703473532866503,-0.6224035421405126,-0.13697937055676293,-3.128983447506782,0.5076645626690712,0.4591439688715953,0.5925742487216067,57.05950991831972,4.142357059509918,38.79813302217036
AUD_JPY,10,0.002,1109,514,-0.03174953365574985,-1.0568909109200457,-0.15736061220791892,-3.605585429979482,0.4895359417652411,0.4756335282651072,0.6129336398999321,53.967327887981334,9.626604434072346,36.406067677946325
AUD_JPY,10,0.005,1109,514,-0.04499557539716242,-1.498593010386721,-0.13530051042066876,-3.0899140391558273,0.5076923076923077,0.5136186770428015,0.7059482878273337,46.32438739789965,24.620770128354728,29.054842473745623
AUD_JPY,10,0.01,1109,514,-0.06016045340190915,-2.0052672153826454,-0.11097044823606263,-2.526579503230548,0.5130748422001803,0.5058365758754864,0.7384083346630727,32.847141190198364,46.32438739789965,20.828471411901983
AUD_JPY,20,0.001,1102,511,-0.037675761327123615,-1.2504514400631492,-0.018192236539545048,-0.4105034994553635,0.4959053685168335,0.49902152641878667,0.6292541109683967,58.68544600938967,3.873239436619718,37.441314553990615
AUD_JPY,20,0.002,1102,511,-0.046611580879995465,-1.547613363738619,-0.022614775922842723,-0.5103431192123655,0.49130832570905764,0.49902152641878667,0.671103914714977,56.983568075117375,6.866197183098592,36.15023474178404
AUD_JPY,20,0.005,1102,511,-0.03443486811945709,-1.1427530890708097,-0.01992348511523352,-0.4495835513093371,0.48850045998160074,0.5068493150684932,0.7439676375036465,51.701877934272304,16.784037558685448,31.514084507042256
AUD_JPY,20,0.01,1102,511,-0.03201897474895132,-1.062494036082369,-0.032849831154805914,-0.741526174495432,0.4924385633270321,0.49706457925636005,0.8099436401212193,43.251173708920184,32.57042253521127,24.178403755868544
