pair,arm,n,wr,gross,net_base,net_spread1p5,net_carry2p0,timeout_share
AUD_JPY,signal,47,0.44680851063829785,-13.40161693270648,-17.066688449902596,-18.511369300966408,-17.60432251985305,0.3404255319148936
AUD_JPY,coin,47,0.5957446808510638,16.982270425717164,13.997805939124367,12.553125088060561,13.434432529622766,0.3404255319148936
AUD_JPY,continuation,47,0.5531914893617021,13.40161693270648,10.193977386072882,8.749296535009071,9.637623796448867,0.3404255319148936
AUD_USD,signal,34,0.4411764705882353,-1.77393329763895,-3.7238045285012698,-4.544392763795444,-4.013657973706751,0.23529411764705882
AUD_USD,coin,34,0.4117647058823529,-4.341523105438665,-6.243618144520159,-7.06420637981433,-6.530779973287282,0.23529411764705882
AUD_USD,continuation,34,0.5588235294117647,1.77393329763895,-0.14767596062062333,-0.9682641959147913,-0.4469500633603482,0.23529411764705882
CAD_JPY,signal,47,0.46808510638297873,-5.397841138517317,-9.251375307421538,-10.956694456357742,-9.879090597832498,0.3404255319148936
CAD_JPY,coin,47,0.5319148936170213,8.040072755294604,4.3940894155083745,2.68877026657217,3.7425961744124834,0.3404255319148936
CAD_JPY,continuation,47,0.48936170212765956,5.397841138517317,1.2182610404438543,-0.4870581084923468,0.634138659621938,0.3404255319148936
CHF_JPY,signal,48,0.5,-7.335035773857463,-12.476763463881715,-14.563742630548404,-13.077957548160397,0.22916666666666666
CHF_JPY,coin,48,0.5625,17.27268919995254,12.340526137182183,10.25354697051549,11.66237024703878,0.22916666666666666
CHF_JPY,continuation,48,0.4791666666666667,7.335035773857463,2.7340541139957666,0.6470749473290738,1.9404555150552707,0.22916666666666666
EUR_GBP,signal,15,0.4,0.5640558272602327,-2.7091930075616966,-4.212526340895034,-2.9931383467763104,0.2
EUR_GBP,coin,15,0.5333333333333333,1.097213273029584,-2.2187156684955385,-3.7220490018288777,-2.5026610077101497,0.2
EUR_GBP,continuation,15,0.6,-0.5640558272602327,-3.871731450885812,-5.37506478421915,-4.155377236785353,0.2
EUR_JPY,signal,53,0.37735849056603776,-17.667643869686774,-21.777820608327456,-23.63253758945963,-22.636989269195887,0.2830188679245283
EUR_JPY,coin,53,0.4716981132075472,-7.6758576902708,-12.047041625448053,-13.901758606580227,-12.885675598335101,0.2830188679245283
EUR_JPY,continuation,53,0.5471698113207547,17.396720946203,12.448897663649168,10.594180682516996,11.668934227851802,0.2830188679245283
EUR_USD,signal,29,0.5172413793103449,1.3790690724187924,-1.201957072125211,-2.212301899711336,-1.46817637680164,0.27586206896551724
EUR_USD,coin,29,0.4482758620689655,7.787819688064415,5.312978497700857,4.302633670114732,5.0541121226418095,0.27586206896551724
EUR_USD,continuation,29,0.41379310344827586,-1.6029123823591007,-3.5681306714472716,-4.578475499033393,-3.806776490058513,0.27586206896551724
GBP_JPY,signal,66,0.4696969696969697,-5.699908767008544,-11.36438600135499,-13.642037516506624,-12.277194599113393,0.3181818181818182
GBP_JPY,coin,66,0.5303030303030303,9.442966718759493,4.361601855114582,2.083950339962949,3.440270826372369,0.3181818181818182
GBP_JPY,continuation,66,0.5,5.699908767008544,0.42816274523163106,-1.849488769920001,-0.4846458525267731,0.3181818181818182
GBP_USD,signal,44,0.45454545454545453,-4.416099166694166,-7.5487449077155215,-8.820335816806523,-8.077306563904811,0.22727272727272727
GBP_USD,coin,44,0.6136363636363636,23.67974346466356,20.632164324987155,19.360573415896155,20.117059004339584,0.22727272727272727
GBP_USD,continuation,44,0.5227272727272727,4.416099166694166,1.441141520417518,0.16955061132651716,0.9484634256728125,0.22727272727272727
NZD_JPY,signal,44,0.4318181818181818,-3.682482696096301,-9.284177742640377,-11.441564106276672,-9.843930859701398,0.25
NZD_JPY,coin,44,0.36363636363636365,-19.34740954525499,-24.226003831213767,-26.383390194850055,-24.80779673812535,0.25
NZD_JPY,continuation,44,0.5227272727272727,3.0984172971754536,-1.119466672469496,-3.27685303610579,-1.7497471170523098,0.25
NZD_USD,signal,30,0.7,25.694145490782827,23.04494066155918,21.860773994892565,22.778133576627678,0.3
NZD_USD,coin,30,0.6,10.442070013098453,7.84047581949125,6.656309152824635,7.548873698943307,0.3
NZD_USD,continuation,30,0.23333333333333334,-25.694145490782827,-28.332932237814685,-29.5170989044813,-28.61745006247222,0.3
USD_JPY,signal,49,0.5510204081632653,9.115363867169949,6.003062424117148,4.856123648606963,5.400084286655589,0.30612244897959184
USD_JPY,coin,49,0.5510204081632653,17.065749098048155,14.119745214849985,12.972806439339802,13.516767077388426,0.30612244897959184
USD_JPY,continuation,49,0.42857142857142855,-9.115363867169949,-11.798005903289559,-12.944944678799745,-12.402216142959675,0.30612244897959184
