pair,direction,rsi_at_signal,signal_ts,entry_ts,entry_px,exit_ts,exit_px,exit_reason,gross_pips,spread_rt_pips,carry_pips,net_base,net_spread1p5,net_carry2p0
AUD_JPY,1,6.54088050314536,2020-11-15 22:00:00+00:00,2020-11-16 22:00:00+00:00,76.555,2020-11-22 22:00:00+00:00,75.802,up_close,-75.30000000000001,7.30000000000004,-2.0963627260273974,-84.69636272602744,-88.34636272602746,-87.05592926027403
AUD_JPY,-1,92.9545489885089,2020-11-23 22:00:00+00:00,2020-11-24 22:00:00+00:00,76.874,2020-11-26 22:00:00+00:00,76.772,down_close,10.199999999998965,6.299999999999528,-1.308604849315068,2.5913951506843693,-0.5586048493153948,1.4582595068487532
AUD_JPY,-1,97.50420148106721,2020-12-09 22:00:00+00:00,2020-12-10 22:00:00+00:00,78.56,2020-12-13 22:00:00+00:00,78.524,down_close,3.6000000000001364,7.000000000000028,-0.32220841780821907,-3.722208417808111,-7.222208417808125,-4.005492328767015
AUD_JPY,-1,92.29405674576658,2020-12-16 22:00:00+00:00,2020-12-17 22:00:00+00:00,78.628,2020-12-21 22:00:00+00:00,78.382,down_close,24.59999999999951,11.149999999999949,-0.6444168356164381,12.805583164383124,7.23058316438315,12.239015342465317
AUD_JPY,-1,93.63256277685628,2020-12-29 22:00:00+00:00,2020-12-30 22:00:00+00:00,79.26,2021-01-04 22:00:00+00:00,79.03,down_close,23.000000000000398,5.499999999999261,-0.9610646095890408,16.538935390412096,13.788935390412465,15.689083657535384
AUD_JPY,-1,90.51236349358513,2021-01-05 22:00:00+00:00,2021-01-06 22:00:00+00:00,80.4,2021-01-11 22:00:00+00:00,80.226,down_close,17.40000000000066,7.700000000000529,-0.9582842876712326,8.741715712328897,4.891715712328634,7.891863979452186
AUD_JPY,-1,97.31722981326968,2021-02-04 22:00:00+00:00,2021-02-07 22:00:00+00:00,80.798,2021-02-09 22:00:00+00:00,80.924,down_close,-12.600000000000477,7.749999999999346,-0.6382383424657532,-20.98823834246558,-24.86323834246525,-21.554806164383386
AUD_JPY,-1,96.60919582978298,2021-02-14 22:00:00+00:00,2021-02-15 22:00:00+00:00,81.986,2021-02-17 22:00:00+00:00,82.061,down_close,-7.500000000000284,5.749999999999744,-1.2764766849315063,-14.526476684931534,-17.401476684931406,-15.659612328767151
AUD_JPY,-1,95.64672960759648,2021-02-18 22:00:00+00:00,2021-02-21 22:00:00+00:00,82.966,2021-02-25 22:00:00+00:00,83.689,down_close,-72.2999999999999,8.300000000000551,-1.9147150273972593,-82.51471502739771,-86.66471502739799,-84.21441849315113
AUD_JPY,-1,91.88170249923826,2021-03-09 22:00:00+00:00,2021-03-10 22:00:00+00:00,83.848,2021-03-16 21:00:00+00:00,84.428,down_close,-57.99999999999983,8.450000000000557,-1.2777123835616435,-67.72771238356204,-71.95271238356231,-68.86084802739765
AUD_JPY,1,2.969376182537502,2021-03-22 21:00:00+00:00,2021-03-23 21:00:00+00:00,82.787,2021-03-25 21:00:00+00:00,82.742,up_close,-4.5000000000001705,8.99999999999963,-1.4284676164383558,-14.928467616438157,-19.42846761643797,-16.50151197260254
AUD_JPY,-1,91.70290549581169,2021-03-30 21:00:00+00:00,2021-03-31 21:00:00+00:00,84.109,2021-04-04 21:00:00+00:00,84.215,down_close,-10.600000000000875,13.250000000000028,-0.6357669452054792,-24.485766945206382,-31.110766945206397,-25.05233476712419
AUD_JPY,-1,90.78101553598853,2021-04-04 21:00:00+00:00,2021-04-05 21:00:00+00:00,84.286,2021-04-06 21:00:00+00:00,84.102,down_close,18.39999999999975,14.049999999999585,-0.3178834726027396,4.0321165273974255,-2.9928834726023674,3.7488326164385213
AUD_JPY,1,7.44290025794659,2021-04-06 21:00:00+00:00,2021-04-07 21:00:00+00:00,83.615,2021-04-14 21:00:00+00:00,84.18,up_close,56.500000000001194,14.000000000000057,-2.510630691780822,39.98936930822032,32.98936930822029,37.23654168493265
AUD_JPY,-1,93.14855629620862,2021-04-14 21:00:00+00:00,2021-04-15 21:00:00+00:00,84.312,2021-04-18 21:00:00+00:00,84.085,down_close,22.700000000000387,11.950000000000216,-0.3178834726027396,10.432116527397431,4.457116527397323,10.148832616438527
AUD_JPY,-1,91.50460791476681,2021-04-27 21:00:00+00:00,2021-04-28 21:00:00+00:00,84.617,2021-04-29 21:00:00+00:00,84.597,down_close,2.000000000001023,6.8000000000004945,-0.3178834726027396,-5.117883472602211,-8.517883472602458,-5.4011673835611145
AUD_JPY,-1,91.59342930459917,2021-05-09 21:00:00+00:00,2021-05-10 21:00:00+00:00,85.241,2021-05-11 21:00:00+00:00,85.209,down_close,3.1999999999996476,11.300000000000665,-0.3194280958904109,-8.419428095891428,-14.06942809589176,-8.702712006850332
AUD_JPY,1,9.541395449921723,2021-05-18 21:00:00+00:00,2021-05-19 21:00:00+00:00,84.406,2021-05-20 21:00:00+00:00,84.578,up_close,17.199999999999704,8.899999999999864,-0.35711690410958896,7.942883095890252,3.49288309589032,7.549622006849156
AUD_JPY,-1,96.09540297387358,2021-05-26 21:00:00+00:00,2021-05-27 21:00:00+00:00,85.008,2021-05-30 21:00:00+00:00,84.715,down_close,29.299999999999216,14.999999999999147,-0.3194280958904109,13.980571904109658,6.480571904110084,13.697287993150754
AUD_JPY,1,8.312039695776718,2021-06-10 21:00:00+00:00,2021-06-13 21:00:00+00:00,84.486,2021-06-14 21:00:00+00:00,84.882,up_close,39.60000000000008,9.34999999999988,-0.3534098082191781,29.89659019178102,25.22159019178108,29.503329102739926
AUD_JPY,1,3.6641277117395674,2021-06-16 21:00:00+00:00,2021-06-17 21:00:00+00:00,83.22,2021-06-21 21:00:00+00:00,83.065,up_close,-15.500000000000114,11.44999999999996,-0.7068196164383562,-27.65681961643843,-33.38181961643841,-28.44334179452062
AUD_JPY,1,6.261551131686971,2021-06-28 21:00:00+00:00,2021-06-29 21:00:00+00:00,83.012,2021-06-30 21:00:00+00:00,83.31,up_close,29.800000000000182,7.9999999999998295,-1.0602294246575343,20.739770575342817,16.739770575342902,19.55998730821953
AUD_JPY,1,7.774562243887971,2021-07-06 21:00:00+00:00,2021-07-07 21:00:00+00:00,82.867,2021-07-11 21:00:00+00:00,82.428,up_close,-43.900000000000716,15.000000000000568,-0.7024946712328767,-59.60249467123416,-67.10249467123444,-60.389016849316356
AUD_JPY,1,7.05934338870739,2021-07-14 21:00:00+00:00,2021-07-15 21:00:00+00:00,81.628,2021-07-20 21:00:00+00:00,80.538,up_close,-109.00000000000034,12.350000000000705,-1.053742006849315,-122.40374200685036,-128.57874200685072,-123.58352527397365
AUD_JPY,-1,93.58723247868792,2021-08-04 21:00:00+00:00,2021-08-05 21:00:00+00:00,81.284,2021-08-08 21:00:00+00:00,81.207,down_close,7.700000000001239,12.250000000000227,-0.3246798150684931,-4.8746798150674815,-10.999679815067594,-5.157963726026385
AUD_JPY,1,5.720705630962186,2021-08-15 21:00:00+00:00,2021-08-16 21:00:00+00:00,80.186,2021-08-23 21:00:00+00:00,79.096,up_close,-109.00000000000034,10.500000000000398,-2.4630562945205474,-121.96305629452128,-127.21305629452148,-124.71588391780895
AUD_JPY,-1,93.29317282341746,2021-08-31 21:00:00+00:00,2021-09-01 21:00:00+00:00,81.1,2021-09-06 21:00:00+00:00,81.739,down_close,-63.900000000001,13.89999999999958,-0.9629181575342463,-78.76291815753483,-85.71291815753462,-79.61276989041154
AUD_JPY,1,8.254246406211735,2021-09-08 21:00:00+00:00,2021-09-09 21:00:00+00:00,80.844,2021-09-13 21:00:00+00:00,81.07,up_close,22.59999999999991,13.350000000000506,-0.7111445616438355,8.538855438355567,1.8638554383553148,7.752333260273376
AUD_JPY,1,6.403803672632165,2021-09-15 21:00:00+00:00,2021-09-16 21:00:00+00:00,79.953,2021-09-19 21:00:00+00:00,79.87,up_close,-8.29999999999984,9.75000000000037,-0.3555722808219178,-18.405572280822128,-23.280572280822312,-18.798833369863225
