pair,arm,n,wr,gross,net_base,net_spread1p5,net_carry2p0,timeout_share
PORTFOLIO,signal,506,0.4762845849802372,-3.3576198608049093,-7.30703939397744,-8.926011725993275,-7.893364672293332,0.2826086956521739
PORTFOLIO,coin,506,0.5197628458498024,7.225996521886831,3.5249057882844306,1.9059334562685932,2.9261054221329745,0.2826086956521739
PORTFOLIO,continuation,506,0.4901185770750988,3.265625298580747,-0.44436598044564846,-2.0633383124614846,-1.0415621862653317,0.2826086956521739
