pair,arm,direction,signal_ts,entry_ts,entry_px,exit_ts,exit_px,exit_reason,atr_e,gross_pips,spread_rt_pips,carry_pips,net_pips,hours_held,touches,vrel,net_base,net_spread1p5,net_carry2p0
AUD_JPY,signal,1,2021-01-17 22:00:00+00:00,2021-01-18 02:00:00+00:00,79.862,2021-01-20 02:00:00+00:00,80.034,timecap,0.25649683463312345,17.200000000001125,1.5500000000002956,-0.7142338082191779,14.935766191781653,48.0,1,1.0052494206720428,14.935766191781653,14.160766191781505,14.14924401369946
AUD_JPY,signal,1,2021-03-22 05:00:00+00:00,2021-03-22 09:00:00+00:00,83.941,2021-03-23 09:55:00+00:00,83.3445858379264,sl,0.2982070810367993,-59.64141620736001,1.5000000000000568,-0.35711690410958896,-61.498533111469655,24.916666666666668,1,0.9222243332403938,-61.498533111469655,-62.24853311146968,-61.89179420051075
AUD_JPY,signal,-1,2021-03-29 09:00:00+00:00,2021-03-29 13:00:00+00:00,83.869,2021-03-31 13:00:00+00:00,84.228,timecap,0.3313989953705005,-35.899999999999466,1.199999999999335,-0.6388561917808218,-37.738856191779625,48.0,1,0.8768413368913566,-37.738856191779625,-38.33885619177929,-38.30542401369743
AUD_JPY,signal,1,2021-04-12 01:00:00+00:00,2021-04-12 05:00:00+00:00,83.288,2021-04-14 05:00:00+00:00,83.496,timecap,0.2670705803053128,20.79999999999984,1.3500000000000512,-0.7173230547945205,18.73267694520527,48.0,1,1.1046198710233,18.73267694520527,18.057676945205245,17.946154767123076
AUD_JPY,signal,1,2021-05-21 05:00:00+00:00,2021-05-21 09:00:00+00:00,84.234,2021-05-25 09:00:00+00:00,84.456,timecap,0.2623934132084641,22.20000000000084,1.5000000000000568,-0.7142338082191779,19.985766191781607,96.0,1,0.9676228503586796,19.985766191781607,19.23576619178158,19.199244013699413
AUD_JPY,signal,1,2021-07-20 01:00:00+00:00,2021-07-20 05:00:00+00:00,80.174,2021-07-21 13:45:00+00:00,80.8756517575671,tp,0.35082587878354615,70.16517575670917,1.5500000000002956,-0.35124733561643834,68.26392842109244,32.75,1,0.9089165167030537,68.26392842109244,67.4889284210923,67.87066733205134
AUD_JPY,signal,1,2021-08-16 21:00:00+00:00,2021-08-17 01:00:00+00:00,80.03,2021-08-17 06:50:00+00:00,79.62552991083123,sl,0.202235044584385,-40.447008916876825,1.3500000000000512,0.0,-41.79700891687688,5.833333333333333,1,0.5437864527744536,-41.79700891687688,-42.4720089168769,-41.79700891687688
AUD_JPY,signal,1,2021-08-20 01:00:00+00:00,2021-08-20 05:00:00+00:00,78.342,2021-08-23 09:20:00+00:00,78.97613545915047,tp,0.3170677295752336,63.41354591504711,1.5999999999998238,-0.3518651849315068,61.46168073011578,76.33333333333333,1,0.8039152481863903,61.46168073011578,60.66168073011587,61.068419641074684
AUD_JPY,signal,1,2021-09-20 17:00:00+00:00,2021-09-20 21:00:00+00:00,79.216,2021-09-21 08:15:00+00:00,79.83356250733164,tp,0.30878125366582193,61.75625073316411,5.700000000000216,0.0,56.05625073316389,11.25,1,0.8271042062686695,56.05625073316389,53.206250733163785,56.05625073316389
AUD_JPY,signal,1,2021-11-05 01:00:00+00:00,2021-11-05 05:00:00+00:00,84.086,2021-11-09 03:20:00+00:00,83.4417564527786,sl,0.3221217736106954,-64.4243547221393,1.40000000000029,-0.7006411232876713,-66.52499584542726,94.33333333333333,1,0.8873828324357222,-66.52499584542726,-67.2249958454274,-67.31151802350945
AUD_JPY,signal,1,2021-12-20 02:00:00+00:00,2021-12-20 06:00:00+00:00,80.618,2021-12-21 15:40:00+00:00,81.33427247557619,tp,0.35813623778809167,71.627247557619,1.7000000000010118,-0.35433658219178077,69.57291097542621,33.666666666666664,1,0.6713693296331079,69.57291097542621,68.7229109754257,69.1796498863851
AUD_JPY,signal,-1,2022-02-03 22:00:00+00:00,2022-02-04 02:00:00+00:00,81.94,2022-02-04 14:05:00+00:00,81.32476193293606,tp,0.30761903353196807,61.52380670639417,1.3500000000000512,0.0,60.17380670639412,12.083333333333334,1,0.5344899548204901,60.17380670639412,59.49880670639409,60.17380670639412
AUD_JPY,signal,-1,2022-03-02 02:00:00+00:00,2022-03-02 06:00:00+00:00,83.635,2022-03-02 18:45:00+00:00,84.35488655393547,sl,0.3599432769677353,-71.98865539354671,1.5000000000000568,0.0,-73.48865539354676,12.75,1,0.35591629869913355,-73.48865539354676,-74.2386553935468,-73.48865539354676
AUD_JPY,signal,-1,2022-03-04 02:00:00+00:00,2022-03-04 06:00:00+00:00,84.91,2022-03-08 05:05:00+00:00,84.1811316210055,tp,0.3644341894972442,72.88683789944912,1.6999999999995907,-0.6332955479452052,70.55354235150432,95.08333333333333,1,0.7280527353936528,70.55354235150432,69.70354235150452,69.98697452958652
