pair,res,lag_fast_base,lag_slow_base,fast_lags,slow_lags,atr_mult,accel,tp,sl,is_pd,is_wr,is_n,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,False,5,5,-160.78,0.371,52978,-165.46,-161.18,-155.66,False,-162.83,0.33,20977,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,False,5,5,-127.1,0.37,41854,-121.07,-130.61,-129.6,False,-134.74,0.322,16839,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,False,5,5,-53.37,0.358,17085,-39.38,-54.93,-65.81,False,-63.1,0.312,7501,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,False,10,1,-384.27,0.092,161663,-413.45,-370.53,-368.84,False,-372.35,0.09,62932,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,False,10,1,-270.3,0.088,111916,-273.24,-267.53,-270.13,False,-256.08,0.085,42582,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,False,10,1,-172.28,0.088,71351,-152.49,-178.17,-186.18,False,-171.69,0.082,28312,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,False,10,1,-51.6,0.086,21418,-36.1,-52.02,-66.67,False,-56.48,0.08,9461,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,False,10,2,-225.75,0.256,87994,-250.38,-216.72,-210.11,False,-233.08,0.245,34534,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,False,10,2,-185.54,0.254,70979,-198.47,-179.41,-178.72,False,-187.43,0.239,27305,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,False,10,2,-141.67,0.252,52186,-137.59,-140.58,-146.87,False,-146.57,0.235,20722,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,False,10,2,-51.23,0.246,18688,-38.05,-50.44,-65.21,False,-60.97,0.221,8224,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,False,10,3,-192.8,0.328,70215,-202.42,-187.45,-188.55,False,-202.63,0.302,27947,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.5,False,10,3,-165.03,0.325,59076,-172.18,-162.05,-160.85,False,-172.49,0.296,23095,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",1.0,False,10,3,-131.32,0.324,45481,-128.93,-131.03,-133.98,False,-137.66,0.292,18141,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",2.0,False,10,3,-51.3,0.316,17632,-38.12,-50.57,-65.22,False,-60.54,0.28,7714,
USD_JPY,s5,1,6,"[1,2,3]","[6,12,18]",0.0,False,10,5,-174.41,0.365,59458,-177.85,-173.92,-171.45,False,-182.73,0.329,24303,
