pair,sig_tf,hold,d,is_n,is_wr,is_ppd,oos_n,oos_wr,oos_ppd,oos_dd
EUR_GBP,3,256,trd,1105,44.25339366515837,-3.9297649650758393,474,45.358649789029535,-0.8221156845304094,-963.9000000000331
NZD_JPY,1,256,ctr,1105,46.15384615384615,-4.114497080587606,474,50.0,-0.8279380335711121,-1785.6000000000195
GBP_USD,1,128,ctr,2201,47.61472058155384,-4.62497515288615,944,47.24576271186441,-0.8565839908503979,-1870.6999999999405
EUR_GBP,48,256,trd,1105,43.710407239819006,-3.5662758968178996,474,45.56962025316456,-0.8696260527016981,-834.100000000052
EUR_USD,3,3072,trd,93,55.91397849462365,1.6916681650678318,40,50.0,-0.8968746462114413,-1241.5000000000043
CAD_JPY,3,256,ctr,1105,46.9683257918552,-1.3495900967209071,474,46.62447257383967,-0.9017654194054067,-1582.2999999999952
AUD_USD,48,128,ctr,2201,48.20536119945479,-2.7927910767737276,944,49.47033898305085,-0.9355350438404816,-1270.4999999998477
CAD_JPY,3,512,ctr,554,45.667870036101085,-6.042881277230526,238,49.159663865546214,-0.9404258170348864,-2173.1999999999825
GBP_JPY,12,512,ctr,554,49.09747292418773,-1.9886337545322912,238,50.84033613445378,-0.955796818502227,-2038.2000000000091
AUD_USD,12,128,ctr,2201,46.97864606996819,-2.9992329503351276,944,47.563559322033896,-0.973263865623506,-1739.7999999999251
GBP_USD,3,512,ctr,554,48.55595667870036,-4.667697566662337,238,46.21848739495798,-1.0121571572148844,-1129.099999999963
NZD_JPY,1,3072,trd,93,50.53763440860215,-0.09102164613363029,40,47.5,-1.0235689613344954,-817.8000000000054
EUR_GBP,3,3072,ctr,93,49.46236559139785,0.5025111886108373,40,42.5,-1.0286926284902467,-728.9000000000057
AUD_JPY,12,512,trd,554,46.57039711191336,-2.2826117626137172,238,50.42016806722689,-1.0338162956459582,-1812.7000000000053
EUR_GBP,1,256,ctr,1105,48.86877828054298,-0.5067933885931679,474,48.52320675105485,-1.0366110231855272,-858.7000000000156
