id,strategy,pair,account_id,trade_id,direction,entry_price,exit_price,entry_time,exit_time,pnl_pips,exit_reason,hours_held,units,mfe_pips,mae_pips,capture_ratio,amddp1,pnl_over_mae,is_paper,label
95,ensemble_short,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1665,-1,109.738,109.878,2026-04-01 06:45:23.085295,2026-04-01 06:56:22.917951,-14.0,S5_SOFT_STOP,0.18,14,2.0,15.3,-7.0,,,false,""
96,perpair_a,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-011,259,1,109.762,109.86,2026-04-01 06:45:23.080716,2026-04-01 07:01:09.472218,9.8,S5_TRAIL_TP,0.26,7,16.6,7.0,0.59,,,false,""
98,range_neat,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2820,1,109.762,109.86,2026-04-01 06:45:23.089782,2026-04-01 07:01:09.497219,9.8,S5_TRAIL_TP,0.26,27,16.6,7.0,0.59,,,false,""
97,wf_pnlmae,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-013,606,1,109.762,109.86,2026-04-01 06:45:23.078331,2026-04-01 07:01:09.521386,9.8,S5_TRAIL_TP,0.26,13,16.6,7.0,0.59,,,false,""
99,asi_mc_008,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1143,1,109.762,109.86,2026-04-01 06:45:23.087589,2026-04-01 07:01:09.54568,9.8,S5_TRAIL_TP,0.26,16,16.6,7.0,0.59,,,false,""
100,pnl_mae_a,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-012,407,1,109.762,109.86,2026-04-01 06:45:23.105493,2026-04-01 07:01:09.561782,9.8,S5_TRAIL_TP,0.26,5,16.6,7.0,0.59,,,false,""
101,pnl_mae_a,NZD_USD,001-001-${OANDA_CUSTOMER_ID}-012,379,1,0.57516,0.57642,2026-04-01 06:21:56.578778,2026-04-01 07:02:03.842195,12.6,S5_TRAIL_TP,0.67,9,19.6,4.0,0.64,,,false,""
102,wf_pnlmae,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-013,602,1,0.69306,0.69385,2026-04-01 06:44:37.571506,2026-04-01 07:02:04.782897,7.9,S5_TRAIL_TP,0.29,30,15.2,2.7,0.52,,,false,""
103,asi_mc_008,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-008,1139,1,0.69306,0.69385,2026-04-01 06:44:37.585626,2026-04-01 07:02:04.818102,7.9,S5_TRAIL_TP,0.29,33,15.2,2.7,0.52,,,false,""
104,perpair_a,CAD_JPY,001-001-${OANDA_CUSTOMER_ID}-011,255,1,113.966,113.838,2026-04-01 06:31:58.431317,2026-04-01 07:02:50.593504,-12.8,S5_SOFT_STOP,0.51,11,1.8,15.0,-7.11,,,false,""
105,pnl_mae_a,CAD_JPY,001-001-${OANDA_CUSTOMER_ID}-012,395,1,113.966,113.838,2026-04-01 06:31:58.43909,2026-04-01 07:02:50.67401,-12.8,S5_SOFT_STOP,0.51,9,1.8,15.0,-7.11,,,false,""
106,wf_pnlmae,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-013,610,1,1.32907,1.32766,2026-04-01 06:48:06.367545,2026-04-01 07:07:26.92307,-14.1,S5_SOFT_STOP,0.32,6,2.2,15.3,-6.41,,,false,""
