pair,variant,is_net,is_dd,oos_trades,oos_net,oos_dd,oos_wr
USD_JPY,V17_pure,820.4799999998334,-94.8600000000007,164,927.9599999998128,-139.4600000000005,99.39024390243902
USD_JPY,V17_time72h,-963.920000000475,-1277.820000000133,243,47.01999999974544,-729.760000000121,96.29629629629629
USD_JPY,V17_time48h,-1417.180000000521,-1628.560000000245,364,873.7599999996377,-400.1800000000313,96.7032967032967
USD_JPY,V17_time24h,-787.3200000007147,-1121.3800000001863,427,33.17999999958971,-510.20000000018706,93.6768149882904
USD_JPY,V17_time12h,72.99999999904279,-695.2800000002618,562,-69.42000000049413,-541.240000000307,90.92526690391459
USD_JPY,V17_sl50,-183.8800000011029,-667.6000000001402,805,154.79999999926724,-329.920000000028,89.44099378881988
USD_JPY,V17_sl30_time48h,-293.6200000018156,-517.8600000002924,1107,25.479999998877815,-378.74000000049796,83.8301716350497
EUR_USD,V17_pure,-156.25999999999314,-240.11999999999875,29,-113.77999999999201,-264.1199999999983,96.55172413793103
EUR_USD,V17_time72h,-543.4199999999475,-722.5799999999675,208,94.4400000000146,-464.6399999999857,94.71153846153845
EUR_USD,V17_time48h,-920.5199999999395,-1098.5999999999553,210,-610.899999999981,-709.9799999999773,93.33333333333333
EUR_USD,V17_time24h,-513.5199999999031,-624.8799999999283,357,165.06000000005648,-330.8999999999727,92.99719887955182
EUR_USD,V17_time12h,-612.3399999998921,-688.8399999998969,426,111.08000000005946,-212.6799999999917,88.26291079812206
EUR_USD,V17_sl50,-511.37999999983,-591.7999999998354,433,330.3400000001014,-238.19999999999024,92.14780600461894
EUR_USD,V17_sl30_time48h,-792.1799999997484,-906.6799999997634,600,146.70000000016768,-268.51999999992745,86.83333333333333
CAD_JPY,V17_pure,398.0400000000437,-66.16000000000008,33,-65.47999999998586,-286.16000000000037,96.96969696969697
CAD_JPY,V17_time72h,-1641.099999999899,-1686.579999999896,202,-380.0199999999236,-483.2199999999655,95.54455445544554
CAD_JPY,V17_time48h,-432.23999999984585,-614.9999999999644,247,-296.51999999992296,-339.9400000000009,94.33198380566802
CAD_JPY,V17_time24h,-922.9399999997811,-975.3599999997795,352,-679.4199999998821,-707.6999999998936,90.9090909090909
CAD_JPY,V17_time12h,-525.1399999997083,-741.4799999999343,467,-443.61999999985494,-471.91999999988224,88.0085653104925
CAD_JPY,V17_sl50,-700.0999999997031,-803.9199999997263,502,-171.61999999983894,-466.45999999990033,91.43426294820716
CAD_JPY,V17_sl30_time48h,-982.4999999995806,-1060.439999999588,731,-563.059999999756,-740.7799999998198,85.77291381668947
