pair,S_bars,T_s_bars,W_pips,is_net,oos_net,oos_dd,oos_trades,oos_tp,oos_stag,oos_scratch,oos_end
USD_JPY,12,,,-1145.8399999999983,-276.30000000000655,-700.8600000000015,40,28,11,0,1
USD_JPY,12,288.0,10.0,-1098.879999999994,-321.38000000000306,-703.3800000000015,43,27,12,3,1
USD_JPY,12,288.0,5.0,-1146.9199999999996,-307.98000000000445,-703.3800000000015,43,27,12,3,1
USD_JPY,12,96.0,15.0,-1164.640000000002,-390.6800000000096,-702.2000000000008,58,28,21,8,1
USD_JPY,24,,,-1104.4999999999961,156.9199999999929,-378.0000000000024,93,60,32,0,1
USD_JPY,24,288.0,10.0,-1095.9199999999921,94.69999999999254,-405.20000000000266,95,58,33,3,1
USD_JPY,24,288.0,5.0,-1117.8999999999921,110.3999999999935,-402.6000000000016,95,58,33,3,1
USD_JPY,24,96.0,15.0,-1047.8799999999965,-35.90000000000259,-409.7000000000014,105,58,39,7,1
USD_JPY,48,,,-1242.1999999999996,-81.48000000000332,-528.9199999999987,68,52,15,0,1
USD_JPY,48,288.0,10.0,-1189.559999999999,-82.64000000000289,-528.9199999999987,69,52,15,1,1
USD_JPY,48,288.0,5.0,-1261.16,-82.64000000000289,-528.9199999999987,69,52,15,1,1
USD_JPY,48,96.0,15.0,-845.6000000000029,4.740000000000407,-384.89999999999895,86,58,20,7,1
USD_JPY,72,,,-1401.000000000004,-504.04000000000065,-868.0000000000013,39,30,8,0,1
USD_JPY,72,288.0,10.0,-1499.0400000000043,-506.56000000000074,-870.5200000000012,41,30,8,2,1
USD_JPY,72,288.0,5.0,-1491.4800000000055,-506.56000000000074,-870.5200000000012,41,30,8,2,1
USD_JPY,72,96.0,15.0,-965.5400000000086,-134.42000000000417,-497.8800000000031,72,50,14,7,1
USD_JPY,144,,,-1526.7200000000016,-468.1199999999983,-862.319999999997,57,41,15,0,1
USD_JPY,144,288.0,10.0,-1569.4999999999998,-451.59999999999684,-845.7999999999955,60,42,15,2,1
USD_JPY,144,288.0,5.0,-1568.3400000000001,-448.39999999999577,-842.5999999999945,60,42,15,2,1
USD_JPY,144,96.0,15.0,-1015.1800000000021,-319.35999999999603,-715.3599999999935,61,42,9,9,1
USD_JPY,288,,,-1325.7000000000003,-162.2400000000024,-594.9000000000012,49,40,8,0,1
USD_JPY,288,288.0,10.0,-1398.0799999999958,-191.66000000000406,-600.5000000000024,51,39,8,3,1
USD_JPY,288,288.0,5.0,-1388.2199999999975,-191.76000000000454,-594.9000000000012,51,39,8,3,1
USD_JPY,288,96.0,15.0,-952.0800000000015,-250.8400000000071,-603.0000000000042,54,39,6,8,1
EUR_JPY,12,,,-1364.099999999999,-311.5999999999991,-480.99999999999875,15,10,4,0,1
EUR_JPY,12,288.0,10.0,-1365.1999999999973,-317.0999999999967,-485.39999999999543,19,10,6,2,1
EUR_JPY,12,288.0,5.0,-1365.1999999999973,-317.19999999999436,-485.49999999999307,19,10,6,2,1
EUR_JPY,12,96.0,15.0,-1396.999999999997,-232.09999999999752,-479.1999999999987,80,38,33,8,1
EUR_JPY,24,,,-1342.200000000001,-308.29999999999916,-480.99999999999875,12,10,1,0,1
EUR_JPY,24,288.0,10.0,-1361.6000000000026,24.89999999999702,-393.39999999999736,71,43,21,6,1
EUR_JPY,24,288.0,5.0,-1352.3000000000006,-33.00000000000114,-404.09999999999854,62,37,19,5,1
