pair,reason,bars,pips,mfe,mae,mfe_30m,mfe_60m,mfe_120m,mfe_240m,mfe_480m,mfe_720m,mfe_1440m
USD_JPY,TP,151,20.0,31.19999999999834,-76.20000000000005,8.699999999998909,8.699999999998909,18.600000000000705,18.600000000000705,18.600000000000705,18.600000000000705,
USD_JPY,TP,20,20.0,26.800000000000068,-17.199999999999704,12.000000000000455,12.000000000000455,,,,,
USD_JPY,TP,10,20.0,24.00000000000091,-6.000000000000227,13.300000000000978,,,,,,
USD_JPY,TP,27,20.0,19.999999999998863,-10.499999999998977,18.299999999999272,18.299999999999272,18.299999999999272,,,,
USD_JPY,TP,47,20.0,20.599999999998886,-8.00000000000125,15.399999999999636,15.399999999999636,15.399999999999636,,,,
USD_JPY,TP,13727,20.0,24.199999999999022,-530.8999999999997,4.800000000000182,4.800000000000182,4.800000000000182,10.599999999999454,12.600000000000477,12.600000000000477,12.600000000000477
USD_JPY,TP,25,20.0,23.199999999999932,-21.09999999999843,1.2000000000000455,1.2000000000000455,17.199999999999704,,,,
USD_JPY,TP,25,20.0,25.600000000000023,-17.099999999999227,5.19999999999925,5.19999999999925,13.700000000000045,,,,
USD_JPY,TP,10,20.0,22.8999999999985,-5.400000000000205,12.399999999999523,,,,,,
USD_JPY,TP,8,20.0,28.999999999999204,-2.5999999999982037,13.500000000001933,,,,,,
USD_JPY,TP,19,20.0,20.50000000000125,-1.6999999999995907,17.900000000000205,17.900000000000205,,,,,
USD_JPY,TP,47,20.0,27.700000000001523,-21.09999999999843,9.499999999999886,9.499999999999886,9.499999999999886,,,,
USD_JPY,TP,11,20.0,23.30000000000041,-6.999999999999318,16.99999999999875,,,,,,
USD_JPY,TP,10,20.0,21.399999999999864,-11.599999999998545,14.100000000001955,,,,,,
USD_JPY,TP,84,20.0,29.09999999999968,-35.000000000002274,2.199999999999136,2.199999999999136,2.199999999999136,2.199999999999136,,,
USD_JPY,TP,256,20.0,23.999999999998067,-46.80000000000177,11.39999999999759,16.099999999997294,16.099999999997294,16.099999999997294,16.099999999997294,16.099999999997294,
USD_JPY,TP,97,20.0,19.999999999998863,-16.800000000000637,15.799999999998704,15.799999999998704,15.799999999998704,15.799999999998704,15.799999999998704,,
USD_JPY,TP,4121,20.0,29.300000000000637,-385.59999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USD_JPY,TP,17,20.0,24.399999999999977,-22.800000000000864,4.2999999999977945,4.2999999999977945,,,,,
USD_JPY,TP,27,20.0,20.300000000000296,-9.099999999997976,17.69999999999925,17.69999999999925,18.299999999999272,,,,
USD_JPY,TP,15,20.0,24.899999999999523,-1.6999999999995907,12.5,12.5,,,,,
USD_JPY,TP,13,20.0,24.600000000000932,-5.099999999998772,15.700000000001069,16.500000000002046,,,,,
USD_JPY,TP,2474,20.0,23.400000000000887,-154.20000000000016,8.199999999999363,8.199999999999363,8.199999999999363,8.199999999999363,8.199999999999363,8.199999999999363,8.199999999999363
USD_JPY,TP,40,20.0,21.60000000000082,-16.59999999999968,10.000000000002274,10.000000000002274,10.000000000002274,,,,
USD_JPY,TP,930,20.0,25.200000000000955,-125.7000000000005,3.6000000000001364,3.6000000000001364,3.6000000000001364,10.400000000001342,17.300000000000182,17.300000000000182,17.300000000000182
USD_JPY,TP,107,20.0,21.89999999999941,-5.60000000000116,18.499999999997385,19.39999999999884,19.39999999999884,19.39999999999884,19.39999999999884,,
