pair,T_h,W,is_net,is_dd,is_trades,oos_net,oos_dd,oos_trades,oos_scratch,oos_end,oos_scratch_pips,oos_end_pips
AUD_JPY,24,10,-1052.9000000000012,-1170.8799999999994,10,-630.5599999999994,-649.1799999999994,2,0,1,0.0,-649.1799999999994
AUD_JPY,24,15,-1057.0800000000004,-1170.8799999999994,11,-630.5599999999994,-649.1799999999994,2,0,1,0.0,-649.1799999999994
AUD_JPY,24,20,-1068.1800000000007,-1170.8799999999994,11,-630.5599999999994,-649.1799999999994,2,0,1,0.0,-649.1799999999994
EUR_USD,2,3,-190.90000000000256,-247.8400000000026,10,-18.919999999992314,-230.2199999999983,41,27,1,-35.43999999999403,-230.2199999999983
EUR_USD,2,5,-190.11999999999966,-247.05999999999966,11,313.4999999999988,-41.420000000000414,70,45,1,-100.60000000000085,-41.420000000000435
EUR_USD,2,10,-208.76000000000184,-265.70000000000186,13,224.89999999999833,-57.319999999997805,90,64,1,-231.88000000000116,-17.720000000000603
EUR_USD,2,15,-212.79999999999717,-269.73999999999717,15,177.4999999999968,-80.6000000000037,115,83,1,-389.26000000000147,-21.620000000001728
EUR_USD,2,20,-220.40000000000035,-277.3400000000004,15,146.37999999999784,-136.1200000000011,146,113,0,-479.9600000000022,0.0
EUR_USD,4,3,-165.07999999999998,-234.739999999999,9,34.760000000003856,-230.2199999999983,32,16,1,-19.719999999997846,-230.2199999999983
EUR_USD,4,5,-178.27999999999986,-235.21999999999986,9,15.620000000000658,-231.0399999999992,34,19,1,-24.480000000000103,-225.61999999999924
EUR_USD,4,10,-190.48000000000206,-247.42000000000206,9,324.5200000000018,-45.87999999999839,59,32,1,-128.63999999999606,-40.32000000000211
EUR_USD,4,15,-204.08000000000013,-261.0200000000001,9,295.2000000000056,-57.89999999999496,85,53,0,-312.15999999999445,0.0
EUR_USD,4,20,-194.4200000000012,-251.3600000000012,11,369.34000000000077,-51.760000000001526,98,58,0,-389.8599999999993,0.0
EUR_USD,6,3,-165.07999999999998,-234.739999999999,9,21.03999999999826,-230.2199999999983,28,13,1,-14.460000000003419,-230.2199999999983
EUR_USD,6,5,-186.75999999999993,-243.69999999999993,8,31.70000000000377,-231.0399999999992,30,14,1,-27.379999999997,-225.61999999999924
EUR_USD,6,10,-166.98000000000133,-233.51999999999992,9,329.7000000000003,-43.62000000000154,60,32,1,-139.13999999999825,-43.620000000001525
EUR_USD,6,15,-180.67999999999785,-237.61999999999784,9,317.6200000000011,-45.71999999999964,64,33,1,-208.15999999999744,-43.620000000001525
EUR_USD,6,20,-172.29999999999842,-233.51999999999992,10,337.8,-47.09999999999985,65,30,1,-263.8999999999985,-43.620000000001525
EUR_USD,8,3,-159.46000000000095,-235.94000000000023,8,86.94000000000173,-230.2199999999983,38,19,1,-24.480000000000103,-230.2199999999983
EUR_USD,8,5,-174.13999999999942,-233.51999999999992,7,84.90000000000832,-231.0399999999992,40,21,1,-31.119999999992487,-225.61999999999924
EUR_USD,8,10,-172.54000000000227,-233.51999999999992,7,391.19999999999675,-43.62000000000154,55,24,1,-134.58000000000186,-43.620000000001525
EUR_USD,8,15,-190.36000000000354,-247.30000000000354,8,327.77999999999645,-53.49999999999733,56,25,1,-198.0000000000021,-43.620000000001525
EUR_USD,8,20,-190.36000000000354,-247.30000000000354,8,345.4200000000009,-51.85999999999996,59,23,1,-275.25999999999755,-43.620000000001525
EUR_USD,12,3,-152.62000000000057,-227.12000000000018,6,-115.53999999999738,-262.2199999999992,12,3,1,-5.159999999998215,-262.2199999999992
EUR_USD,12,5,-156.1200000000013,-227.12000000000018,6,-118.83999999999679,-262.2199999999992,12,3,1,-8.459999999997628,-262.2199999999992
EUR_USD,12,10,-158.02000000000044,-227.12000000000018,6,-100.47999999999863,-262.2199999999992,14,3,1,-28.059999999999466,-262.2199999999992
EUR_USD,12,15,-165.4200000000023,-227.12000000000018,6,-131.50000000000196,-262.2199999999992,15,5,1,-40.10000000000281,-262.2199999999992
EUR_USD,12,20,-171.32000000000096,-228.26000000000096,6,-149.3000000000009,-262.2199999999992,15,5,1,-57.900000000001725,-262.2199999999992
EUR_USD,24,3,-161.0200000000001,-233.51999999999992,6,-115.53999999999738,-262.2199999999992,12,3,1,-5.159999999998215,-262.2199999999992
EUR_USD,24,5,-161.8200000000009,-233.51999999999992,6,-118.83999999999679,-262.2199999999992,12,3,1,-8.459999999997628,-262.2199999999992
EUR_USD,24,10,-161.8200000000009,-233.51999999999992,6,-100.47999999999863,-262.2199999999992,14,3,1,-28.059999999999466,-262.2199999999992
EUR_USD,24,15,-161.8200000000009,-233.51999999999992,6,-96.80000000000118,-262.2199999999992,15,3,1,-43.360000000002,-262.2199999999992
EUR_USD,24,20,-161.8200000000009,-233.51999999999992,6,-106.09999999999994,-262.2199999999992,15,3,1,-52.66000000000075,-262.2199999999992
GBP_USD,2,3,782.280000000002,-25.8799999999992,138,-154.3800000000009,-444.0200000000006,37,19,1,-30.460000000000328,-439.44000000000057
GBP_USD,2,5,444.23999999999535,-110.69999999999857,119,-207.4000000000086,-447.62000000000205,45,28,1,-67.32000000000812,-437.0400000000004
GBP_USD,2,10,242.29999999998256,-153.38000000000346,220,399.53999999999735,-239.8399999999986,179,121,1,-418.54000000000394,-239.8399999999986
GBP_USD,2,15,72.23999999998686,-229.2600000000085,259,194.9000000000029,-239.8399999999986,245,171,1,-920.1399999999983,-239.8399999999986
GBP_USD,2,20,-112.2000000000061,-343.42000000000854,325,364.9600000000037,-166.75999999999624,316,233,1,-1113.0199999999954,-43.940000000000865
GBP_USD,4,3,828.6999999999949,-22.09999999999775,105,-129.50000000000392,-444.48000000000195,30,11,1,-21.740000000003125,-441.84000000000077
GBP_USD,4,5,708.0799999999889,-33.980000000003315,118,-155.7399999999999,-448.0800000000011,31,12,1,-47.97999999999906,-441.84000000000077
GBP_USD,4,10,589.5399999999938,-142.6800000000004,134,-142.20000000000442,-452.0800000000029,35,14,1,-71.56000000000365,-441.84000000000077
GBP_USD,4,15,535.3199999999936,-82.60000000000704,182,521.0199999999984,-239.83999999999867,127,63,1,-408.420000000003,-239.8399999999986
GBP_USD,4,20,322.4399999999956,-133.76000000001295,194,758.9599999999925,-97.47999999999917,206,109,1,-952.3600000000062,-70.44000000000128
GBP_USD,6,3,891.2200000000114,-32.93999999999983,97,-100.68000000000103,-444.48000000000195,27,7,1,-11.480000000000288,-441.84000000000077
GBP_USD,6,5,835.1200000000017,-29.77999999999861,102,-110.67999999999995,-448.0800000000011,27,7,1,-21.479999999999187,-441.84000000000077
GBP_USD,6,10,503.519999999997,-109.12000000000046,82,-128.42000000000462,-452.0800000000029,28,8,1,-39.22000000000383,-441.84000000000077
GBP_USD,6,15,570.1800000000018,-74.06000000000057,133,601.9399999999986,-241.23999999999887,104,42,1,-288.9800000000025,-241.2399999999989
