pair,variant,trades,gross,net,pd_net,wr_net,avg_win,avg_loss,pf,max_dd,days,reasons
USD_JPY,V0_baseline,54,927.3999999999404,859.3599999999403,3.3826597053273764,98.14814814814815,18.73999999999886,-133.85999999999933,7.41984162557855,-133.85999999999933,254.04861111111111,"{'TP': 53, 'end': 1}"
EUR_JPY,V0_baseline,7,-1459.800000000007,-1470.300000000007,-5.786605080831436,85.71428571428571,18.499999999998863,-1581.3000000000002,0.07019540884082284,-1581.3000000000002,254.08680555555554,"{'TP': 6, 'end': 1}"
GBP_JPY,V0_baseline,10,-1634.7000000000094,-1658.7000000000094,-6.5302256913592425,90.0,17.599999999998865,-1817.0999999999992,0.08717186726101471,-1817.099999999999,254.00347222222223,"{'TP': 9, 'end': 1}"
AUD_JPY,V0_baseline,9,-1576.9999999999968,-1589.419999999997,-6.257473514414981,88.88888888888889,18.620000000000285,-1738.3799999999992,0.08568897479262437,-1738.3799999999992,254.00347222222223,"{'TP': 8, 'end': 1}"
EUR_USD,V0_baseline,4,-206.39999999999992,-210.4799999999999,-0.8286387620635914,75.0,18.980000000000018,-267.41999999999996,0.2129234911375367,-267.41999999999996,254.00694444444446,"{'TP': 3, 'end': 1}"
GBP_USD,V0_baseline,15,-101.89999999999918,-123.49999999999932,-0.4861207921603975,93.33333333333333,18.56000000000001,-383.33999999999946,0.6778316898836555,-383.33999999999946,254.05208333333334,"{'TP': 14, 'end': 1}"
CAD_JPY,V0_baseline,43,614.7000000000119,547.6200000000119,2.1558074304929526,97.67441860465115,18.440000000000285,-226.86,3.4139116635811155,-226.86,254.02083333333334,"{'TP': 42, 'end': 1}"
AUD_USD,V0_baseline,3,-562.8999999999995,-565.7799999999995,-2.2272671851720207,66.66666666666666,19.040000000000017,-603.8599999999996,0.06306097439803938,-603.8599999999996,254.02430555555554,"{'TP': 2, 'end': 1}"
EUR_GBP,V0_baseline,3,-70.40000000000046,-74.00000000000045,-0.29133858267716717,66.66666666666666,18.80000000000002,-111.60000000000049,0.3369175627240132,-111.60000000000049,254.0,"{'TP': 2, 'end': 1}"
NZD_USD,V0_baseline,15,44.999999999999545,26.99999999999949,0.10628468330553911,93.33333333333333,18.800000000000015,-236.20000000000073,1.114309906858592,-236.20000000000073,254.03472222222223,"{'TP': 14, 'end': 1}"
USD_JPY,V1_sl50,712,847.0999999994092,-50.02000000059115,-0.19689145231624322,73.03370786516854,18.739999999998865,-51.0146875,0.9948932190687946,-722.6600000003124,254.04861111111111,"{'TP': 520, 'SL': 191, 'end': 1}"
EUR_JPY,V1_sl50,629,591.7999999994805,-351.7000000005195,-1.3841726225473798,72.81399046104929,18.460262008732492,-51.5,0.9600635893941385,-789.5000000003661,254.08680555555554,"{'TP': 457, 'SL': 171, 'end': 1}"
GBP_JPY,V1_sl50,963,-144.50000000078091,-2455.7000000007806,-9.667978073356183,71.23572170301142,17.57886297375979,-52.4,0.8308140656432894,-2621.2000000007765,254.00347222222223,"{'TP': 685, 'SL': 277, 'end': 1}"
AUD_JPY,V1_sl50,542,524.0000000001118,-223.95999999988774,-0.8817202302020104,72.69372693726937,18.62000000000029,-51.082702702702704,0.9703766018010159,-724.9199999999746,254.00347222222223,"{'TP': 394, 'SL': 147, 'end': 1}"
EUR_USD,V1_sl50,324,500.0000000000957,169.52000000009576,0.6673833283214531,73.4567901234568,18.980000000000018,-50.554883720929155,1.0389905513694766,-348.95999999998025,254.00694444444446,"{'TP': 238, 'SL': 85, 'end': 1}"
GBP_USD,V1_sl50,474,1057.2000000001335,374.640000000133,1.4746582475711496,74.47257383966245,18.56000000000001,-51.04991735537084,1.0606504086099717,-660.7999999999696,254.05208333333334,"{'TP': 353, 'SL': 120, 'end': 1}"
CAD_JPY,V1_sl50,403,620.0000000000841,-8.679999999916205,-0.03417042565373393,73.44913151364764,18.440000000000285,-51.09271028037384,0.9984122686997584,-445.2399999999958,254.02083333333334,"{'TP': 296, 'SL': 106, 'end': 1}"
AUD_USD,V1_sl50,239,313.4000000000005,83.96000000000058,0.330519553301715,73.22175732217573,19.040000000000017,-50.75062500000004,1.0258494353517813,-556.6400000000002,254.02430555555554,"{'TP': 175, 'SL': 63, 'end': 1}"
EUR_GBP,V1_sl50,67,-244.99999999999957,-325.39999999999975,-1.2811023622047235,65.67164179104478,18.800000000000022,-50.113043478260884,0.7176817629706757,-526.8000000000006,254.0,"{'TP': 44, 'SL': 22, 'end': 1}"
NZD_USD,V1_sl50,162,62.600000000000506,-131.79999999999973,-0.5188267133211218,71.60493827160494,18.800000000000022,-50.27391304347827,0.9430078699299499,-330.40000000000043,254.03472222222223,"{'TP': 116, 'SL': 45, 'end': 1}"
USD_JPY,V2_sl100,452,-342.9000000004237,-912.4200000004246,-3.591517371458359,82.52212389380531,18.739999999998865,-100.03088607594938,0.8845394586987785,-1200.6400000000497,254.04861111111111,"{'TP': 373, 'SL': 78, 'end': 1}"
EUR_JPY,V2_sl100,376,-298.00000000035425,-862.0000000003542,-3.3925413722905016,82.7127659574468,18.442122186494036,-101.5,0.8693444486547397,-1186.5000000003263,254.08680555555554,"{'TP': 310, 'SL': 65, 'end': 1}"
GBP_JPY,V2_sl100,579,-194.50000000054786,-1584.1000000005488,-6.236528918843493,83.07426597582038,17.569854469853325,-102.39999999999999,0.8421456473213738,-1779.2000000005096,254.00347222222223,"{'TP': 480, 'SL': 98, 'end': 1}"
AUD_JPY,V2_sl100,335,523.8000000000795,61.500000000080604,0.24212267439507898,84.4776119402985,18.620000000000285,-100.15307692307694,1.0118088464581294,-527.7399999999469,254.00347222222223,"{'TP': 283, 'SL': 51, 'end': 1}"
EUR_USD,V2_sl100,161,-562.600000000002,-726.8200000000018,-2.861417830877334,80.12422360248446,18.980000000000018,-99.22625000000014,0.7710976178178655,-904.8400000000007,254.00694444444446,"{'TP': 129, 'SL': 31, 'end': 1}"
GBP_USD,V2_sl100,268,102.40000000000026,-283.52,-1.115991635573414,83.5820895522388,18.56000000000001,-100.9309090909092,0.9361579478310992,-923.8400000000013,254.05208333333334,"{'TP': 224, 'SL': 43, 'end': 1}"
CAD_JPY,V2_sl100,221,-52.89999999994848,-397.6599999999487,-1.56546215041397,82.80542986425338,18.440000000000285,-99.26789473684211,0.8945808524513814,-693.0399999999934,254.02083333333334,"{'TP': 183, 'SL': 37, 'end': 1}"
AUD_USD,V2_sl100,125,-796.6000000000006,-916.6000000000006,-3.6083161333533833,77.60000000000001,19.040000000000017,-98.69571428571435,0.6683167600272122,-1063.6800000000012,254.02430555555554,"{'TP': 97, 'SL': 27, 'end': 1}"
EUR_GBP,V2_sl100,33,-584.9999999999999,-624.5999999999999,-2.459055118110236,66.66666666666666,18.800000000000015,-94.3818181818182,0.3983818146792528,-643.4000000000001,254.0,"{'TP': 22, 'SL': 10, 'end': 1}"
NZD_USD,V2_sl100,84,-507.4000000000001,-608.1999999999999,-2.394160903201115,77.38095238095238,18.800000000000015,-96.32631578947375,0.6676865916293302,-841.2000000000008,254.03472222222223,"{'TP': 65, 'SL': 18, 'end': 1}"
USD_JPY,V3_time48h,334,717.2999999996819,296.4599999996819,1.16694202224952,85.62874251497006,18.73999999999886,-105.48291666666653,1.0585521352193052,-769.2200000000507,254.04861111111111,"{'TP': 286, 'time': 47, 'end': 1}"
EUR_JPY,V3_time48h,266,-1132.2000000002533,-1531.200000000253,-6.026286948085777,80.07518796992481,18.29718309859043,-102.42452830188707,0.7179331306990424,-1918.6000000001895,254.08680555555554,"{'TP': 210, 'time': 55, 'end': 1}"
GBP_JPY,V3_time48h,352,686.9999999996537,-157.80000000034698,-0.6212513499118277,88.06818181818183,17.55322580645047,-133.3166666666665,0.9718179058095927,-899.3000000000711,254.00347222222223,"{'TP': 309, 'time': 42, 'end': 1}"
AUD_JPY,V3_time48h,257,-169.89999999994444,-524.5599999999438,-2.0651686191951635,82.49027237354085,18.570000000000285,-99.14222222222232,0.8824225579414661,-1080.4399999999855,254.00347222222223,"{'TP': 211, 'time': 45, 'end': 1}"
EUR_USD,V3_time48h,203,-331.69999999999686,-538.7599999999968,-2.121044372146418,75.36945812807882,18.80222222222225,-68.31000000000002,0.8422602839994154,-814.0199999999987,254.00694444444446,"{'TP': 151, 'time': 51, 'end': 1}"
GBP_USD,V3_time48h,254,337.3000000000028,-28.45999999999765,-0.11202427323792588,81.10236220472441,18.56000000000001,-80.24625000000002,0.9926112850548575,-666.3000000000028,254.05208333333334,"{'TP': 206, 'time': 47, 'end': 1}"
CAD_JPY,V3_time48h,230,570.7000000000515,211.90000000005188,0.8341835479375452,78.69565217391305,18.440000000000282,-63.79061224489796,1.0677919468669983,-638.6199999999944,254.02083333333334,"{'TP': 181, 'time': 48, 'end': 1}"
AUD_USD,V3_time48h,163,-350.4999999999968,-506.9799999999968,-1.9957932721879617,67.48466257668711,18.739090909090923,-48.45811320754715,0.8025994050492946,-850.0599999999993,254.02430555555554,"{'TP': 107, 'time': 55, 'end': 1}"
EUR_GBP,V3_time48h,118,-224.29999999999717,-365.8999999999972,-1.4405511811023513,51.69491525423729,16.53770491803282,-24.117543859649107,0.7338328362551849,-437.699999999998,254.0,"{'time': 65, 'TP': 52, 'end': 1}"
NZD_USD,V3_time48h,163,370.400000000003,174.80000000000288,0.6880949126595887,68.71165644171779,18.118750000000013,-36.36274509803919,1.0942572121865748,-356.800000000001,254.03472222222223,"{'TP': 105, 'time': 57, 'end': 1}"
USD_JPY,V4_time48h_sl100,463,60.899999999566035,-522.4800000004346,-2.0566142743914546,82.28941684665226,18.691181102361067,-93.21731707317073,0.9316467420739326,-1139.5400000000545,254.04861111111111,"{'TP': 380, 'SL': 71, 'time': 11, 'end': 1}"
EUR_JPY,V4_time48h_sl100,400,-297.700000000367,-897.700000000367,-3.5330445358528735,81.0,18.390123456788988,-90.21184210526316,0.8690655037119692,-1185.600000000346,254.08680555555554,"{'TP': 322, 'SL': 60, 'time': 17, 'end': 1}"
GBP_JPY,V4_time48h_sl100,595,1.7999999994344762,-1426.2000000005667,-5.614883873527582,82.85714285714286,17.570588235292973,-98.90686274509808,0.8586311146354197,-1677.1000000005006,254.00347222222223,"{'TP': 492, 'SL': 95, 'time': 7, 'end': 1}"
AUD_JPY,V4_time48h_sl100,365,701.400000000082,197.70000000008298,0.7783358167132435,82.1917808219178,18.529666666666948,-82.48000000000002,1.0368760725210928,-491.6799999999895,254.00347222222223,"{'TP': 298, 'SL': 44, 'time': 22, 'end': 1}"
EUR_USD,V4_time48h_sl100,225,-540.0000000000003,-769.5000000000002,-3.0294447330289533,73.77777777777777,18.749879518072326,-65.79627118644079,0.8017764130675585,-971.6999999999978,254.00694444444446,"{'TP': 163, 'time': 40, 'SL': 21, 'end': 1}"
GBP_USD,V4_time48h_sl100,314,137.49999999999483,-314.66000000000554,-1.238564926811289,80.2547770700637,18.489365079365086,-80.22548387096788,0.9367387886561653,-963.5400000000068,254.05208333333334,"{'TP': 251, 'SL': 36, 'time': 26, 'end': 1}"
CAD_JPY,V4_time48h_sl100,260,354.0000000000603,-51.599999999939854,-0.20313294513221627,78.46153846153847,18.440000000000285,-68.09571428571425,0.9864686260935396,-665.5999999999925,254.02083333333334,"{'TP': 204, 'time': 31, 'SL': 24, 'end': 1}"
AUD_USD,V4_time48h_sl100,194,-29.19999999999797,-215.43999999999787,-0.8481078199537909,71.64948453608247,18.801870503597137,-51.43454545454546,0.9238431899324833,-649.2800000000002,254.02430555555554,"{'TP': 136, 'time': 45, 'SL': 12, 'end': 1}"
EUR_GBP,V4_time48h_sl100,118,-136.29999999999694,-277.8999999999969,-1.0940944881889643,52.54237288135594,16.57419354838713,-23.31249999999998,0.7871313672922274,-349.6999999999977,254.0,"{'time': 63, 'TP': 53, 'SL': 1, 'end': 1}"
NZD_USD,V4_time48h_sl100,159,10.500000000003439,-180.29999999999677,-0.7097454962958786,67.9245283018868,17.818518518518527,-41.26862745098035,0.9143345845013555,-552.4000000000001,254.03472222222223,"{'TP': 99, 'time': 53, 'SL': 6, 'end': 1}"
USD_JPY,V5_time24h,428,27.699999999620672,-511.5800000003796,-2.013709099856618,79.2056074766355,18.63764011799298,-76.73865168539324,0.9250952452069363,-1101.6000000000531,254.04861111111111,"{'TP': 336, 'time': 91, 'end': 1}"
EUR_JPY,V5_time24h,389,-831.5000000003181,-1415.000000000318,-5.568962925510633,74.55012853470437,18.44275862068852,-68.3171717171716,0.7907856995002039,-1622.9000000002939,254.08680555555554,"{'TP': 289, 'time': 99, 'end': 1}"
GBP_JPY,V5_time24h,482,-1244.100000000441,-2400.9000000004403,-9.452232991129916,80.08298755186722,17.525129533677617,-95.47500000000002,0.7380531552762022,-2817.90000000038,254.00347222222223,"{'TP': 382, 'time': 99, 'end': 1}"
AUD_JPY,V5_time24h,380,-0.39999999992375024,-524.7999999999228,-2.0661134881683285,75.78947368421053,18.17555555555584,-62.601739130434815,0.9088787643071589,-916.3199999999534,254.00347222222223,"{'TP': 276, 'time': 103, 'end': 1}"
EUR_USD,V5_time24h,299,244.29999999999723,-60.680000000002565,-0.23889110643301442,68.89632107023411,18.403786407766997,-41.41784946236562,0.9842465717860976,-532.7000000000066,254.00694444444446,"{'TP': 198, 'time': 100, 'end': 1}"
GBP_USD,V5_time24h,349,-233.59999999999587,-736.1599999999964,-2.8976735413505947,73.35243553008596,18.268203125000007,-58.20236559139784,0.8639969553763107,-1244.939999999995,254.05208333333334,"{'TP': 250, 'time': 98, 'end': 1}"
CAD_JPY,V5_time24h,332,0.30000000005969696,-517.6199999999405,-2.0377068809970593,70.18072289156626,18.07605150214621,-47.771111111111175,0.8905513242862769,-655.5799999999645,254.02083333333334,"{'TP': 224, 'time': 107, 'end': 1}"
AUD_USD,V5_time24h,254,-331.70000000000147,-575.5400000000013,-2.2656887054224413,59.84251968503938,17.634078947368447,-31.920784313725544,0.8232327575616106,-698.3000000000003,254.02430555555554,"{'TP': 136, 'time': 117, 'end': 1}"
EUR_GBP,V5_time24h,188,-418.3999999999955,-643.9999999999953,-2.5354330708661235,43.61702127659575,14.193902439024368,-17.055660377358432,0.6437856076110418,-733.1999999999954,254.0,"{'time': 135, 'TP': 52, 'end': 1}"
NZD_USD,V5_time24h,237,140.00000000001017,-144.39999999998997,-0.5684262321970027,59.49367088607595,16.80992907801421,-26.193749999999937,0.9425753598981982,-490.39999999999793,254.03472222222223,"{'time': 120, 'TP': 116, 'end': 1}"
USD_JPY,V6_trail_lock10,108,831.3999999998828,695.3199999998826,2.736956509853842,99.07407407407408,7.74934579439142,-133.85999999999933,6.194382190347274,-133.85999999999933,254.04861111111111,"{'trail': 102, 'TP': 5, 'end': 1}"
EUR_JPY,V6_trail_lock10,13,-1450.2000000000207,-1469.7000000000207,-5.7842436831245605,92.3076923076923,9.891666666664927,-1588.3999999999999,0.07472928733315232,-1588.3999999999999,254.08680555555554,"{'trail': 9, 'TP': 3, 'end': 1}"
GBP_JPY,V6_trail_lock10,18,-1609.4000000000221,-1652.6000000000222,-6.506210271622577,94.44444444444444,9.141176470586835,-1807.9999999999984,0.08595132743361522,-1807.9999999999984,254.00347222222223,"{'trail': 13, 'TP': 4, 'end': 1}"
AUD_JPY,V6_trail_lock10,15,-1615.7999999999959,-1636.499999999996,-6.442825311333763,93.33333333333333,6.905714285714567,-1733.1799999999998,0.05578185762586919,-1733.1799999999998,254.00347222222223,"{'trail': 13, 'TP': 1, 'end': 1}"
EUR_USD,V6_trail_lock10,9,-200.59999999999522,-209.7799999999952,-0.8258829318970748,88.88888888888889,8.305000000000582,-276.21999999999986,0.24053290855117188,-276.21999999999986,254.00694444444446,"{'trail': 7, 'TP': 1, 'end': 1}"
GBP_USD,V6_trail_lock10,26,-189.69999999998373,-227.1399999999837,-0.8940686375004483,96.15384615384616,6.5800000000006715,-391.6400000000005,0.42002859769180007,-391.6400000000005,254.05208333333334,"{'trail': 23, 'TP': 2, 'end': 1}"
CAD_JPY,V6_trail_lock10,87,492.90000000002294,357.1800000000231,1.40610514229485,98.85057471264368,6.850465116279341,-231.9600000000002,2.5398344542163422,-231.9600000000002,254.02083333333334,"{'trail': 81, 'TP': 5, 'end': 1}"
AUD_USD,V6_trail_lock10,6,-564.4999999999967,-570.2599999999967,-2.2449032928279373,83.33333333333334,8.340000000000531,-611.9599999999994,0.06814170860841019,-611.9599999999994,254.02430555555554,"{'trail': 4, 'TP': 1, 'end': 1}"
EUR_GBP,V6_trail_lock10,5,-72.29999999999959,-78.29999999999959,-0.30826771653543145,80.0,7.475000000000211,-108.20000000000043,0.27634011090573685,-108.20000000000043,254.0,"{'trail': 4, 'end': 1}"
NZD_USD,V6_trail_lock10,32,15.2000000000141,-23.199999999985863,-0.09132609824766857,96.875,7.196774193548853,-246.3000000000003,0.9058059277304675,-246.3000000000003,254.03472222222223,"{'trail': 30, 'TP': 1, 'end': 1}"
USD_JPY,V7_trail_lock5,182,934.1999999999757,704.879999999976,2.774587103299252,99.45054945054946,4.664861878452909,-139.4600000000005,6.054352502509491,-139.4600000000005,254.04861111111111,"{'trail': 175, 'TP': 6, 'end': 1}"
EUR_JPY,V7_trail_lock5,19,-1463.4000000000099,-1491.9000000000099,-5.87161539828092,94.73684210526315,5.216666666666053,-1585.7999999999988,0.05921301551266807,-1585.7999999999988,254.08680555555554,"{'trail': 17, 'TP': 1, 'end': 1}"
GBP_JPY,V7_trail_lock5,26,-1609.9999999999995,-1672.3999999999996,-6.584161961915436,92.3076923076923,6.045833333333278,-908.7499999999991,0.07983493810178753,-1817.0999999999992,254.00347222222223,"{'trail': 22, 'TP': 3, 'end': 1}"
AUD_JPY,V7_trail_lock5,24,-1587.2000000000044,-1620.3200000000043,-6.3791253947206705,95.83333333333334,4.872173913043244,-1732.379999999999,0.06468557706738398,-1732.3799999999987,254.00347222222223,"{'trail': 22, 'TP': 1, 'end': 1}"
EUR_USD,V7_trail_lock5,13,-193.89999999999128,-207.15999999999127,-0.8155682532738809,92.3076923076923,6.0716666666672365,-280.0199999999981,0.2601957003071471,-280.0199999999981,254.00694444444446,"{'trail': 11, 'TP': 1, 'end': 1}"
GBP_USD,V7_trail_lock5,47,-124.4999999999851,-192.1799999999851,-0.7564590594119713,97.87234042553192,4.336086956522074,-391.6400000000005,0.5092942498213031,-391.6400000000005,254.05208333333334,"{'trail': 44, 'TP': 2, 'end': 1}"
CAD_JPY,V7_trail_lock5,171,517.7999999999813,251.03999999998126,0.9882653981792094,99.41520467836257,2.886470588235184,-239.66000000000003,2.04748393557532,-239.66000000000003,254.02083333333334,"{'trail': 167, 'TP': 3, 'end': 1}"
