ci,name,is_pnl,is_ntrd,c0,c1,c2
1534,b4_r3_n5_E1_X3b_1,59334.6,18979,14771.2,36307.1,8256.3
1540,b4_r3_n5_E1_X3c_1_3,59270.9,18989,14789.7,36217.1,8264.1
515,b2_r3_n8_E1_X3b_2,57860.5,15863,12551.0,37068.4,8241.1
523,b2_r3_n8_E1_X3c_2_5,57833.2,15897,12519.0,37070.5,8243.7
522,b2_r3_n8_E1_X3c_2_3,57788.9,15888,12524.4,37035.3,8229.2
350,b2_r2_n8_E2_X3b_2,57702.9,12300,12319.9,36900.3,8482.7
358,b2_r2_n8_E2_X3c_2_5,57683.9,12332,12293.1,36916.2,8474.6
357,b2_r2_n8_E2_X3c_2_3,57620.5,12320,12295.5,36868.9,8456.1
335,b2_r2_n8_E1_X3b_2,57323.7,12422,12182.2,36681.6,8459.9
343,b2_r2_n8_E1_X3c_2_5,57283.3,12454,12132.2,36699.3,8451.8
342,b2_r2_n8_E1_X3c_2_3,57247.6,12443,12143.5,36670.6,8433.5
679,b3_r1_n6_E2_X3b_1,57218.7,9107,12022.6,36866.1,8330.0
686,b3_r1_n6_E2_X3c_1_5,57194.7,9109,12001.8,36846.1,8346.8
685,b3_r1_n6_E2_X3c_1_3,57186.5,9109,12005.0,36833.1,8348.4
664,b3_r1_n6_E1_X3b_1,57114.2,9146,11987.5,36816.5,8310.2
671,b3_r1_n6_E1_X3c_1_5,57086.6,9148,11966.7,36792.9,8327.0
670,b3_r1_n6_E1_X3c_1_3,57064.3,9148,11971.4,36764.3,8328.6
170,b2_r1_n8_E2_X3b_2,56942.7,12242,12014.0,36520.5,8408.2
178,b2_r1_n8_E2_X3c_2_5,56921.4,12274,11991.2,36524.5,8405.7
155,b2_r1_n8_E1_X3b_2,56910.6,12246,11996.5,36507.7,8406.4
163,b2_r1_n8_E1_X3c_2_5,56891.6,12278,11976.0,36511.7,8403.9
177,b2_r1_n8_E2_X3c_2_3,56889.3,12263,12000.1,36498.7,8390.5
162,b2_r1_n8_E1_X3c_2_3,56863.9,12267,11986.7,36488.5,8388.7
1661,b5_r1_n3_E1_X3c_1_5,55154.3,20000,14174.0,38806.1,2174.2
1660,b5_r1_n3_E1_X3c_1_3,54826.0,20000,13992.0,38568.4,2265.6
1654,b5_r1_n3_E1_X3b_1,54711.8,20000,13796.6,37742.3,3172.9
1556,b4_r3_n5_E2_X3c_1_5,48388.9,11198,10433.7,31857.2,6098.0
1549,b4_r3_n5_E2_X3b_1,48366.4,11187,10382.8,31897.9,6085.7
1555,b4_r3_n5_E2_X3c_1_3,48319.0,11192,10399.6,31833.7,6085.7
1369,b4_r2_n5_E2_X3b_1,47767.2,7835,10831.5,29612.6,7323.1
1376,b4_r2_n5_E2_X3c_1_5,47705.4,7840,10828.5,29550.0,7326.9
1375,b4_r2_n5_E2_X3c_1_3,47683.5,7836,10790.2,29572.2,7321.1
1361,b4_r2_n5_E1_X3c_1_5,46763.0,10687,10629.6,28981.6,7151.8
1354,b4_r2_n5_E1_X3b_1,46742.3,10673,10616.4,28997.9,7128.0
1360,b4_r2_n5_E1_X3c_1_3,46668.0,10683,10596.4,28940.0,7131.6
2051,b5_r3_n4_E1_X3c_1_5,45560.9,19888,9375.6,30436.5,5748.8
2050,b5_r3_n4_E1_X3c_1_3,45421.9,19881,9364.0,30363.0,5694.9
2044,b5_r3_n4_E1_X3b_1,45419.0,19864,9344.5,30457.1,5617.4
1886,b5_r2_n4_E2_X3c_1_5,45343.7,8935,9969.8,28747.9,6626.0
1885,b5_r2_n4_E2_X3c_1_3,45342.3,8934,9969.8,28759.4,6613.1
1871,b5_r2_n4_E1_X3c_1_5,45341.2,16442,10320.6,28000.3,7020.3
1879,b5_r2_n4_E2_X3b_1,45330.9,8918,9990.5,28763.0,6577.4
1870,b5_r2_n4_E1_X3c_1_3,45273.9,16432,10281.5,28002.6,6989.8
1864,b5_r2_n4_E1_X3b_1,44980.7,16378,10202.5,27889.9,6888.3
838,b3_r2_n5_E2_X3c_2_5,44446.4,17677,9366.3,28610.6,6469.5
837,b3_r2_n5_E2_X3c_2_3,44193.8,17646,9289.9,28464.0,6439.9
830,b3_r2_n5_E2_X3b_2,44025.0,17481,9265.8,28372.9,6386.3
