ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
110,b5_r1_n5_E2_X3b_2,6560.9,2039,0.0,13.33,1,1245.3,599,2.92,1
491,b5_r3_n6_E1_X3c_1_5,10135.5,6009,0.0,21.02,1,1236.2,2116,2.9,1
490,b5_r3_n6_E1_X3c_1_3,10135.5,6009,0.0,21.02,1,1236.2,2116,2.9,1
484,b5_r3_n6_E1_X3b_1,10082.8,6007,0.0,20.79,1,1236.2,2116,2.9,1
118,b5_r1_n5_E2_X3c_2_5,6688.6,2047,0.0,13.76,1,1201.3,599,2.82,1
80,b5_r1_n4_E2_X3b_2,6617.1,4134,0.0,12.94,1,1202.3,1212,2.82,1
147,b5_r1_n6_E2_X3c_2_3,5419.8,1038,0.0,11.07,1,1193.1,294,2.8,1
117,b5_r1_n5_E2_X3c_2_3,6758.6,2046,0.0,13.9,1,1181.7,600,2.77,1
87,b5_r1_n4_E2_X3c_2_3,6734.0,4178,0.0,13.35,1,1177.2,1232,2.76,1
88,b5_r1_n4_E2_X3c_2_5,6792.0,4185,0.0,13.47,1,1174.2,1228,2.75,1
328,b5_r2_n6_E2_X3c_2_5,4967.4,2667,0.0,9.34,1,1108.9,997,2.6,1
251,b5_r2_n4_E1_X3c_1_5,14055.7,12368,0.0,29.75,1,1110.4,4471,2.6,1
41,b5_r1_n3_E1_X3c_1_5,18947.2,16499,0.0,40.81,1,1099.6,3501,2.58,1
250,b5_r2_n4_E1_X3c_1_3,13999.7,12368,0.0,29.56,1,1088.8,4469,2.55,1
327,b5_r2_n6_E2_X3c_2_3,4909.6,2661,0.0,9.03,1,1073.7,994,2.52,1
244,b5_r2_n4_E1_X3b_1,13877.0,12353,0.0,29.22,1,1070.8,4466,2.51,1
40,b5_r1_n3_E1_X3c_1_3,18866.7,16475,0.0,40.53,1,1050.6,3525,2.46,1
320,b5_r2_n6_E2_X3b_2,4792.5,2657,0.0,8.84,1,1042.0,992,2.44,1
34,b5_r1_n3_E1_X3b_1,18561.5,16380,0.0,39.95,1,1039.4,3620,2.44,1
133,b5_r1_n6_E1_X3c_2_5,4945.5,1275,0.0,9.79,1,978.3,399,2.29,1
125,b5_r1_n6_E1_X3b_2,4848.3,1271,0.0,9.64,1,939.3,399,2.2,1
19,b5_r1_n2_E2_X3b_1,36495.6,19002,0.0,81.56,1,927.5,998,2.17,1
132,b5_r1_n6_E1_X3c_2_3,4847.9,1277,0.0,9.69,1,886.8,400,2.08,1
