ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
1993,b20_r3_n2_E1_X3c_2_5,1028.6,687,-427.1,233,390.8,430.0,207.8
1985,b20_r3_n2_E1_X3b_2,1028.6,687,-427.1,233,390.8,430.0,207.8
2448,b30_r2_n5_E2_X2,1017.7,128,-475.7,34,165.5,406.5,445.7
2077,b20_r3_n5_E1_X7_3,1013.9,160,-2153.5,76,216.9,555.4,241.6
2570,b30_r3_n3_E2_X3b_2,1009.9,237,-795.0,76,447.2,314.9,247.8
2578,b30_r3_n3_E2_X3c_2_5,1009.9,237,-795.0,76,447.2,314.9,247.8
2577,b30_r3_n3_E2_X3c_2_3,1009.9,237,-795.0,76,447.2,314.9,247.8
2115,b20_r3_n6_E2_X1_3,971.0,198,-295.6,65,271.8,444.8,254.4
2670,b30_r3_n8_E1_X1_3,965.1,74,-127.7,21,119.7,788.1,57.3
1670,b20_r1_n3_E2_X3b_2,963.2,347,508.7,121,385.6,544.2,33.4
1675,b20_r1_n3_E2_X3c_1_3,958.7,450,491.6,152,386.1,64.0,508.6
1676,b20_r1_n3_E2_X3c_1_5,958.7,450,512.7,152,386.1,64.0,508.6
1669,b20_r1_n3_E2_X3b_1,958.7,450,491.6,152,386.1,64.0,508.6
1912,b20_r2_n5_E2_X7_3,955.8,173,-354.0,70,675.6,60.3,219.9
2547,b30_r3_n2_E2_X3c_2_3,943.9,238,-795.0,76,381.2,314.9,247.8
2540,b30_r3_n2_E2_X3b_2,943.9,238,-795.0,76,381.2,314.9,247.8
2548,b30_r3_n2_E2_X3c_2_5,943.9,238,-795.0,76,381.2,314.9,247.8
2600,b30_r3_n4_E2_X3b_2,900.1,181,-407.8,61,121.4,591.0,187.7
2607,b30_r3_n4_E2_X3c_2_3,900.1,181,-407.8,61,121.4,591.0,187.7
2608,b30_r3_n4_E2_X3c_2_5,900.1,181,-407.8,61,121.4,591.0,187.7
2075,b20_r3_n5_E1_X3b_2,890.0,384,-602.4,132,215.1,374.4,300.5
2082,b20_r3_n5_E1_X3c_2_3,890.0,384,-602.4,132,215.1,374.4,300.5
2083,b20_r3_n5_E1_X3c_2_5,890.0,384,-602.4,132,215.1,374.4,300.5
1102,b15_r1_n2_E2_X7_3,838.5,875,-361.0,327,155.7,298.3,384.5
2627,b30_r3_n5_E2_X1_8,819.5,70,409.5,29,220.3,291.8,307.4
1677,b20_r1_n3_E2_X3c_2_3,815.0,351,543.2,123,244.2,384.6,186.2
2457,b30_r2_n5_E2_X3c_2_3,805.3,127,-460.8,34,162.7,391.8,250.8
2458,b30_r2_n5_E2_X3c_2_5,805.3,127,-460.8,34,162.7,391.8,250.8
2450,b30_r2_n5_E2_X3b_2,805.3,127,-460.8,34,162.7,391.8,250.8
2595,b30_r3_n4_E2_X1_3,791.1,159,-147.0,57,15.7,657.4,118.0
2427,b30_r2_n4_E2_X3c_2_3,744.3,192,-578.1,51,6.8,378.0,359.5
2428,b30_r2_n4_E2_X3c_2_5,744.3,192,-578.1,51,6.8,378.0,359.5
2420,b30_r2_n4_E2_X3b_2,744.3,192,-578.1,51,6.8,378.0,359.5
1628,b20_r1_n2_E1_X7_5,726.4,854,-562.3,363,620.3,39.2,66.9
2565,b30_r3_n3_E2_X1_3,711.7,199,-425.1,69,272.8,382.8,56.1
1614,b15_r3_n8_E2_X7_8,704.0,146,-36.0,53,613.1,22.4,68.5
1539,b15_r3_n5_E1_X7_8,694.3,257,388.1,106,359.1,166.5,168.7
1387,b15_r2_n6_E1_X7_3,675.0,337,-300.4,128,251.5,75.8,347.7
1577,b15_r3_n6_E2_X1_8,650.1,245,897.2,95,334.4,189.0,126.7
2535,b30_r3_n2_E2_X1_3,650.0,200,-425.1,69,211.1,382.8,56.1
1612,b15_r3_n8_E2_X7_3,598.3,152,153.2,52,334.2,10.6,253.5
2145,b20_r3_n8_E2_X1_3,559.3,120,-126.8,42,221.1,236.3,101.9
897,b10_r2_n8_E2_X3c_2_3,539.8,251,25.8,82,86.9,111.0,341.9
890,b10_r2_n8_E2_X3b_2,539.8,251,25.8,82,86.9,111.0,341.9
898,b10_r2_n8_E2_X3c_2_5,539.8,251,25.8,82,86.9,111.0,341.9
2105,b20_r3_n6_E1_X3b_2,503.5,311,-558.0,98,141.5,282.5,79.5
2113,b20_r3_n6_E1_X3c_2_5,503.5,311,-558.0,98,141.5,282.5,79.5
2112,b20_r3_n6_E1_X3c_2_3,503.5,311,-558.0,98,141.5,282.5,79.5
1839,b20_r2_n3_E1_X7_8,409.8,304,344.3,123,79.9,165.7,164.2
1654,b20_r1_n3_E1_X3b_1,404.9,993,482.5,328,297.7,46.2,61.0
2146,b20_r3_n8_E2_X1_5,341.8,116,-666.7,41,97.8,241.1,2.9
1240,b15_r1_n8_E1_X3c_1_3,273.7,46,124.4,11,197.0,62.0,14.7
1234,b15_r1_n8_E1_X3b_1,273.7,46,124.4,11,197.0,62.0,14.7
1241,b15_r1_n8_E1_X3c_1_5,273.7,46,124.4,11,197.0,62.0,14.7
1880,b20_r2_n4_E2_X3b_2,258.7,390,1110.5,156,78.5,27.9,152.3
1887,b20_r2_n4_E2_X3c_2_3,258.7,390,1110.5,156,78.5,27.9,152.3
1888,b20_r2_n4_E2_X3c_2_5,258.7,390,1110.5,156,78.5,27.9,152.3
1829,b20_r2_n2_E2_X3c_3_5,164.7,431,-176.4,172,23.9,59.3,81.5
1821,b20_r2_n2_E2_X3b_3,164.5,430,-160.6,171,23.9,59.1,81.5
