ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
1139,b15_r1_n3_E2_X3c_3_5,1128.8,369,-198.8,129,388.4,79.9,660.5
1135,b15_r1_n3_E2_X3c_1_3,1101.0,494,285.3,165,403.5,431.2,266.3
1129,b15_r1_n3_E2_X3b_1,1101.0,494,285.3,165,403.5,431.2,266.3
177,b5_r1_n8_E2_X3c_2_3,1091.4,132,388.5,46,43.8,573.3,474.3
178,b5_r1_n8_E2_X3c_2_5,1080.1,132,379.0,46,43.8,573.1,463.2
170,b5_r1_n8_E2_X3b_2,1080.1,132,376.0,46,43.8,573.1,463.2
1166,b15_r1_n4_E2_X3c_1_5,1073.4,243,335.3,82,316.2,367.3,389.9
1676,b20_r1_n3_E2_X3c_1_5,1064.2,265,12.4,100,187.4,269.9,606.9
163,b5_r1_n8_E1_X3c_2_5,1041.9,174,392.6,68,32.8,544.8,464.3
162,b5_r1_n8_E1_X3c_2_3,1034.3,174,386.4,68,45.2,553.4,435.7
1151,b15_r1_n4_E1_X3c_1_5,1030.4,505,465.4,162,200.9,539.8,289.7
1748,b20_r1_n6_E1_X7_5,1030.3,61,-131.4,12,219.5,607.7,203.1
1669,b20_r1_n3_E2_X3b_1,1022.9,263,12.4,100,187.4,269.9,565.6
1675,b20_r1_n3_E2_X3c_1_3,1022.9,263,12.4,100,187.4,269.9,565.6
1159,b15_r1_n4_E2_X3b_1,1022.1,241,335.3,82,316.2,367.3,338.6
1165,b15_r1_n4_E2_X3c_1_3,1022.1,241,335.3,82,316.2,367.3,338.6
2612,b30_r3_n5_E1_X1_8,1013.8,48,-380.4,15,101.2,329.3,583.3
155,b5_r1_n8_E1_X3b_2,1004.4,172,389.7,68,28.0,544.9,431.5
1921,b20_r2_n6_E1_X1_5,1002.0,148,562.6,48,488.2,427.7,86.1
627,b10_r1_n4_E2_X3c_2_3,987.9,455,-563.6,162,346.7,14.6,626.6
1144,b15_r1_n4_E1_X3b_1,979.1,503,457.1,162,200.9,539.8,238.4
1150,b15_r1_n4_E1_X3c_1_3,979.1,503,465.4,162,200.9,539.8,238.4
1657,b20_r1_n3_E1_X7_3,938.4,371,-995.3,135,336.6,206.2,395.6
1131,b15_r1_n3_E2_X3b_3,920.1,342,-605.8,118,436.4,178.2,305.5
1167,b15_r1_n4_E2_X3c_2_3,908.1,215,-177.8,75,36.8,196.8,674.5
2660,b30_r3_n6_E2_X3b_2,889.7,51,-420.8,17,308.1,379.3,202.3
2667,b30_r3_n6_E2_X3c_2_3,889.7,51,-420.8,17,308.1,379.3,202.3
2668,b30_r3_n6_E2_X3c_2_5,889.7,51,-420.8,17,308.1,379.3,202.3
1193,b15_r1_n5_E2_X7_5,870.3,95,91.2,29,441.9,164.8,263.6
171,b5_r1_n8_E2_X3b_3,866.4,130,313.3,44,54.7,465.2,346.5
2669,b30_r3_n6_E2_X3c_3_5,865.8,51,-424.2,17,399.0,264.5,202.3
2661,b30_r3_n6_E2_X3b_3,865.8,51,-424.2,17,399.0,264.5,202.3
2588,b30_r3_n4_E1_X7_5,865.2,36,-26.1,12,412.0,407.6,45.6
1176,b15_r1_n5_E1_X3b_3,864.0,197,670.7,54,239.8,454.7,169.5
1121,b15_r1_n3_E1_X3c_1_5,845.8,1044,2.5,371,197.3,449.3,199.2
2658,b30_r3_n6_E2_X2,833.7,51,-423.9,17,386.5,250.4,196.8
1754,b20_r1_n6_E1_X3c_3_5,820.7,61,-104.6,12,122.2,540.9,157.6
1156,b15_r1_n4_E2_X1_5,817.8,192,-612.2,62,302.3,141.6,373.9
1036,b10_r3_n6_E2_X1_5,802.6,418,35.2,141,270.4,265.0,267.2
156,b5_r1_n8_E1_X3b_3,780.6,170,319.5,66,14.5,496.2,269.9
1501,b15_r3_n4_E1_X1_5,780.5,327,106.8,109,459.9,119.4,201.2
961,b10_r3_n4_E1_X1_5,767.1,721,693.9,240,98.2,309.6,359.3
1198,b15_r1_n5_E2_X3c_2_5,759.1,97,324.4,29,153.9,245.4,359.8
2587,b30_r3_n4_E1_X7_3,758.4,41,-18.8,13,197.8,446.3,114.3
1114,b15_r1_n3_E1_X3b_1,757.7,1039,-5.8,371,197.3,452.1,108.3
1120,b15_r1_n3_E1_X3c_1_3,754.9,1040,2.5,371,197.3,449.3,108.3
1604,b15_r3_n8_E1_X3c_3_5,750.2,166,477.1,55,189.6,316.1,244.5
1596,b15_r3_n8_E1_X3b_3,750.2,166,477.1,55,189.6,316.1,244.5
179,b5_r1_n8_E2_X3c_3_5,744.7,130,342.0,44,0.8,387.8,356.1
