ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
1647,b20_r1_n2_E2_X3c_2_3,2886.9,830,0.018,1.46,1,2512.6,542,5.89,1
1640,b20_r1_n2_E2_X3b_2,2757.1,806,0.032,0.9,1,2461.6,515,5.77,1
1648,b20_r1_n2_E2_X3c_2_5,2655.5,824,0.028,0.92,1,2407.1,535,5.64,1
568,b10_r1_n2_E2_X3c_2_5,3391.8,3486,0.003,2.73,1,2254.1,2212,5.28,1
560,b10_r1_n2_E2_X3b_2,3499.3,3301,0.003,2.65,1,2119.5,2093,4.97,1
671,b10_r1_n6_E1_X3c_1_5,3576.4,426,0.0,6.68,1,1863.5,280,4.37,1
670,b10_r1_n6_E1_X3c_1_3,3593.2,425,0.0,6.71,1,1863.5,280,4.37,1
664,b10_r1_n6_E1_X3b_1,3541.0,424,0.0,6.65,1,1856.6,279,4.35,1
1196,b15_r1_n5_E2_X3c_1_5,2412.6,230,0.0,3.91,1,1759.9,161,4.12,1
1195,b15_r1_n5_E2_X3c_1_3,2412.6,230,0.0,3.91,1,1759.9,161,4.12,1
1189,b15_r1_n5_E2_X3b_1,2434.2,230,0.0,3.95,1,1595.9,160,3.74,1
1319,b15_r2_n3_E2_X3c_3_5,3818.3,888,0.011,2.79,1,1586.6,567,3.72,1
701,b10_r1_n8_E1_X3c_1_5,2118.1,122,0.0,3.73,1,1483.8,87,3.48,1
694,b10_r1_n8_E1_X3b_1,2169.8,122,0.0,3.76,1,1483.8,87,3.48,1
700,b10_r1_n8_E1_X3c_1_3,2165.5,122,0.0,3.76,1,1483.8,87,3.48,1
1858,b20_r2_n3_E2_X3c_2_5,2421.1,773,0.045,0.29,1,1480.7,518,3.47,1
1311,b15_r2_n3_E2_X3b_3,4116.0,869,0.006,3.35,1,1461.1,556,3.42,1
567,b10_r1_n2_E2_X3c_2_3,3510.1,3490,0.006,3.25,1,1416.1,2218,3.32,1
1137,b15_r1_n3_E2_X3c_2_3,3428.4,827,0.004,4.13,1,1396.3,557,3.27,1
620,b10_r1_n4_E2_X3b_2,2708.8,948,0.0,3.54,1,1349.0,580,3.16,1
1226,b15_r1_n6_E2_X3c_1_5,1902.8,106,0.0,3.15,1,1349.7,84,3.16,1
1225,b15_r1_n6_E2_X3c_1_3,1902.8,106,0.0,3.15,1,1349.7,84,3.16,1
627,b10_r1_n4_E2_X3c_2_3,2618.3,968,0.0,3.42,1,1344.7,589,3.15,1
628,b10_r1_n4_E2_X3c_2_5,2695.6,967,0.0,3.61,1,1327.4,590,3.11,1
1138,b15_r1_n3_E2_X3c_2_5,3710.9,823,0.001,4.48,1,1252.9,555,2.94,1
1130,b15_r1_n3_E2_X3b_2,3857.2,807,0.0,4.75,1,1237.3,539,2.9,1
1219,b15_r1_n6_E2_X3b_1,1902.8,106,0.0,3.15,1,1185.7,83,2.78,1
2626,b30_r3_n5_E2_X1_5,2425.4,125,0.043,0.62,1,1026.2,88,2.4,1
1227,b15_r1_n6_E2_X3c_2_3,1011.8,103,0.005,1.12,1,1002.6,82,2.35,1
1228,b15_r1_n6_E2_X3c_2_5,1011.9,103,0.004,1.14,1,984.0,82,2.31,1
1197,b15_r1_n5_E2_X3c_2_3,1973.2,217,0.0,2.19,1,979.9,156,2.3,1
659,b10_r1_n5_E2_X3c_3_5,1694.8,471,0.003,1.56,1,983.2,281,2.3,1
597,b10_r1_n3_E2_X3c_2_3,2017.3,1905,0.021,1.31,1,963.8,1150,2.26,1
1632,b20_r1_n2_E1_X3c_2_3,3931.3,1692,0.018,1.76,1,936.1,1072,2.19,1
1198,b15_r1_n5_E2_X3c_2_5,1883.7,217,0.0,2.0,1,931.0,156,2.18,1
1250,b15_r1_n8_E2_X3b_2,641.6,30,0.007,0.6,1,924.5,19,2.17,1
749,b10_r2_n2_E2_X3c_3_5,3874.2,2570,0.011,2.13,1,913.5,1673,2.14,1
