ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
689,b10_r1_n6_E2_X3c_3_5,1641.4,197,0.0,813.2,1.5,1
687,b10_r1_n6_E2_X3c_2_3,1438.2,202,0.0,590.8,1.47,1
688,b10_r1_n6_E2_X3c_2_5,1400.2,202,0.0,603.9,1.41,1
716,b10_r1_n8_E2_X3c_1_5,1129.5,66,0.0,415.7,1.35,1
709,b10_r1_n8_E2_X3b_1,1129.5,66,0.0,415.7,1.35,1
715,b10_r1_n8_E2_X3c_1_3,1129.5,66,0.0,415.7,1.35,1
2409,b30_r2_n4_E1_X7_8,4596.6,186,0.033,4107.6,1.22,1
2211,b30_r1_n3_E2_X3b_3,3554.5,205,0.023,2803.9,1.19,1
1195,b15_r1_n5_E2_X3c_1_3,1314.4,243,0.001,675.6,1.09,1
1227,b15_r1_n6_E2_X3c_2_3,1357.6,106,0.001,763.4,1.08,1
1189,b15_r1_n5_E2_X3b_1,1291.1,243,0.001,671.9,1.07,1
1196,b15_r1_n5_E2_X3c_1_5,1291.1,243,0.001,671.9,1.07,1
681,b10_r1_n6_E2_X3b_3,1337.7,197,0.002,817.7,1.04,1
1197,b15_r1_n5_E2_X3c_2_3,1482.5,232,0.009,938.2,0.86,1
1165,b15_r1_n4_E2_X3c_1_3,1355.5,502,0.007,851.6,0.85,1
1228,b15_r1_n6_E2_X3c_2_5,1216.3,106,0.003,755.4,0.85,1
1220,b15_r1_n6_E2_X3b_2,1208.8,106,0.003,753.9,0.83,1
1166,b15_r1_n4_E2_X3c_1_5,1332.2,502,0.007,851.2,0.82,1
1159,b15_r1_n4_E2_X3b_1,1332.2,502,0.007,851.2,0.82,1
1135,b15_r1_n3_E2_X3c_1_3,1716.6,1067,0.014,1306.0,0.8,1
1225,b15_r1_n6_E2_X3c_1_3,975.4,110,0.0,524.6,0.79,1
1817,b20_r2_n2_E2_X1_8,4158.8,378,0.033,3739.6,0.78,1
1136,b15_r1_n3_E2_X3c_1_5,1693.3,1067,0.014,1305.7,0.78,1
1129,b15_r1_n3_E2_X3b_1,1691.1,1067,0.015,1303.5,0.78,1
1226,b15_r1_n6_E2_X3c_1_5,952.1,110,0.0,523.7,0.77,1
1219,b15_r1_n6_E2_X3b_1,952.1,110,0.0,523.7,0.77,1
719,b10_r1_n8_E2_X3c_3_5,867.0,63,0.0,437.5,0.76,1
710,b10_r1_n8_E2_X3b_2,755.2,65,0.0,348.9,0.74,1
717,b10_r1_n8_E2_X3c_2_3,755.0,65,0.0,349.1,0.74,1
718,b10_r1_n8_E2_X3c_2_5,737.6,65,0.0,345.2,0.73,1
711,b10_r1_n8_E2_X3b_3,864.4,63,0.0,441.2,0.72,1
1559,b15_r3_n5_E2_X3c_3_5,2832.2,746,0.029,2467.3,0.71,1
1551,b15_r3_n5_E2_X3b_3,2832.2,746,0.029,2467.3,0.71,1
1198,b15_r1_n5_E2_X3c_2_5,1342.2,232,0.01,921.4,0.62,1
2207,b30_r1_n3_E2_X1_8,3969.6,138,0.033,3352.2,0.62,1
2385,b30_r2_n3_E2_X1_3,2478.3,327,0.031,2272.3,0.61,1
1589,b15_r3_n6_E2_X3c_3_5,2617.2,559,0.037,2424.0,0.56,1
674,b10_r1_n6_E1_X3c_3_5,1261.3,367,0.015,948.2,0.56,1
1581,b15_r3_n6_E2_X3b_3,2617.2,559,0.037,2424.0,0.56,1
1190,b15_r1_n5_E2_X3b_2,1277.1,232,0.013,917.0,0.54,1
659,b10_r1_n5_E2_X3c_3_5,1319.3,415,0.021,1029.8,0.53,1
695,b10_r1_n8_E1_X3b_2,696.0,95,0.003,400.2,0.52,1
620,b10_r1_n4_E2_X3b_2,1440.6,978,0.013,1044.4,0.51,1
2362,b30_r2_n2_E2_X7_3,4198.7,201,0.049,4121.0,0.5,1
702,b10_r1_n8_E1_X3c_2_3,687.9,95,0.003,390.9,0.5,1
703,b10_r1_n8_E1_X3c_2_5,679.9,95,0.002,382.3,0.5,1
2219,b30_r1_n3_E2_X3c_3_5,2816.7,217,0.045,2771.5,0.46,1
651,b10_r1_n5_E2_X3b_3,1416.2,402,0.021,1182.3,0.4,1
704,b10_r1_n8_E1_X3c_3_5,723.5,93,0.011,505.1,0.39,1
696,b10_r1_n8_E1_X3b_3,716.6,93,0.016,533.2,0.33,1
1359,b15_r2_n5_E1_X7_8,3921.7,646,0.032,3616.0,0.32,1
628,b10_r1_n4_E2_X3c_2_5,1189.1,985,0.027,1010.7,0.32,1
2213,b30_r1_n3_E2_X7_5,2778.1,211,0.045,2717.6,0.23,1
2086,b20_r3_n5_E2_X1_5,2380.1,314,0.051,2380.9,0.22,0
627,b10_r1_n4_E2_X3c_2_3,1089.0,987,0.042,1051.0,0.16,1
1578,b15_r3_n6_E2_X2,2317.9,559,0.047,2263.9,0.12,1
1212,b15_r1_n6_E1_X3c_2_3,819.6,237,0.075,943.2,-0.14,0
1229,b15_r1_n6_E2_X3c_3_5,734.1,106,0.08,848.8,-0.14,0
1221,b15_r1_n6_E2_X3b_3,941.1,105,0.106,1197.6,-0.22,0
2094,b20_r3_n5_E2_X7_8,3215.4,180,0.064,3474.4,-0.25,0
1577,b15_r3_n6_E2_X1_8,2666.9,379,0.054,2688.3,-0.26,0
2364,b30_r2_n2_E2_X7_8,3535.8,190,0.06,3731.5,-0.27,0
1160,b15_r1_n4_E2_X3b_2,1127.6,462,0.073,1256.8,-0.29,0
712,b10_r1_n8_E2_X7_3,340.9,57,0.18,590.7,-0.34,0
1763,b20_r1_n6_E2_X7_5,839.5,65,0.103,1127.4,-0.4,0
