ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
2419,b30_r2_n4_E2_X3b_1,862.8,237,0.13,-0.56,0,-266.7,61
2426,b30_r2_n4_E2_X3c_1_5,862.8,237,0.13,-0.56,0,-266.7,61
2276,b30_r1_n5_E2_X3c_1_5,843.4,59,0.014,0.58,1,-146.8,21
2269,b30_r1_n5_E2_X3b_1,843.4,59,0.014,0.58,1,-146.8,21
2275,b30_r1_n5_E2_X3c_1_3,843.4,59,0.014,0.58,1,-146.8,21
1438,b15_r2_n8_E2_X3c_2_5,836.5,174,0.103,-0.21,0,21.4,43
1437,b15_r2_n8_E2_X3c_2_3,836.5,174,0.103,-0.21,0,21.4,43
1430,b15_r2_n8_E2_X3b_2,836.5,174,0.103,-0.21,0,21.4,43
1974,b20_r2_n8_E2_X7_8,793.6,78,0.242,-2.03,0,166.5,20
1439,b15_r2_n8_E2_X3c_3_5,767.7,163,0.151,-0.82,0,0.9,41
1431,b15_r2_n8_E2_X3b_3,754.2,163,0.153,-0.84,0,0.9,41
2286,b30_r1_n6_E1_X3b_3,718.2,60,0.229,-1.84,0,387.6,14
1761,b20_r1_n6_E2_X3b_3,694.1,60,0.096,-0.25,0,399.6,19
2560,b30_r3_n3_E1_X3c_1_3,638.8,437,0.237,-2.1,0,95.2,111
2561,b30_r3_n3_E1_X3c_1_5,638.8,437,0.237,-2.1,0,95.2,111
2554,b30_r3_n3_E1_X3b_1,638.8,437,0.237,-2.1,0,95.2,111
2531,b30_r3_n2_E1_X3c_1_5,638.1,438,0.248,-2.06,0,95.2,111
2530,b30_r3_n2_E1_X3c_1_3,638.1,438,0.248,-2.06,0,95.2,111
2524,b30_r3_n2_E1_X3b_1,638.1,438,0.248,-2.06,0,95.2,111
1416,b15_r2_n8_E1_X3b_3,619.7,265,0.242,-2.0,0,50.7,61
1756,b20_r1_n6_E2_X1_5,608.5,59,0.17,-0.82,0,105.8,18
998,b10_r3_n5_E1_X7_5,581.6,876,0.386,-6.99,0,-1043.5,289
2256,b30_r1_n5_E1_X3b_3,575.2,114,0.312,-2.69,0,826.3,31
1424,b15_r2_n8_E1_X3c_3_5,526.2,265,0.272,-2.09,0,28.7,61
1769,b20_r1_n6_E2_X3c_3_5,501.8,61,0.174,-0.62,0,262.6,19
2513,b30_r2_n8_E2_X7_5,489.0,38,0.307,-2.38,0,-929.8,15
2357,b30_r2_n2_E2_X1_8,428.2,148,0.419,-6.65,0,13.0,49
1767,b20_r1_n6_E2_X3c_2_3,420.7,62,0.148,-0.42,0,257.0,19
1768,b20_r1_n6_E2_X3c_2_5,353.1,62,0.184,-0.59,0,328.3,19
2238,b30_r1_n4_E2_X2,349.7,134,0.293,-1.53,0,-294.5,42
1762,b20_r1_n6_E2_X7_3,348.5,60,0.293,-1.66,0,135.8,19
2306,b30_r1_n6_E2_X3c_1_5,338.2,31,0.081,-0.07,0,-119.2,8
2299,b30_r1_n6_E2_X3b_1,338.2,31,0.081,-0.07,0,-119.2,8
2305,b30_r1_n6_E2_X3c_1_3,338.2,31,0.081,-0.07,0,-119.2,8
1760,b20_r1_n6_E2_X3b_2,329.7,62,0.2,-0.64,0,338.6,19
1738,b20_r1_n5_E2_X3c_2_5,324.6,145,0.288,-1.46,0,290.8,37
1868,b20_r2_n4_E1_X7_5,305.7,422,0.425,-6.65,0,458.9,124
1370,b15_r2_n5_E2_X3b_2,290.9,624,0.397,-3.49,0,73.5,134
1377,b15_r2_n5_E2_X3c_2_3,290.9,624,0.397,-3.49,0,99.0,134
1378,b15_r2_n5_E2_X3c_2_5,290.9,624,0.397,-3.49,0,99.0,134
