ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
357,b5_r2_n8_E2_X3c_2_3,5823.7,1287,0.0,11.84,1,1896.2,316,4.44,1
350,b5_r2_n8_E2_X3b_2,5860.3,1286,0.0,11.89,1,1892.1,316,4.43,1
619,b10_r1_n4_E2_X3b_1,5214.9,1072,0.0,10.24,1,1726.0,293,4.04,1
625,b10_r1_n4_E2_X3c_1_3,5223.7,1076,0.0,10.33,1,1726.0,293,4.04,1
626,b10_r1_n4_E2_X3c_1_5,5273.3,1077,0.0,10.36,1,1709.3,293,4.01,1
177,b5_r1_n8_E2_X3c_2_3,4940.4,564,0.0,10.31,1,1591.4,166,3.73,1
178,b5_r1_n8_E2_X3c_2_5,4900.7,564,0.0,10.22,1,1591.4,166,3.73,1
170,b5_r1_n8_E2_X3b_2,4914.9,562,0.0,10.14,1,1585.1,166,3.71,1
163,b5_r1_n8_E1_X3c_2_5,4664.7,590,0.0,9.58,1,1574.3,171,3.69,1
155,b5_r1_n8_E1_X3b_2,4687.3,588,0.0,9.66,1,1568.0,171,3.67,1
162,b5_r1_n8_E1_X3c_2_3,4724.1,590,0.0,9.73,1,1564.7,171,3.67,1
141,b5_r1_n6_E2_X3b_3,4180.7,1508,0.0,7.79,1,1511.3,506,3.54,1
351,b5_r2_n8_E2_X3b_3,2777.9,1259,0.0,4.45,1,1459.6,309,3.42,1
149,b5_r1_n6_E2_X3c_3_5,4124.4,1530,0.0,7.68,1,1436.4,509,3.37,1
359,b5_r2_n8_E2_X3c_3_5,2784.1,1265,0.0,4.44,1,1434.7,310,3.36,1
119,b5_r1_n5_E2_X3c_3_5,4359.3,2946,0.0,7.59,1,1274.7,989,2.99,1
126,b5_r1_n6_E1_X3b_3,3607.3,1723,0.0,6.07,1,1153.1,545,2.7,1
171,b5_r1_n8_E2_X3b_3,2973.9,551,0.0,5.62,1,1094.6,165,2.57,1
156,b5_r1_n8_E1_X3b_3,2702.8,575,0.0,4.92,1,1057.9,170,2.48,1
179,b5_r1_n8_E2_X3c_3_5,3050.2,553,0.0,5.8,1,1052.0,165,2.47,1
655,b10_r1_n5_E2_X3c_1_3,3609.1,464,0.0,7.0,1,1038.5,116,2.43,1
649,b10_r1_n5_E2_X3b_1,3582.1,461,0.0,6.87,1,1038.5,116,2.43,1
656,b10_r1_n5_E2_X3c_1_5,3596.3,465,0.0,6.95,1,1038.5,116,2.43,1
164,b5_r1_n8_E1_X3c_3_5,2744.5,577,0.0,5.05,1,1026.3,170,2.4,1
685,b10_r1_n6_E2_X3c_1_3,2172.5,224,0.0,3.97,1,712.4,60,1.67,1
679,b10_r1_n6_E2_X3b_1,2172.5,224,0.0,3.97,1,712.4,60,1.67,1
686,b10_r1_n6_E2_X3c_1_5,2172.5,224,0.0,3.97,1,712.4,60,1.67,1
1159,b15_r1_n4_E2_X3b_1,1499.9,515,0.001,1.49,1,415.6,152,0.97,1
1165,b15_r1_n4_E2_X3c_1_3,1523.2,515,0.001,1.54,1,415.6,152,0.97,1
1166,b15_r1_n4_E2_X3c_1_5,1499.9,515,0.001,1.49,1,415.6,152,0.97,1
1219,b15_r1_n6_E2_X3b_1,981.9,111,0.001,1.15,1,407.8,29,0.96,1
1225,b15_r1_n6_E2_X3c_1_3,1005.2,111,0.001,1.2,1,407.8,29,0.96,1
1226,b15_r1_n6_E2_X3c_1_5,981.9,111,0.001,1.15,1,407.8,29,0.96,1
1195,b15_r1_n5_E2_X3c_1_3,1357.6,248,0.0,1.65,1,326.5,64,0.77,1
1189,b15_r1_n5_E2_X3b_1,1334.3,248,0.0,1.6,1,326.5,64,0.77,1
1196,b15_r1_n5_E2_X3c_1_5,1334.3,248,0.0,1.6,1,326.5,64,0.77,1
716,b10_r1_n8_E2_X3c_1_5,1117.5,71,0.0,1.83,1,315.9,14,0.74,1
709,b10_r1_n8_E2_X3b_1,1117.5,71,0.0,1.83,1,315.9,14,0.74,1
715,b10_r1_n8_E2_X3c_1_3,1117.5,71,0.0,1.83,1,315.9,14,0.74,1
1198,b15_r1_n5_E2_X3c_2_5,1347.4,236,0.012,1.1,1,312.8,63,0.73,1
1228,b15_r1_n6_E2_X3c_2_5,1231.1,107,0.003,1.34,1,287.1,29,0.67,1
1227,b15_r1_n6_E2_X3c_2_3,1372.4,107,0.002,1.64,1,281.1,29,0.66,1
1136,b15_r1_n3_E2_X3c_1_5,1866.8,1099,0.007,1.39,1,278.6,326,0.65,1
1129,b15_r1_n3_E2_X3b_1,1864.6,1099,0.007,1.39,1,278.6,326,0.65,1
1135,b15_r1_n3_E2_X3c_1_3,1890.1,1099,0.007,1.44,1,278.6,326,0.65,1
1190,b15_r1_n5_E2_X3b_2,1282.3,236,0.014,0.91,1,263.7,63,0.62,1
1220,b15_r1_n6_E2_X3b_2,1223.6,107,0.003,1.34,1,256.6,29,0.6,1
1197,b15_r1_n5_E2_X3c_2_3,1487.7,236,0.006,1.34,1,232.6,64,0.55,1
710,b10_r1_n8_E2_X3b_2,749.5,69,0.0,1.01,1,195.4,14,0.46,1
717,b10_r1_n8_E2_X3c_2_3,749.3,69,0.0,1.01,1,194.4,14,0.46,1
718,b10_r1_n8_E2_X3c_2_5,731.9,69,0.0,1.0,1,185.4,14,0.43,1
688,b10_r1_n6_E2_X3c_2_5,1461.6,219,0.0,2.11,1,148.5,60,0.35,1
680,b10_r1_n6_E2_X3b_2,1568.9,219,0.0,2.34,1,149.5,60,0.35,1
